timestep_superordinate_dispatch,region,technology,carrier,variable,value
2050,DE,gasStorage,none,costOprStSize,430.14070952289603
2050,AT,gasStorage,none,costOprStSize,8.621275569281494
2050,BE,gasStorage,none,costOprStSize,44.75883937185108
2050,BG,gasStorage,none,costOprStSize,63.439428337217706
2050,CZ,gasStorage,none,costOprStSize,109.93890404704747
2050,DK,gasStorage,none,costOprStSize,8.183446482305897
2050,ES,gasStorage,none,costOprStSize,129.04617981237624
2050,FR,gasStorage,none,costOprStSize,609.1539972792851
2050,GR,gasStorage,none,costOprStSize,19.19628591288714
2050,HR,gasStorage,none,costOprStSize,11.334754642751008
2050,HU,gasStorage,none,costOprStSize,57.410846365939726
2050,IT,gasStorage,none,costOprStSize,396.766977816748
2050,LV,gasStorage,none,costOprStSize,43.32295386356654
2050,NL,gasStorage,none,costOprStSize,161.8575385566057
2050,PL,gasStorage,none,costOprStSize,165.31518746599428
2050,PT,gasStorage,none,costOprStSize,17.75176353575663
2050,RO,gasStorage,none,costOprStSize,66.34538568097682
2050,SE,gasStorage,none,costOprStSize,0.4822818956627614
2050,SK,gasStorage,none,costOprStSize,97.91775308073144
2050,TR,gasStorage,none,costOprStSize,471.8319704008242
2050,UK,gasStorage,none,costOprStSize,300.22443921837225
2050,DE,caes,none,costExpStSize,2.4617338906982114e-5
2050,DE,battery < home,none,costExpStSize,364.9612366224898
2050,DE,battery < grid,none,costExpStSize,322.20799216614495
2050,AT,none,biomass,costTrdBuy,0.0
2050,BE,none,biomass,costTrdBuy,0.0
2050,BG,none,biomass,costTrdBuy,0.0
2050,CH,none,biomass,costTrdBuy,0.0
2050,CZ,none,biomass,costTrdBuy,0.0
2050,DE,none,biomass,costTrdBuy,0.0
2050,DK,none,biomass,costTrdBuy,0.0
2050,EE,none,biomass,costTrdBuy,0.0
2050,ES,none,biomass,costTrdBuy,0.0
2050,FI,none,biomass,costTrdBuy,0.0
2050,FR,none,biomass,costTrdBuy,0.0
2050,GR,none,biomass,costTrdBuy,0.0
2050,HR,none,biomass,costTrdBuy,0.0
2050,HU,none,biomass,costTrdBuy,0.0
2050,IE,none,biomass,costTrdBuy,0.0
2050,IT,none,biomass,costTrdBuy,0.0
2050,LT,none,biomass,costTrdBuy,0.0
2050,LU,none,biomass,costTrdBuy,0.0
2050,LV,none,biomass,costTrdBuy,0.0
2050,NL,none,biomass,costTrdBuy,0.0
2050,NO,none,biomass,costTrdBuy,0.0
2050,NONEU_Balkan,none,biomass,costTrdBuy,0.0
2050,PL,none,biomass,costTrdBuy,0.0
