timestep_superordinate_dispatch,region,technology,carrier,variable,value
2050,DE,gasStorage,none,costOprStSize,452.15933650615307
2050,AT,gasStorage,none,costOprStSize,18.779491529567316
2050,BE,gasStorage,none,costOprStSize,35.30663954081749
2050,BG,gasStorage,none,costOprStSize,82.09935628270571
2050,CZ,gasStorage,none,costOprStSize,58.811665288614876
2050,DK,gasStorage,none,costOprStSize,23.419927998247644
2050,ES,gasStorage,none,costOprStSize,114.15964949547212
2050,FR,gasStorage,none,costOprStSize,642.3514782739509
2050,GR,gasStorage,none,costOprStSize,19.19628652253718
2050,HR,gasStorage,none,costOprStSize,17.95823346013344
2050,HU,gasStorage,none,costOprStSize,92.55736911306033
2050,IT,gasStorage,none,costOprStSize,410.0472177746337
2050,LV,gasStorage,none,costOprStSize,50.125932669691494
2050,NL,gasStorage,none,costOprStSize,97.29964235218374
2050,PL,gasStorage,none,costOprStSize,125.26453481754332
2050,PT,gasStorage,none,costOprStSize,17.751775267759534
2050,RO,gasStorage,none,costOprStSize,150.12121702101408
2050,SE,gasStorage,none,costOprStSize,0.48228277160700395
2050,SK,gasStorage,none,costOprStSize,27.047863992005432
2050,TR,gasStorage,none,costOprStSize,476.8392300744136
2050,UK,gasStorage,none,costOprStSize,230.21531324785101
2050,DE < DE11,caes,none,costExpStSize,0.0
2050,DE < DE11,battery < home,none,costExpStSize,4.584781596717396
2050,DE < DE11,battery < grid,none,costExpStSize,86.68523475554584
2050,DE < DE12,caes,none,costExpStSize,0.0
2050,DE < DE12,battery < home,none,costExpStSize,2.55135472460503
2050,DE < DE12,battery < grid,none,costExpStSize,2.053610179580404
2050,DE < DE13,caes,none,costExpStSize,0.0
2050,DE < DE13,battery < home,none,costExpStSize,2.3411838200540585
2050,DE < DE13,battery < grid,none,costExpStSize,157.73169947603463
2050,DE < DE14,caes,none,costExpStSize,0.0
2050,DE < DE14,battery < home,none,costExpStSize,3.377346553302122
2050,DE < DE14,battery < grid,none,costExpStSize,55.05127725936186
2050,DE < DE21,caes,none,costExpStSize,0.0
2050,DE < DE21,battery < home,none,costExpStSize,5.108792133838551
2050,DE < DE21,battery < grid,none,costExpStSize,67.39004313611154
2050,DE < DE22,caes,none,costExpStSize,0.0
2050,DE < DE22,battery < home,none,costExpStSize,4.599346919157233
2050,DE < DE22,battery < grid,none,costExpStSize,3.7020148478764883
2050,DE < DE23,caes,none,costExpStSize,0.0
2050,DE < DE23,battery < home,none,costExpStSize,3.2397140971040614
2050,DE < DE23,battery < grid,none,costExpStSize,56.82601273476414
2050,DE < DE24,caes,none,costExpStSize,0.0
2050,DE < DE24,battery < home,none,costExpStSize,2.8878880103272486
2050,DE < DE24,battery < grid,none,costExpStSize,74.73217903967283
2050,DE < DE25,caes,none,costExpStSize,0.0
2050,DE < DE25,battery < home,none,costExpStSize,2.851505778749904
2050,DE < DE25,battery < grid,none,costExpStSize,35.97953886560546
2050,DE < DE26,caes,none,costExpStSize,0.0
2050,DE < DE26,battery < home,none,costExpStSize,4.024650154266383
2050,DE < DE26,battery < grid,none,costExpStSize,97.87469398642061
2050,DE < DE27,caes,none,costExpStSize,0.0
2050,DE < DE27,battery < home,none,costExpStSize,5.121019084689086
2050,DE < DE27,battery < grid,none,costExpStSize,59.64851760623367
2050,DE < DE30,caes,none,costExpStSize,0.0
2050,DE < DE30,battery < home,none,costExpStSize,0.6588138623649532
2050,DE < DE30,battery < grid,none,costExpStSize,89.06835762937672
2050,DE < DE40,caes,none,costExpStSize,0.0
2050,DE < DE40,battery < home,none,costExpStSize,14.97685044258186
2050,DE < DE40,battery < grid,none,costExpStSize,12.054858501032392
2050,DE < DE50,caes,none,costExpStSize,0.0
2050,DE < DE50,battery < home,none,costExpStSize,0.4352086928649929
2050,DE < DE50,battery < grid,none,costExpStSize,5.779125334954932
2050,DE < DE60,caes,none,costExpStSize,0.0
2050,DE < DE60,battery < home,none,costExpStSize,0.548628050737857
2050,DE < DE60,battery < grid,none,costExpStSize,5.246418370052506
2050,DE < DE71,caes,none,costExpStSize,0.0
2050,DE < DE71,battery < home,none,costExpStSize,2.8387856009395183
2050,DE < DE71,battery < grid,none,costExpStSize,2.2849380018011947
2050,DE < DE72,caes,none,costExpStSize,0.0
2050,DE < DE72,battery < home,none,costExpStSize,1.841864512354726
2050,DE < DE72,battery < grid,none,costExpStSize,47.18604691535203
2050,DE < DE73,caes,none,costExpStSize,0.0
2050,DE < DE73,battery < home,none,costExpStSize,3.3922358398299157
2050,DE < DE73,battery < grid,none,costExpStSize,2.7304088589675044
2050,DE < DE80,caes,none,costExpStSize,0.0
2050,DE < DE80,battery < home,none,costExpStSize,23.223856928508685
2050,DE < DE80,battery < grid,none,costExpStSize,18.692868269137477
2050,DE < DE91,caes,none,costExpStSize,0.0
2050,DE < DE91,battery < home,none,costExpStSize,2.6465006464834326
2050,DE < DE91,battery < grid,none,costExpStSize,2.1301692620070973
2050,DE < DE92,caes,none,costExpStSize,0.0
2050,DE < DE92,battery < home,none,costExpStSize,9.251071234313113
2050,DE < DE92,battery < grid,none,costExpStSize,15.896956822311367
2050,DE < DE93,caes,none,costExpStSize,0.0
2050,DE < DE93,battery < home,none,costExpStSize,9.478141512440436
