timestep_superordinate_dispatch,region,technology,carrier,variable,value
2050,DE,gasStorage,none,costOprStSize,452.0870730117694
2050,AT,gasStorage,none,costOprStSize,18.7794915690129
2050,BE,gasStorage,none,costOprStSize,35.306639548089684
2050,BG,gasStorage,none,costOprStSize,82.09935629597415
2050,CZ,gasStorage,none,costOprStSize,58.883896711215364
2050,DK,gasStorage,none,costOprStSize,23.419928020360636
2050,ES,gasStorage,none,costOprStSize,114.15964949715902
2050,FR,gasStorage,none,costOprStSize,642.3514782743092
2050,GR,gasStorage,none,costOprStSize,19.19628652440213
2050,HR,gasStorage,none,costOprStSize,17.95823347287856
2050,HU,gasStorage,none,costOprStSize,92.5573691219408
2050,IT,gasStorage,none,costOprStSize,410.04721777469075
2050,LV,gasStorage,none,costOprStSize,50.1259326727094
2050,NL,gasStorage,none,costOprStSize,97.29964236888767
2050,PL,gasStorage,none,costOprStSize,125.26453484266071
2050,PT,gasStorage,none,costOprStSize,17.751775273809884
2050,RO,gasStorage,none,costOprStSize,150.12121702374407
2050,SE,gasStorage,none,costOprStSize,0.48228277447758566
2050,SK,gasStorage,none,costOprStSize,27.047864016550637
2050,TR,gasStorage,none,costOprStSize,476.83923007456883
2050,UK,gasStorage,none,costOprStSize,230.21531324869068
2050,DE < DE11,caes,none,costExpStSize,0.0
2050,DE < DE11,battery < home,none,costExpStSize,4.584781596717396
2050,DE < DE11,battery < grid,none,costExpStSize,86.6788009505559
2050,DE < DE12,caes,none,costExpStSize,0.0
2050,DE < DE12,battery < home,none,costExpStSize,2.55135472460503
2050,DE < DE12,battery < grid,none,costExpStSize,2.053600549390414
2050,DE < DE13,caes,none,costExpStSize,0.0
2050,DE < DE13,battery < home,none,costExpStSize,2.3411838200540585
2050,DE < DE13,battery < grid,none,costExpStSize,157.72858553293358
2050,DE < DE14,caes,none,costExpStSize,0.0
2050,DE < DE14,battery < home,none,costExpStSize,3.377346553302122
2050,DE < DE14,battery < grid,none,costExpStSize,55.05960747369537
2050,DE < DE21,caes,none,costExpStSize,0.0
2050,DE < DE21,battery < home,none,costExpStSize,5.108792133838551
2050,DE < DE21,battery < grid,none,costExpStSize,67.39003161078868
2050,DE < DE22,caes,none,costExpStSize,0.0
2050,DE < DE22,battery < home,none,costExpStSize,4.599346919157233
2050,DE < DE22,battery < grid,none,costExpStSize,3.702012544391229
2050,DE < DE23,caes,none,costExpStSize,0.0
2050,DE < DE23,battery < home,none,costExpStSize,3.2397140971040614
2050,DE < DE23,battery < grid,none,costExpStSize,56.827812330800484
2050,DE < DE24,caes,none,costExpStSize,0.0
2050,DE < DE24,battery < home,none,costExpStSize,2.8878880103272486
2050,DE < DE24,battery < grid,none,costExpStSize,74.73004965420172
2050,DE < DE25,caes,none,costExpStSize,0.0
