timestep_superordinate_dispatch,region,technology,carrier,variable,value
2050,DE,gasStorage,none,costOprStSize,517.8694715401872
2050,AT,gasStorage,none,costOprStSize,18.779481905957056
2050,BE,gasStorage,none,costOprStSize,33.39895563325644
2050,BG,gasStorage,none,costOprStSize,82.09931904133695
2050,CZ,gasStorage,none,costOprStSize,61.04377631558548
2050,DK,gasStorage,none,costOprStSize,11.10779581902999
2050,ES,gasStorage,none,costOprStSize,114.15955972653917
2050,FR,gasStorage,none,costOprStSize,642.3514735804305
2050,GR,gasStorage,none,costOprStSize,19.19628608869586
2050,HR,gasStorage,none,costOprStSize,17.958231503915954
2050,HU,gasStorage,none,costOprStSize,92.55732207714405
2050,IT,gasStorage,none,costOprStSize,410.04721772208575
2050,LV,gasStorage,none,costOprStSize,49.86651536589445
2050,NL,gasStorage,none,costOprStSize,92.83130614607177
2050,PL,gasStorage,none,costOprStSize,123.04683247234989
2050,PT,gasStorage,none,costOprStSize,17.751773213196053
2050,RO,gasStorage,none,costOprStSize,150.12117416490022
2050,SE,gasStorage,none,costOprStSize,0.482282756667354
2050,SK,gasStorage,none,costOprStSize,27.047824694674542
2050,TR,gasStorage,none,costOprStSize,476.839117705374
2050,UK,gasStorage,none,costOprStSize,225.6661589289917
2050,DE < DE11,caes,none,costExpStSize,0.0
2050,DE < DE11,battery < home,none,costExpStSize,4.584781596717396
2050,DE < DE11,battery < grid,none,costExpStSize,3.690287830421098
2050,DE < DE12,caes,none,costExpStSize,0.0
2050,DE < DE12,battery < home,none,costExpStSize,2.55135472460503
2050,DE < DE12,battery < grid,none,costExpStSize,2.053583816956171
2050,DE < DE13,caes,none,costExpStSize,0.0
2050,DE < DE13,battery < home,none,costExpStSize,2.3411838200540585
2050,DE < DE13,battery < grid,none,costExpStSize,1.8844173877573729
2050,DE < DE14,caes,none,costExpStSize,0.0
2050,DE < DE14,battery < home,none,costExpStSize,3.377346553302122
2050,DE < DE14,battery < grid,none,costExpStSize,2.7184241215958846
2050,DE < DE21,caes,none,costExpStSize,0.0
2050,DE < DE21,battery < home,none,costExpStSize,5.108792133838551
2050,DE < DE21,battery < grid,none,costExpStSize,4.1120635829531595
2050,DE < DE22,caes,none,costExpStSize,0.0
2050,DE < DE22,battery < home,none,costExpStSize,4.599346919157233
2050,DE < DE22,battery < grid,none,costExpStSize,3.702011449313735
2050,DE < DE23,caes,none,costExpStSize,0.0
2050,DE < DE23,battery < home,none,costExpStSize,3.2397140971040614
2050,DE < DE23,battery < grid,none,costExpStSize,2.607643843961217
2050,DE < DE24,caes,none,costExpStSize,0.0
2050,DE < DE24,battery < home,none,costExpStSize,2.8878880103272486
2050,DE < DE24,battery < grid,none,costExpStSize,2.324459247472099
2050,DE < DE25,caes,none,costExpStSize,0.0
2050,DE < DE25,battery < home,none,costExpStSize,2.851505778749904
2050,DE < DE25,battery < grid,none,costExpStSize,2.295175212103966
2050,DE < DE26,caes,none,costExpStSize,0.0
2050,DE < DE26,battery < home,none,costExpStSize,4.024650154266383
2050,DE < DE26,battery < grid,none,costExpStSize,3.239438383853535
2050,DE < DE27,caes,none,costExpStSize,0.0
2050,DE < DE27,battery < home,none,costExpStSize,5.121019084689086
2050,DE < DE27,battery < grid,none,costExpStSize,4.121905048020807
2050,DE < DE30,caes,none,costExpStSize,0.0
2050,DE < DE30,battery < home,none,costExpStSize,0.6588138623649532
2050,DE < DE30,battery < grid,none,costExpStSize,0.5302788644368149
2050,DE < DE40,caes,none,costExpStSize,0.0
2050,DE < DE40,battery < home,none,costExpStSize,14.97685044258186
2050,DE < DE40,battery < grid,none,costExpStSize,12.054857523827964
2050,DE < DE50,caes,none,costExpStSize,0.0
2050,DE < DE50,battery < home,none,costExpStSize,0.4352086928649929
2050,DE < DE50,battery < grid,none,costExpStSize,0.3502992038100683
2050,DE < DE60,caes,none,costExpStSize,0.0
2050,DE < DE60,battery < home,none,costExpStSize,0.548628050737857
2050,DE < DE60,battery < grid,none,costExpStSize,0.4415903737955871
2050,DE < DE71,caes,none,costExpStSize,0.0
2050,DE < DE71,battery < home,none,costExpStSize,2.8387856009395183
2050,DE < DE71,battery < grid,none,costExpStSize,2.284936748965816
2050,DE < DE72,caes,none,costExpStSize,0.0
2050,DE < DE72,battery < home,none,costExpStSize,1.841864512354726
2050,DE < DE72,battery < grid,none,costExpStSize,1.4825155902941265
2050,DE < DE73,caes,none,costExpStSize,0.0
2050,DE < DE73,battery < home,none,costExpStSize,3.3922358398299157
2050,DE < DE73,battery < grid,none,costExpStSize,2.730408498979642
2050,DE < DE80,caes,none,costExpStSize,0.0
2050,DE < DE80,battery < home,none,costExpStSize,23.223856928508685
2050,DE < DE80,battery < grid,none,costExpStSize,18.692867869666376
2050,DE < DE91,caes,none,costExpStSize,0.0
2050,DE < DE91,battery < home,none,costExpStSize,2.6465006464834326
2050,DE < DE91,battery < grid,none,costExpStSize,2.1301667097756365
2050,DE < DE92,caes,none,costExpStSize,0.0
2050,DE < DE92,battery < home,none,costExpStSize,9.251071234313113
2050,DE < DE92,battery < grid,none,costExpStSize,7.44618143180195
2050,DE < DE93,caes,none,costExpStSize,0.0
2050,DE < DE93,battery < home,none,costExpStSize,9.478141512440436
2050,DE < DE93,battery < grid,none,costExpStSize,7.6289501561886395
2050,DE < DE94,caes,none,costExpStSize,0.0
2050,DE < DE94,battery < home,none,costExpStSize,17.305569597122386
2050,DE < DE94,battery < grid,none,costExpStSize,13.929242110134602
2050,DE < DEA1,caes,none,costExpStSize,0.0
2050,DE < DEA1,battery < home,none,costExpStSize,3.2826557486268455
2050,DE < DEA1,battery < grid,none,costExpStSize,2.6422075523276463
2050,DE < DEA2,caes,none,costExpStSize,0.0
2050,DE < DEA2,battery < home,none,costExpStSize,4.3641220153472045
2050,DE < DEA2,battery < grid,none,costExpStSize,3.512679071831758
2050,DE < DEA3,caes,none,costExpStSize,0.0
2050,DE < DEA3,battery < home,none,costExpStSize,5.396208296405765
2050,DE < DEA3,battery < grid,none,costExpStSize,4.343404671860759
2050,DE < DEA4,caes,none,costExpStSize,0.0
2050,DE < DEA4,battery < home,none,costExpStSize,4.894413046947124
2050,DE < DEA4,battery < grid,none,costExpStSize,3.9395099904290043
2050,DE < DEA5,caes,none,costExpStSize,0.0
2050,DE < DEA5,battery < home,none,costExpStSize,2.889054039321293
2050,DE < DEA5,battery < grid,none,costExpStSize,2.325397783477767
2050,DE < DEB1,caes,none,costExpStSize,0.0
2050,DE < DEB1,battery < home,none,costExpStSize,3.225647443216051
2050,DE < DEB1,battery < grid,none,costExpStSize,2.59632160307305
2050,DE < DEB2,caes,none,costExpStSize,0.0
2050,DE < DEB2,battery < home,none,costExpStSize,2.147670650824095
2050,DE < DEB2,battery < grid,none,costExpStSize,1.7286587592663563
2050,DE < DEB3,caes,none,costExpStSize,0.0
2050,DE < DEB3,battery < home,none,costExpStSize,2.9134195289648717
2050,DE < DEB3,battery < grid,none,costExpStSize,2.345009550803461
2050,DE < DEC0_,caes,none,costExpStSize,0.0
2050,DE < DEC0_,battery < home,none,costExpStSize,1.2710737131437584
2050,DE < DEC0_,battery < grid,none,costExpStSize,1.0230864341588175
2050,DE < DED2,caes,none,costExpStSize,0.0
2050,DE < DED2,battery < home,none,costExpStSize,4.432913254963523
2050,DE < DED2,battery < grid,none,costExpStSize,3.568049097435037
2050,DE < DED4,caes,none,costExpStSize,0.0
2050,DE < DED4,battery < home,none,costExpStSize,3.228145406004015
2050,DE < DED4,battery < grid,none,costExpStSize,2.5983322117537053
2050,DE < DED5,caes,none,costExpStSize,0.0
2050,DE < DED5,battery < home,none,costExpStSize,1.9916648555656988
2050,DE < DED5,battery < grid,none,costExpStSize,1.603089792550599
2050,DE < DEE0,caes,none,costExpStSize,0.0
2050,DE < DEE0,battery < home,none,costExpStSize,14.824953953414512
2050,DE < DEE0,battery < grid,none,costExpStSize,11.93259613500646
2050,DE < DEF0,caes,none,costExpStSize,0.0
2050,DE < DEF0,battery < home,none,costExpStSize,33.569614457472554
2050,DE < DEF0,battery < grid,none,costExpStSize,27.02016161315855
2050,DE < DEG0,caes,none,costExpStSize,0.0
2050,DE < DEG0,battery < home,none,costExpStSize,5.213677725047292
2050,DE < DEG0,battery < grid,none,costExpStSize,4.196485929505342
2050,AT,none,biomass,costTrdBuy,0.0
2050,BE,none,biomass,costTrdBuy,0.0
2050,BG,none,biomass,costTrdBuy,0.0
2050,CH,none,biomass,costTrdBuy,0.0
2050,CZ,none,biomass,costTrdBuy,0.0
2050,DE,none,biomass,costTrdBuy,0.0
2050,DK,none,biomass,costTrdBuy,0.0
2050,EE,none,biomass,costTrdBuy,0.0
2050,ES,none,biomass,costTrdBuy,0.0
2050,FI,none,biomass,costTrdBuy,0.0
2050,FR,none,biomass,costTrdBuy,0.0
2050,GR,none,biomass,costTrdBuy,0.0
2050,HR,none,biomass,costTrdBuy,0.0
2050,HU,none,biomass,costTrdBuy,0.0
2050,IE,none,biomass,costTrdBuy,0.0
2050,IT,none,biomass,costTrdBuy,0.0
2050,LT,none,biomass,costTrdBuy,0.0
2050,LU,none,biomass,costTrdBuy,0.0
2050,LV,none,biomass,costTrdBuy,0.0
2050,NL,none,biomass,costTrdBuy,0.0
2050,NO,none,biomass,costTrdBuy,0.0
2050,NONEU_Balkan,none,biomass,costTrdBuy,0.0
2050,PL,none,biomass,costTrdBuy,0.0
2050,PT,none,biomass,costTrdBuy,0.0
2050,RO,none,biomass,costTrdBuy,0.0
2050,SE,none,biomass,costTrdBuy,0.0
2050,SI,none,biomass,costTrdBuy,0.0
2050,SK,none,biomass,costTrdBuy,0.0
2050,TR,none,biomass,costTrdBuy,0.0
2050,UK,none,biomass,costTrdBuy,0.0
2050,AT < AT,pumpedHydro,none,costOprStIn,1.5820000000000005
2050,AT < AT,battery < home,none,costOprStIn,1.749
2050,AT < AT,battery < grid,none,costOprStIn,1.4630000000000003
2050,BE < BE,pumpedHydro,none,costOprStIn,0.3192
2050,BE < BE,battery < home,none,costOprStIn,1.7710000000000004
2050,BE < BE,battery < grid,none,costOprStIn,1.4960000000000002
2050,BG < BG,pumpedHydro,none,costOprStIn,0.2604
2050,BG < BG,battery < home,none,costOprStIn,0.132
2050,BG < BG,battery < grid,none,costOprStIn,0.11
2050,CH < CH,pumpedHydro,none,costOprStIn,1.148
2050,CH < CH,battery < home,none,costOprStIn,0.033
2050,CH < CH,battery < grid,none,costOprStIn,0.022000000000000002
2050,CZ < CZ,pumpedHydro,none,costOprStIn,0.28
2050,CZ < CZ,battery < home,none,costOprStIn,3.124
2050,CZ < CZ,battery < grid,none,costOprStIn,3.047
2050,DE < DE12,pumpedHydro,none,costOprStIn,0.016856
2050,DE < DE12,caes,none,costOprStIn,0.0
2050,DE < DE12,battery < home,none,costOprStIn,0.12819923548374837
2050,DE < DE12,battery < grid,none,costOprStIn,0.10318748522471392
2050,DE < DE13,pumpedHydro,none,costOprStIn,0.581896
2050,DE < DE13,caes,none,costOprStIn,0.0
2050,DE < DE13,battery < home,none,costOprStIn,0.11763866974801612
2050,DE < DE13,battery < grid,none,costOprStIn,0.09468729240602405
2050,DE < DE14,pumpedHydro,none,costOprStIn,0.031360000000000006
2050,DE < DE14,caes,none,costOprStIn,0.0
2050,DE < DE14,battery < home,none,costOprStIn,0.16970327250909115
2050,DE < DE14,battery < grid,none,costOprStIn,0.13659405891572046
2050,DE < DE21,pumpedHydro,none,costOprStIn,0.030800000000000004
2050,DE < DE21,caes,none,costOprStIn,0.0
2050,DE < DE21,battery < home,none,costOprStIn,0.2567041107562493
2050,DE < DE21,battery < grid,none,costOprStIn,0.20662097972605878
