timestep_superordinate_dispatch,region_from,region_to,carrier,variable,value
2050,AT,CH,electricity < electricity_central,capaExc,1.200001565
2050,AT,CZ,electricity < electricity_central,capaExc,0.900003149
2050,AT,DE,electricity < electricity_central,capaExc,9.000000031
2050,AT,HU,electricity < electricity_central,capaExc,0.800080197
2050,AT,IT,electricity < electricity_central,capaExc,0.705036009
2050,AT,SI,electricity < electricity_central,capaExc,9.582695083
2050,AT,SK,electricity < electricity_central,capaExc,0.000772242
2050,BE,DE,electricity < electricity_central,capaExc,2.000039844
2050,BE,FR,electricity < electricity_central,capaExc,6.62630349
2050,BE,LU,electricity < electricity_central,capaExc,3.39109672
2050,BE,NL,electricity < electricity_central,capaExc,4.077695236
2050,BE,NO,electricity < electricity_central,capaExc,4.999989662
2050,BE,UK,electricity < electricity_central,capaExc,4.999962519
2050,BG,GR,electricity < electricity_central,capaExc,4.383086802
2050,BG,NONEU_Balkan,electricity < electricity_central,capaExc,1.773942627
2050,BG,RO,electricity < electricity_central,capaExc,13.60095233
2050,BG,TR,electricity < electricity_central,capaExc,26.57114345
2050,CH,AT,electricity < electricity_central,capaExc,1.200001565
2050,CH,DE,electricity < electricity_central,capaExc,5.400000412
2050,CH,FR,electricity < electricity_central,capaExc,5.837307684
2050,CH,IT,electricity < electricity_central,capaExc,4.24000171
2050,CZ,AT,electricity < electricity_central,capaExc,0.800003149
2050,CZ,DE,electricity < electricity_central,capaExc,9.366941074
2050,CZ,PL,electricity < electricity_central,capaExc,0.600006081
2050,CZ,SK,electricity < electricity_central,capaExc,13.23403283
2050,DE,AT,electricity < electricity_central,capaExc,9.000000031
2050,DE,BE,electricity < electricity_central,capaExc,2.000039844
2050,DE,CH,electricity < electricity_central,capaExc,3.500000412
2050,DE,CZ,electricity < electricity_central,capaExc,8.766941074
2050,DE,DK,electricity < electricity_central,capaExc,4.500002641
2050,DE,FR,electricity < electricity_central,capaExc,29.999972253000003
2050,DE,LU,electricity < electricity_central,capaExc,8.993166654
2050,DE,NL,electricity < electricity_central,capaExc,29.9998202
2050,DE,NO,electricity < electricity_central,capaExc,1.40000171
2050,DE,PL,electricity < electricity_central,capaExc,11.8829377
2050,DE,SE,electricity < electricity_central,capaExc,4.960108757
2050,DK,DE,electricity < electricity_central,capaExc,4.485002641
2050,DK,NL,electricity < electricity_central,capaExc,6.620939181
2050,DK,NO,electricity < electricity_central,capaExc,1.640004059
2050,DK,PL,electricity < electricity_central,capaExc,2.936369979
2050,DK,SE,electricity < electricity_central,capaExc,2.440005374
2050,DK,UK,electricity < electricity_central,capaExc,4.135147166
2050,EE,FI,electricity < electricity_central,capaExc,3.89360037
2050,EE,LV,electricity < electricity_central,capaExc,12.44918327
2050,EE,SE,electricity < electricity_central,capaExc,0.000165991
2050,ES,FR,electricity < electricity_central,capaExc,29.79998475
2050,ES,IT,electricity < electricity_central,capaExc,0.000184627
2050,ES,PT,electricity < electricity_central,capaExc,9.169173805
2050,ES,UK,electricity < electricity_central,capaExc,0.000714084
2050,FI,EE,electricity < electricity_central,capaExc,3.87760037
2050,FI,NO,electricity < electricity_central,capaExc,0.000340063
2050,FI,SE,electricity < electricity_central,capaExc,8.977926157
2050,FR,BE,electricity < electricity_central,capaExc,8.12630349
2050,FR,CH,electricity < electricity_central,capaExc,7.687307684
2050,FR,DE,electricity < electricity_central,capaExc,29.499972253000003
2050,FR,ES,electricity < electricity_central,capaExc,29.99998475
2050,FR,IT,electricity < electricity_central,capaExc,6.800010769
2050,FR,LU,electricity < electricity_central,capaExc,5.077435613
2050,FR,UK,electricity < electricity_central,capaExc,4.999988536
2050,GR,BG,electricity < electricity_central,capaExc,3.623086802
2050,GR,IT,electricity < electricity_central,capaExc,0.904731007
2050,GR,NONEU_Balkan,electricity < electricity_central,capaExc,19.76078305
2050,GR,TR,electricity < electricity_central,capaExc,7.680093801
2050,HR,HU,electricity < electricity_central,capaExc,4.673262552
2050,HR,IT,electricity < electricity_central,capaExc,7.227997093
2050,HR,NONEU_Balkan,electricity < electricity_central,capaExc,3.881657755
2050,HR,SI,electricity < electricity_central,capaExc,2.219184075
2050,HU,AT,electricity < electricity_central,capaExc,0.800080197
2050,HU,HR,electricity < electricity_central,capaExc,4.673262552
2050,HU,NONEU_Balkan,electricity < electricity_central,capaExc,16.69446277
2050,HU,RO,electricity < electricity_central,capaExc,16.49141903
2050,HU,SI,electricity < electricity_central,capaExc,7.311305874
2050,HU,SK,electricity < electricity_central,capaExc,25.34874352
2050,IE,UK,electricity < electricity_central,capaExc,10.64284302
2050,IT,AT,electricity < electricity_central,capaExc,0.535036009
2050,IT,CH,electricity < electricity_central,capaExc,1.91000171
2050,IT,ES,electricity < electricity_central,capaExc,0.000184627
2050,IT,FR,electricity < electricity_central,capaExc,4.310010769
2050,IT,GR,electricity < electricity_central,capaExc,0.904731007
2050,IT,HR,electricity < electricity_central,capaExc,7.227997093
2050,IT,NONEU_Balkan,electricity < electricity_central,capaExc,0.800002887
2050,IT,SI,electricity < electricity_central,capaExc,0.680014841
2050,LT,LV,electricity < electricity_central,capaExc,21.18370035
2050,LT,PL,electricity < electricity_central,capaExc,20.33559132
2050,LT,SE,electricity < electricity_central,capaExc,0.700008149
2050,LU,BE,electricity < electricity_central,capaExc,2.89109672
2050,LU,DE,electricity < electricity_central,capaExc,8.993166654
2050,LU,FR,electricity < electricity_central,capaExc,4.697435613
