timestep_superordinate_dispatch,region_from,region_to,carrier,variable,value
2050,AT,CH,electricity < electricity_central,capaExc,1.586651902
2050,AT,CZ,electricity < electricity_central,capaExc,0.900007127
2050,AT,DE,electricity < electricity_central,capaExc,9.00000634
2050,AT,HU,electricity < electricity_central,capaExc,0.800000063
2050,AT,IT,electricity < electricity_central,capaExc,0.7050267
2050,AT,SI,electricity < electricity_central,capaExc,9.592088946
2050,AT,SK,electricity < electricity_central,capaExc,0.000717113
2050,BE,DE,electricity < electricity_central,capaExc,2.00000193
2050,BE,FR,electricity < electricity_central,capaExc,3.300036452
2050,BE,LU,electricity < electricity_central,capaExc,12.82662122
2050,BE,NL,electricity < electricity_central,capaExc,4.599502195
2050,BE,NO,electricity < electricity_central,capaExc,0.512754214
2050,BE,UK,electricity < electricity_central,capaExc,4.0568824
2050,BG,GR,electricity < electricity_central,capaExc,4.578848515
2050,BG,NONEU_Balkan,electricity < electricity_central,capaExc,7.802921963
2050,BG,RO,electricity < electricity_central,capaExc,9.154704645
2050,BG,TR,electricity < electricity_central,capaExc,29.99983254
2050,CH,AT,electricity < electricity_central,capaExc,1.586651902
2050,CH,DE,electricity < electricity_central,capaExc,5.400000658
2050,CH,FR,electricity < electricity_central,capaExc,28.14989714
2050,CH,IT,electricity < electricity_central,capaExc,4.240002077
2050,CZ,AT,electricity < electricity_central,capaExc,0.800007127
2050,CZ,DE,electricity < electricity_central,capaExc,21.86508078
2050,CZ,PL,electricity < electricity_central,capaExc,0.600022589
2050,CZ,SK,electricity < electricity_central,capaExc,15.14315984
2050,DE,AT,electricity < electricity_central,capaExc,9.00000634
2050,DE,BE,electricity < electricity_central,capaExc,2.00000193
2050,DE,CH,electricity < electricity_central,capaExc,3.500000658
2050,DE,CZ,electricity < electricity_central,capaExc,21.26508078
2050,DE,DK,electricity < electricity_central,capaExc,4.500055298
2050,DE,FR,electricity < electricity_central,capaExc,29.999945988
2050,DE,LU,electricity < electricity_central,capaExc,29.99985372
2050,DE,NL,electricity < electricity_central,capaExc,29.999948492
2050,DE,NO,electricity < electricity_central,capaExc,1.400003927
2050,DE,PL,electricity < electricity_central,capaExc,27.9999666
2050,DE,SE,electricity < electricity_central,capaExc,4.999961457
2050,DK,DE,electricity < electricity_central,capaExc,4.485055298
2050,DK,NL,electricity < electricity_central,capaExc,0.700031552
2050,DK,NO,electricity < electricity_central,capaExc,1.6400191
2050,DK,PL,electricity < electricity_central,capaExc,0.000478717
2050,DK,SE,electricity < electricity_central,capaExc,4.467051582
2050,DK,UK,electricity < electricity_central,capaExc,0.000703378
2050,EE,FI,electricity < electricity_central,capaExc,2.307038059
2050,EE,LV,electricity < electricity_central,capaExc,2.246059118
2050,EE,SE,electricity < electricity_central,capaExc,0.00069055
2050,ES,FR,electricity < electricity_central,capaExc,29.79989988
2050,ES,IT,electricity < electricity_central,capaExc,0.000213945
2050,ES,PT,electricity < electricity_central,capaExc,7.871178162
2050,ES,UK,electricity < electricity_central,capaExc,0.000257401
2050,FI,EE,electricity < electricity_central,capaExc,2.291038059
2050,FI,NO,electricity < electricity_central,capaExc,0.000612226
2050,FI,SE,electricity < electricity_central,capaExc,6.037301918
2050,FR,BE,electricity < electricity_central,capaExc,4.800036452
2050,FR,CH,electricity < electricity_central,capaExc,29.99989714
2050,FR,DE,electricity < electricity_central,capaExc,29.499945988
2050,FR,ES,electricity < electricity_central,capaExc,29.99989988
2050,FR,IT,electricity < electricity_central,capaExc,6.800000117
2050,FR,LU,electricity < electricity_central,capaExc,15.92385779
2050,FR,UK,electricity < electricity_central,capaExc,4.999916798
2050,GR,BG,electricity < electricity_central,capaExc,3.818848515
2050,GR,IT,electricity < electricity_central,capaExc,4.999756326
2050,GR,NONEU_Balkan,electricity < electricity_central,capaExc,29.99980354
2050,GR,TR,electricity < electricity_central,capaExc,26.86160693
2050,HR,HU,electricity < electricity_central,capaExc,2.000019153
2050,HR,IT,electricity < electricity_central,capaExc,1.362314197
2050,HR,NONEU_Balkan,electricity < electricity_central,capaExc,1.300047218
2050,HR,SI,electricity < electricity_central,capaExc,1.640050315
2050,HU,AT,electricity < electricity_central,capaExc,0.800000063
2050,HU,HR,electricity < electricity_central,capaExc,2.000019153
2050,HU,NONEU_Balkan,electricity < electricity_central,capaExc,24.86232328
2050,HU,RO,electricity < electricity_central,capaExc,10.35158493
2050,HU,SI,electricity < electricity_central,capaExc,8.465811284
2050,HU,SK,electricity < electricity_central,capaExc,19.50821352
2050,IE,UK,electricity < electricity_central,capaExc,15.24644084
2050,IT,AT,electricity < electricity_central,capaExc,0.5350267
2050,IT,CH,electricity < electricity_central,capaExc,1.910002077
2050,IT,ES,electricity < electricity_central,capaExc,0.000213945
2050,IT,FR,electricity < electricity_central,capaExc,4.310000117
