timestep_superordinate_dispatch,region_from,region_to,carrier,variable,value
2050,DE < DE11,DE < DE12,electricity < electricity_central,expExc,2.5841263635948477e-10
2050,DE < DE11,DE < DE14,electricity < electricity_central,expExc,4.253166543619376e-11
2050,DE < DE11,DE < DE25,electricity < electricity_central,expExc,1.8025537206266704
2050,DE < DE11,DE < DE26,electricity < electricity_central,expExc,2.877999612637269
2050,DE < DE11,DE < DE27,electricity < electricity_central,expExc,7.919149195643228e-7
2050,DE < DE12,DE < DE13,electricity < electricity_central,expExc,1.514534382534992e-9
2050,DE < DE12,DE < DE14,electricity < electricity_central,expExc,2.9183953553697977e-7
2050,DE < DE12,DE < DE26,electricity < electricity_central,expExc,5.157280590410619e-10
2050,DE < DE12,DE < DE71,electricity < electricity_central,expExc,3.047737835517691e-10
2050,DE < DE12,DE < DEB3,electricity < electricity_central,expExc,7.215362379463812e-11
2050,DE < DE13,DE < DE14,electricity < electricity_central,expExc,6.3715952955674116
2050,DE < DE14,DE < DE27,electricity < electricity_central,expExc,2.1148888584683947
2050,DE < DE21,DE < DE22,electricity < electricity_central,expExc,5.937435482834102e-11
2050,DE < DE21,DE < DE23,electricity < electricity_central,expExc,3.084179323281863e-7
2050,DE < DE21,DE < DE25,electricity < electricity_central,expExc,2.836416088771549e-11
2050,DE < DE21,DE < DE27,electricity < electricity_central,expExc,6.01689069224373e-11
2050,DE < DE22,DE < DE23,electricity < electricity_central,expExc,4.701800815639905e-10
2050,DE < DE23,DE < DE24,electricity < electricity_central,expExc,2.5062265725185853
2050,DE < DE23,DE < DE25,electricity < electricity_central,expExc,0.2369958987528501
2050,DE < DE24,DE < DE25,electricity < electricity_central,expExc,3.000073983690136e-11
2050,DE < DE24,DE < DE26,electricity < electricity_central,expExc,3.147729833942349e-11
2050,DE < DE24,DE < DED4,electricity < electricity_central,expExc,1.8909734073166997
2050,DE < DE24,DE < DEG0,electricity < electricity_central,expExc,0.22468886990225007
2050,DE < DE25,DE < DE26,electricity < electricity_central,expExc,2.589992533952225e-11
2050,DE < DE25,DE < DE27,electricity < electricity_central,expExc,0.6788203628085837
2050,DE < DE26,DE < DE71,electricity < electricity_central,expExc,3.6206399326217234e-11
2050,DE < DE26,DE < DE73,electricity < electricity_central,expExc,1.37710637561663
2050,DE < DE26,DE < DEG0,electricity < electricity_central,expExc,11.165512077443102
2050,DE < DE30,DE < DE40,electricity < electricity_central,expExc,1.756276504189952e-11
2050,DE < DE40,DE < DE80,electricity < electricity_central,expExc,21.082007952431727
2050,DE < DE40,DE < DE93,electricity < electricity_central,expExc,2.3591940461624457e-6
2050,DE < DE40,DE < DED2,electricity < electricity_central,expExc,1.5153806263469724e-10
2050,DE < DE40,DE < DED5,electricity < electricity_central,expExc,2.676487111785226e-7
2050,DE < DE40,DE < DEE0,electricity < electricity_central,expExc,4.173252175073498e-11
2050,DE < DE50,DE < DE92,electricity < electricity_central,expExc,4.525041021835321e-7
2050,DE < DE50,DE < DE93,electricity < electricity_central,expExc,4.321954826150179
2050,DE < DE50,DE < DE94,electricity < electricity_central,expExc,1.2621958364714496e-10
2050,DE < DE60,DE < DE93,electricity < electricity_central,expExc,1.9126333003819088e-7
2050,DE < DE60,DE < DEF0,electricity < electricity_central,expExc,0.6914764166462142
2050,DE < DE71,DE < DE72,electricity < electricity_central,expExc,4.2592506568585183e-10
2050,DE < DE71,DE < DE73,electricity < electricity_central,expExc,2.614031248706489e-9
2050,DE < DE71,DE < DEB1,electricity < electricity_central,expExc,4.6661750201347884e-11
2050,DE < DE71,DE < DEB3,electricity < electricity_central,expExc,3.499366626278648e-10
2050,DE < DE72,DE < DE73,electricity < electricity_central,expExc,8.013747491421693
2050,DE < DE72,DE < DEA5,electricity < electricity_central,expExc,6.981459906053019e-7
2050,DE < DE72,DE < DEB1,electricity < electricity_central,expExc,2.2017508241274546e-11
2050,DE < DE73,DE < DE91,electricity < electricity_central,expExc,1.912310333952179
2050,DE < DE73,DE < DEA4,electricity < electricity_central,expExc,4.7749492445368777e-11
2050,DE < DE73,DE < DEA5,electricity < electricity_central,expExc,3.011362919894866e-11
2050,DE < DE73,DE < DEG0,electricity < electricity_central,expExc,7.210637069278313e-11
2050,DE < DE80,DE < DE93,electricity < electricity_central,expExc,5.558551954448863e-7
2050,DE < DE80,DE < DEF0,electricity < electricity_central,expExc,5.375434477204782e-10
2050,DE < DE91,DE < DE92,electricity < electricity_central,expExc,2.2491498937665354e-10
2050,DE < DE91,DE < DE93,electricity < electricity_central,expExc,1.0137245117987792e-9
2050,DE < DE91,DE < DEA4,electricity < electricity_central,expExc,5.732799944537886e-7
2050,DE < DE91,DE < DEE0,electricity < electricity_central,expExc,2.2926102667498167
2050,DE < DE91,DE < DEG0,electricity < electricity_central,expExc,0.8074585039242005
2050,DE < DE92,DE < DE93,electricity < electricity_central,expExc,16.849718484585516
2050,DE < DE92,DE < DE94,electricity < electricity_central,expExc,9.161378942602958e-11
2050,DE < DE92,DE < DEA4,electricity < electricity_central,expExc,7.497476474584248
2050,DE < DE93,DE < DE94,electricity < electricity_central,expExc,1.4650165671869733e-10
2050,DE < DE93,DE < DEE0,electricity < electricity_central,expExc,5.102808193251874e-7
2050,DE < DE93,DE < DEF0,electricity < electricity_central,expExc,13.066556569384794
2050,DE < DE94,DE < DEA3,electricity < electricity_central,expExc,12.480533897182069
2050,DE < DE94,DE < DEA4,electricity < electricity_central,expExc,1.6827795970075914e-10
2050,DE < DEA1,DE < DEA2,electricity < electricity_central,expExc,2.0670891673325208e-10
2050,DE < DEA1,DE < DEA3,electricity < electricity_central,expExc,2.400559958320196
2050,DE < DEA1,DE < DEA5,electricity < electricity_central,expExc,2.2335911551204127e-10
