timestep_superordinate_dispatch,region_from,region_to,carrier,variable,value
2050,DE < DE11,DE < DE12,electricity < electricity_central,expExc,2.0710624733431673e-8
2050,DE < DE11,DE < DE14,electricity < electricity_central,expExc,1.2640798340060346e-9
2050,DE < DE11,DE < DE25,electricity < electricity_central,expExc,2.1746287781178
2050,DE < DE11,DE < DE26,electricity < electricity_central,expExc,5.520702607114027
2050,DE < DE11,DE < DE27,electricity < electricity_central,expExc,0.00010105189661101264
2050,DE < DE12,DE < DE13,electricity < electricity_central,expExc,1.9943172279875816e-8
2050,DE < DE12,DE < DE14,electricity < electricity_central,expExc,3.45905000042209e-5
2050,DE < DE12,DE < DE26,electricity < electricity_central,expExc,1.460764103441051e-8
2050,DE < DE12,DE < DE71,electricity < electricity_central,expExc,0.7833009537309822
2050,DE < DE12,DE < DEB3,electricity < electricity_central,expExc,7.96659564473129e-9
2050,DE < DE13,DE < DE14,electricity < electricity_central,expExc,9.702730639277044
2050,DE < DE14,DE < DE27,electricity < electricity_central,expExc,1.705920345923907
2050,DE < DE21,DE < DE22,electricity < electricity_central,expExc,2.710775887802239e-9
2050,DE < DE21,DE < DE23,electricity < electricity_central,expExc,4.1844762370418274e-5
2050,DE < DE21,DE < DE25,electricity < electricity_central,expExc,1.2473457925058327e-8
2050,DE < DE21,DE < DE27,electricity < electricity_central,expExc,1.0667196125461648e-8
2050,DE < DE22,DE < DE23,electricity < electricity_central,expExc,9.53529314704375e-9
2050,DE < DE23,DE < DE24,electricity < electricity_central,expExc,2.671153418456928
2050,DE < DE23,DE < DE25,electricity < electricity_central,expExc,0.1216703327347711
2050,DE < DE24,DE < DE25,electricity < electricity_central,expExc,7.478994622600447e-9
2050,DE < DE24,DE < DE26,electricity < electricity_central,expExc,4.102913046252766e-9
2050,DE < DE24,DE < DED4,electricity < electricity_central,expExc,2.540887901856232
2050,DE < DE24,DE < DEG0,electricity < electricity_central,expExc,7.477397793139122e-6
2050,DE < DE25,DE < DE26,electricity < electricity_central,expExc,3.944504180834661e-9
2050,DE < DE25,DE < DE27,electricity < electricity_central,expExc,0.6795687321689757
2050,DE < DE26,DE < DE71,electricity < electricity_central,expExc,1.1121627483641581e-8
2050,DE < DE26,DE < DE73,electricity < electricity_central,expExc,0.9444474605710282
2050,DE < DE26,DE < DEG0,electricity < electricity_central,expExc,13.835002668050421
2050,DE < DE30,DE < DE40,electricity < electricity_central,expExc,1.2428589627076784e-8
2050,DE < DE40,DE < DE80,electricity < electricity_central,expExc,21.465551920539497
2050,DE < DE40,DE < DE93,electricity < electricity_central,expExc,0.3067306380987005
2050,DE < DE40,DE < DED2,electricity < electricity_central,expExc,1.4162406087838106e-8
2050,DE < DE40,DE < DED5,electricity < electricity_central,expExc,4.224411326689299e-5
