timestep_superordinate_dispatch,region_from,region_to,carrier,variable,value
2050,DE < DE11,DE < DE12,electricity < electricity_central,expExc,1.270700676090485e-10
2050,DE < DE11,DE < DE14,electricity < electricity_central,expExc,8.315554930318993e-11
2050,DE < DE11,DE < DE25,electricity < electricity_central,expExc,2.8499935407001336
2050,DE < DE11,DE < DE26,electricity < electricity_central,expExc,2.1047912100816384
2050,DE < DE11,DE < DE27,electricity < electricity_central,expExc,1.4586299678381754e-6
2050,DE < DE12,DE < DE13,electricity < electricity_central,expExc,3.2370461301239776e-10
2050,DE < DE12,DE < DE14,electricity < electricity_central,expExc,1.4295685411830611e-6
2050,DE < DE12,DE < DE26,electricity < electricity_central,expExc,3.689440624711429e-10
2050,DE < DE12,DE < DE71,electricity < electricity_central,expExc,4.885142405836642e-8
2050,DE < DE12,DE < DEB3,electricity < electricity_central,expExc,1.2141998045843825
2050,DE < DE13,DE < DE14,electricity < electricity_central,expExc,9.059064932847788e-11
2050,DE < DE14,DE < DE27,electricity < electricity_central,expExc,5.516757521903658e-10
2050,DE < DE21,DE < DE22,electricity < electricity_central,expExc,5.2923001437330536e-11
2050,DE < DE21,DE < DE23,electricity < electricity_central,expExc,2.6785401630324934e-6
2050,DE < DE21,DE < DE25,electricity < electricity_central,expExc,9.452249889620502e-11
2050,DE < DE21,DE < DE27,electricity < electricity_central,expExc,1.0246393846066294e-10
2050,DE < DE22,DE < DE23,electricity < electricity_central,expExc,0.4539426070372748
2050,DE < DE23,DE < DE24,electricity < electricity_central,expExc,0.8650148293770054
2050,DE < DE23,DE < DE25,electricity < electricity_central,expExc,1.3874751278197783e-10
2050,DE < DE24,DE < DE25,electricity < electricity_central,expExc,1.415548889039688
2050,DE < DE24,DE < DE26,electricity < electricity_central,expExc,2.17414882192954e-10
2050,DE < DE24,DE < DED4,electricity < electricity_central,expExc,4.992135447164108
2050,DE < DE24,DE < DEG0,electricity < electricity_central,expExc,1.9296302299842305e-10
2050,DE < DE25,DE < DE26,electricity < electricity_central,expExc,1.0482039942832469e-10
2050,DE < DE25,DE < DE27,electricity < electricity_central,expExc,4.289287813826738e-6
2050,DE < DE26,DE < DE71,electricity < electricity_central,expExc,7.357681287355475e-11
2050,DE < DE26,DE < DE73,electricity < electricity_central,expExc,1.2056564194350896
2050,DE < DE26,DE < DEG0,electricity < electricity_central,expExc,11.610628998115322
2050,DE < DE30,DE < DE40,electricity < electricity_central,expExc,5.3384151115166256e-11
