timestep_superordinate_dispatch,region_from,region_to,carrier,variable,value
2050,DE < DE11,DE < DE12,electricity < electricity_central,expExc,3.072975204372132e-10
2050,DE < DE11,DE < DE14,electricity < electricity_central,expExc,1.2464819610018511e-10
2050,DE < DE11,DE < DE25,electricity < electricity_central,expExc,1.2842975940755226
2050,DE < DE11,DE < DE26,electricity < electricity_central,expExc,3.7598105692423363
2050,DE < DE11,DE < DE27,electricity < electricity_central,expExc,2.608603787465869e-6
2050,DE < DE12,DE < DE13,electricity < electricity_central,expExc,1.3814736471002525e-10
2050,DE < DE12,DE < DE14,electricity < electricity_central,expExc,2.2968273075171325e-6
2050,DE < DE12,DE < DE26,electricity < electricity_central,expExc,6.601109774576607e-10
2050,DE < DE12,DE < DE71,electricity < electricity_central,expExc,0.3156281350799658
2050,DE < DE12,DE < DEB3,electricity < electricity_central,expExc,2.7860478038285357
2050,DE < DE13,DE < DE14,electricity < electricity_central,expExc,2.170688416480042e-10
2050,DE < DE14,DE < DE27,electricity < electricity_central,expExc,3.1976304100004486e-10
2050,DE < DE21,DE < DE22,electricity < electricity_central,expExc,1.191428414214688e-10
2050,DE < DE21,DE < DE23,electricity < electricity_central,expExc,4.566514396808979e-6
2050,DE < DE21,DE < DE25,electricity < electricity_central,expExc,4.376233452528237e-10
2050,DE < DE21,DE < DE27,electricity < electricity_central,expExc,1.657466376550384e-10
2050,DE < DE22,DE < DE23,electricity < electricity_central,expExc,1.5877610557393993
2050,DE < DE23,DE < DE24,electricity < electricity_central,expExc,2.1184525193857615
2050,DE < DE23,DE < DE25,electricity < electricity_central,expExc,3.9161044664856307e-10
2050,DE < DE24,DE < DE25,electricity < electricity_central,expExc,0.27680545417531915
2050,DE < DE24,DE < DE26,electricity < electricity_central,expExc,4.725569811697784e-10
2050,DE < DE24,DE < DED4,electricity < electricity_central,expExc,4.992134492291686
2050,DE < DE24,DE < DEG0,electricity < electricity_central,expExc,4.427784092541683e-10
2050,DE < DE25,DE < DE26,electricity < electricity_central,expExc,2.089696159887028e-10
2050,DE < DE25,DE < DE27,electricity < electricity_central,expExc,8.773114431953495e-6
2050,DE < DE26,DE < DE71,electricity < electricity_central,expExc,3.412226770138923e-10
2050,DE < DE26,DE < DE73,electricity < electricity_central,expExc,0.00019989323244021476
2050,DE < DE26,DE < DEG0,electricity < electricity_central,expExc,13.253018359472568
2050,DE < DE30,DE < DE40,electricity < electricity_central,expExc,1.1567361481273975e-10
2050,DE < DE40,DE < DE80,electricity < electricity_central,expExc,16.61732589705839
2050,DE < DE40,DE < DE93,electricity < electricity_central,expExc,0.4508297631354231
2050,DE < DE40,DE < DED2,electricity < electricity_central,expExc,3.21116696600511e-10
2050,DE < DE40,DE < DED5,electricity < electricity_central,expExc,1.9871951645153967e-6
2050,DE < DE40,DE < DEE0,electricity < electricity_central,expExc,2.0834031988281478e-10
2050,DE < DE50,DE < DE92,electricity < electricity_central,expExc,3.1225264986552875e-6
2050,DE < DE50,DE < DE93,electricity < electricity_central,expExc,4.27563238316253
2050,DE < DE50,DE < DE94,electricity < electricity_central,expExc,2.534261507963418e-10
2050,DE < DE60,DE < DE93,electricity < electricity_central,expExc,1.2023521573434731e-7
2050,DE < DE60,DE < DEF0,electricity < electricity_central,expExc,0.9324041446894803
2050,DE < DE71,DE < DE72,electricity < electricity_central,expExc,1.0182869783442133e-9
2050,DE < DE71,DE < DE73,electricity < electricity_central,expExc,5.652528555597116e-9
2050,DE < DE71,DE < DEB1,electricity < electricity_central,expExc,4.1656122887214477e-10
2050,DE < DE71,DE < DEB3,electricity < electricity_central,expExc,4.4910064536397654e-10
2050,DE < DE72,DE < DE73,electricity < electricity_central,expExc,7.146996705570842
2050,DE < DE72,DE < DEA5,electricity < electricity_central,expExc,7.345138468920456e-6
2050,DE < DE72,DE < DEB1,electricity < electricity_central,expExc,1.1885852463285546e-10
2050,DE < DE73,DE < DE91,electricity < electricity_central,expExc,3.416976327811699e-9
2050,DE < DE73,DE < DEA4,electricity < electricity_central,expExc,2.5170937748030273e-10
2050,DE < DE73,DE < DEA5,electricity < electricity_central,expExc,2.8611898486617166e-10
2050,DE < DE73,DE < DEG0,electricity < electricity_central,expExc,1.9818250976947089e-10
2050,DE < DE80,DE < DE93,electricity < electricity_central,expExc,3.649092134864955e-6
2050,DE < DE80,DE < DEF0,electricity < electricity_central,expExc,6.336539249146726e-10
2050,DE < DE91,DE < DE92,electricity < electricity_central,expExc,1.557280239265406e-10
2050,DE < DE91,DE < DE93,electricity < electricity_central,expExc,7.510072800319404e-10
2050,DE < DE91,DE < DEA4,electricity < electricity_central,expExc,4.122123288576929e-6
2050,DE < DE91,DE < DEE0,electricity < electricity_central,expExc,3.0410852685436005e-10
2050,DE < DE91,DE < DEG0,electricity < electricity_central,expExc,1.2783505823962125e-5
2050,DE < DE92,DE < DE93,electricity < electricity_central,expExc,16.596563909033037
2050,DE < DE92,DE < DE94,electricity < electricity_central,expExc,1.0084244986571809e-10
2050,DE < DE92,DE < DEA4,electricity < electricity_central,expExc,5.64365629966069
2050,DE < DE93,DE < DE94,electricity < electricity_central,expExc,4.412296094819146e-10
2050,DE < DE93,DE < DEE0,electricity < electricity_central,expExc,3.199257648595165e-6
2050,DE < DE93,DE < DEF0,electricity < electricity_central,expExc,14.153330889543058
2050,DE < DE94,DE < DEA3,electricity < electricity_central,expExc,16.318130278815293
2050,DE < DE94,DE < DEA4,electricity < electricity_central,expExc,2.324850160250986e-10
2050,DE < DEA1,DE < DEA2,electricity < electricity_central,expExc,1.7521547981313793e-10
2050,DE < DEA1,DE < DEA3,electricity < electricity_central,expExc,5.236195202145985
2050,DE < DEA1,DE < DEA5,electricity < electricity_central,expExc,6.191616703280072e-10
2050,DE < DEA2,DE < DEA5,electricity < electricity_central,expExc,1.2451218438424356e-9
2050,DE < DEA2,DE < DEB1,electricity < electricity_central,expExc,1.5280340323954818e-10
2050,DE < DEA2,DE < DEB2,electricity < electricity_central,expExc,1.9886091345859821e-10
2050,DE < DEA3,DE < DEA4,electricity < electricity_central,expExc,5.451004887475206e-10
2050,DE < DEA3,DE < DEA5,electricity < electricity_central,expExc,1.4752068865783684e-10
2050,DE < DEA4,DE < DEA5,electricity < electricity_central,expExc,2.4537460860347413
2050,DE < DEA5,DE < DEB1,electricity < electricity_central,expExc,3.5099479535619576e-10
2050,DE < DEB1,DE < DEB2,electricity < electricity_central,expExc,4.907823995820309e-10
2050,DE < DEB1,DE < DEB3,electricity < electricity_central,expExc,3.7093516297342166
2050,DE < DEB1,DE < DEC0_,electricity < electricity_central,expExc,2.3152474966494183e-5
2050,DE < DEB2,DE < DEC0_,electricity < electricity_central,expExc,0.9442567463603868
2050,DE < DEB3,DE < DEC0_,electricity < electricity_central,expExc,2.1922683159568806e-10
2050,DE < DED2,DE < DED4,electricity < electricity_central,expExc,3.781352581932092e-10
2050,DE < DED2,DE < DED5,electricity < electricity_central,expExc,2.2713373685058968e-10
2050,DE < DED4,DE < DED5,electricity < electricity_central,expExc,1.678009955932609e-9
