timestep_superordinate_dispatch,region_from,region_to,carrier,variable,value
2050,DE < DE11,DE < DE12,electricity < electricity_central,expExc,1.1441964812802108e-7
2050,DE < DE11,DE < DE14,electricity < electricity_central,expExc,7.9847456740522e-8
2050,DE < DE11,DE < DE25,electricity < electricity_central,expExc,5.0899323211582645
2050,DE < DE11,DE < DE26,electricity < electricity_central,expExc,4.718856504613251e-7
2050,DE < DE11,DE < DE27,electricity < electricity_central,expExc,4.2029733467594075e-5
2050,DE < DE12,DE < DE13,electricity < electricity_central,expExc,3.6511395211935886e-7
2050,DE < DE12,DE < DE14,electricity < electricity_central,expExc,1.9073803472269374e-5
2050,DE < DE12,DE < DE26,electricity < electricity_central,expExc,1.2781977335403644e-7
2050,DE < DE12,DE < DE71,electricity < electricity_central,expExc,1.1048090988794406
2050,DE < DE12,DE < DEB3,electricity < electricity_central,expExc,0.4250873324785984
2050,DE < DE13,DE < DE14,electricity < electricity_central,expExc,10.349808463662802
2050,DE < DE14,DE < DE27,electricity < electricity_central,expExc,0.06563845434261581
2050,DE < DE21,DE < DE22,electricity < electricity_central,expExc,9.02495813736734e-8
2050,DE < DE21,DE < DE23,electricity < electricity_central,expExc,2.9272527569685512e-5
2050,DE < DE21,DE < DE25,electricity < electricity_central,expExc,1.5467819990994906e-7
2050,DE < DE21,DE < DE27,electricity < electricity_central,expExc,0.142718236118565
2050,DE < DE22,DE < DE23,electricity < electricity_central,expExc,1.020280805528571
2050,DE < DE23,DE < DE24,electricity < electricity_central,expExc,2.132843561628306
2050,DE < DE23,DE < DE25,electricity < electricity_central,expExc,2.1046990704482722e-7
2050,DE < DE24,DE < DE25,electricity < electricity_central,expExc,2.0319406025758883e-7
2050,DE < DE24,DE < DE26,electricity < electricity_central,expExc,1.2063042804718204e-7
2050,DE < DE24,DE < DED4,electricity < electricity_central,expExc,0.9092711346035315
2050,DE < DE24,DE < DEG0,electricity < electricity_central,expExc,3.75088360372526e-7
2050,DE < DE25,DE < DE26,electricity < electricity_central,expExc,8.888260336752902e-8
2050,DE < DE25,DE < DE27,electricity < electricity_central,expExc,0.00045025472935620876
2050,DE < DE26,DE < DE71,electricity < electricity_central,expExc,2.616669727308191e-7
2050,DE < DE26,DE < DE73,electricity < electricity_central,expExc,1.3836134358854113
2050,DE < DE26,DE < DEG0,electricity < electricity_central,expExc,4.240278604896824
2050,DE < DE30,DE < DE40,electricity < electricity_central,expExc,8.640002712593166e-8
2050,DE < DE40,DE < DE80,electricity < electricity_central,expExc,14.947470956074923
2050,DE < DE40,DE < DE93,electricity < electricity_central,expExc,0.27757502175495724
2050,DE < DE40,DE < DED2,electricity < electricity_central,expExc,1.6924595416531844e-6
2050,DE < DE40,DE < DED5,electricity < electricity_central,expExc,2.099238188529955e-5
2050,DE < DE40,DE < DEE0,electricity < electricity_central,expExc,6.028091892737e-8
2050,DE < DE50,DE < DE92,electricity < electricity_central,expExc,6.970928933223775e-5
2050,DE < DE50,DE < DE93,electricity < electricity_central,expExc,4.348676103487653
2050,DE < DE50,DE < DE94,electricity < electricity_central,expExc,2.0990501638876846e-7
2050,DE < DE60,DE < DE93,electricity < electricity_central,expExc,0.7473581690003479
2050,DE < DE60,DE < DEF0,electricity < electricity_central,expExc,1.0584922259520604
2050,DE < DE71,DE < DE72,electricity < electricity_central,expExc,1.195838022005816e-7
2050,DE < DE71,DE < DE73,electricity < electricity_central,expExc,1.745991558438891e-7
2050,DE < DE71,DE < DEB1,electricity < electricity_central,expExc,1.842435983803747e-7
2050,DE < DE71,DE < DEB3,electricity < electricity_central,expExc,1.1564348518106173
2050,DE < DE72,DE < DE73,electricity < electricity_central,expExc,9.142574525543486
2050,DE < DE72,DE < DEA5,electricity < electricity_central,expExc,7.739312560942058e-5
2050,DE < DE72,DE < DEB1,electricity < electricity_central,expExc,3.5829674483119615e-7
2050,DE < DE73,DE < DE91,electricity < electricity_central,expExc,1.2737092915357273
2050,DE < DE73,DE < DEA4,electricity < electricity_central,expExc,2.5731850913050805e-7
2050,DE < DE73,DE < DEA5,electricity < electricity_central,expExc,8.831364683141586e-8
2050,DE < DE73,DE < DEG0,electricity < electricity_central,expExc,0.2418222687282426
2050,DE < DE80,DE < DE93,electricity < electricity_central,expExc,5.669321751534007e-5
2050,DE < DE80,DE < DEF0,electricity < electricity_central,expExc,2.4320519404064115e-5
2050,DE < DE91,DE < DE92,electricity < electricity_central,expExc,1.4206427604574485e-7
2050,DE < DE91,DE < DE93,electricity < electricity_central,expExc,2.456025223838539e-7
2050,DE < DE91,DE < DEA4,electricity < electricity_central,expExc,5.739504411961365e-5
2050,DE < DE91,DE < DEE0,electricity < electricity_central,expExc,10.779106080746173
2050,DE < DE91,DE < DEG0,electricity < electricity_central,expExc,2.749819987479972
2050,DE < DE92,DE < DE93,electricity < electricity_central,expExc,9.633277731927157
2050,DE < DE92,DE < DE94,electricity < electricity_central,expExc,8.670794018153838e-8
2050,DE < DE92,DE < DEA4,electricity < electricity_central,expExc,12.154036913362328
2050,DE < DE93,DE < DE94,electricity < electricity_central,expExc,2.7914426869313735e-7
2050,DE < DE93,DE < DEE0,electricity < electricity_central,expExc,9.316130251535338e-5
2050,DE < DE93,DE < DEF0,electricity < electricity_central,expExc,1.670639798293203
2050,DE < DE94,DE < DEA3,electricity < electricity_central,expExc,10.735931321922369
2050,DE < DE94,DE < DEA4,electricity < electricity_central,expExc,7.090004804509615e-8
2050,DE < DEA1,DE < DEA2,electricity < electricity_central,expExc,1.0160444206462629e-7
2050,DE < DEA1,DE < DEA3,electricity < electricity_central,expExc,10.3649045498869
2050,DE < DEA1,DE < DEA5,electricity < electricity_central,expExc,5.630048832888778e-7
