timestep_superordinate_dispatch,region_from,region_to,carrier,variable,value
2050,DE < DE11,DE < DE12,electricity < electricity_central,expExc,2.2711124683913169e-7
2050,DE < DE11,DE < DE14,electricity < electricity_central,expExc,1.1605365825793594e-7
2050,DE < DE11,DE < DE25,electricity < electricity_central,expExc,5.144357159442869
2050,DE < DE11,DE < DE26,electricity < electricity_central,expExc,7.441507350154513e-7
2050,DE < DE11,DE < DE27,electricity < electricity_central,expExc,4.4937455362631256e-5
2050,DE < DE12,DE < DE13,electricity < electricity_central,expExc,5.580989545229065e-7
2050,DE < DE12,DE < DE14,electricity < electricity_central,expExc,2.6487393357104216e-5
2050,DE < DE12,DE < DE26,electricity < electricity_central,expExc,4.931084475799649e-7
2050,DE < DE12,DE < DE71,electricity < electricity_central,expExc,0.5164951520880041
2050,DE < DE12,DE < DEB3,electricity < electricity_central,expExc,0.10101212856670157
2050,DE < DE13,DE < DE14,electricity < electricity_central,expExc,10.057469501901434
2050,DE < DE14,DE < DE27,electricity < electricity_central,expExc,7.736981157042985e-7
2050,DE < DE21,DE < DE22,electricity < electricity_central,expExc,1.4379427195402695e-7
2050,DE < DE21,DE < DE23,electricity < electricity_central,expExc,3.8170895084819234e-5
2050,DE < DE21,DE < DE25,electricity < electricity_central,expExc,1.4317188912238308e-7
2050,DE < DE21,DE < DE27,electricity < electricity_central,expExc,0.3010113276455561
2050,DE < DE22,DE < DE23,electricity < electricity_central,expExc,0.6906613257802563
2050,DE < DE23,DE < DE24,electricity < electricity_central,expExc,2.475099028322641
2050,DE < DE23,DE < DE25,electricity < electricity_central,expExc,5.786813757214811e-7
2050,DE < DE24,DE < DE25,electricity < electricity_central,expExc,3.1989298605422834e-7
2050,DE < DE24,DE < DE26,electricity < electricity_central,expExc,2.0810866622175178e-7
2050,DE < DE24,DE < DED4,electricity < electricity_central,expExc,1.1225177657379806
2050,DE < DE24,DE < DEG0,electricity < electricity_central,expExc,8.043840864474853e-7
2050,DE < DE25,DE < DE26,electricity < electricity_central,expExc,1.3531165073989563e-7
2050,DE < DE25,DE < DE27,electricity < electricity_central,expExc,0.00022737172849848514
2050,DE < DE26,DE < DE71,electricity < electricity_central,expExc,3.5621413515371367e-7
2050,DE < DE26,DE < DE73,electricity < electricity_central,expExc,0.361751296475466
2050,DE < DE26,DE < DEG0,electricity < electricity_central,expExc,4.745231960105427
2050,DE < DE30,DE < DE40,electricity < electricity_central,expExc,1.2206196651478867e-7
2050,DE < DE40,DE < DE80,electricity < electricity_central,expExc,14.814000193439432
2050,DE < DE40,DE < DE93,electricity < electricity_central,expExc,0.0004621445542338197
2050,DE < DE40,DE < DED2,electricity < electricity_central,expExc,3.3072450895282147e-6
2050,DE < DE40,DE < DED5,electricity < electricity_central,expExc,2.872141151179547e-5
2050,DE < DE40,DE < DEE0,electricity < electricity_central,expExc,8.592172253487856e-8
2050,DE < DE50,DE < DE92,electricity < electricity_central,expExc,7.415711952222509e-5
