timestep_superordinate_dispatch,region_from,region_to,carrier,variable,value
2050,DE < DE11,DE < DE12,electricity < electricity_central,expExc,9.113011935777187
2050,DE < DE11,DE < DE14,electricity < electricity_central,expExc,4.9437496499483e-9
2050,DE < DE11,DE < DE25,electricity < electricity_central,expExc,5.0730555544903675
2050,DE < DE11,DE < DE26,electricity < electricity_central,expExc,4.213978716457519
2050,DE < DE11,DE < DE27,electricity < electricity_central,expExc,4.696473196754026
2050,DE < DE12,DE < DE13,electricity < electricity_central,expExc,3.578177813739591
2050,DE < DE12,DE < DE14,electricity < electricity_central,expExc,1.3568372083996205
2050,DE < DE12,DE < DE26,electricity < electricity_central,expExc,2.546234546490613
2050,DE < DE12,DE < DE71,electricity < electricity_central,expExc,1.6947942943208574
2050,DE < DE12,DE < DEB3,electricity < electricity_central,expExc,20.892070556784375
2050,DE < DE13,DE < DE14,electricity < electricity_central,expExc,12.270116738738398
2050,DE < DE14,DE < DE27,electricity < electricity_central,expExc,7.536951968971982
2050,DE < DE21,DE < DE22,electricity < electricity_central,expExc,1.7387014870349982e-10
2050,DE < DE21,DE < DE23,electricity < electricity_central,expExc,0.4433303542002327
2050,DE < DE21,DE < DE25,electricity < electricity_central,expExc,5.943954894323895e-10
2050,DE < DE21,DE < DE27,electricity < electricity_central,expExc,3.206041559005567
2050,DE < DE22,DE < DE23,electricity < electricity_central,expExc,8.940696483964562
2050,DE < DE23,DE < DE24,electricity < electricity_central,expExc,6.841722571207496
2050,DE < DE23,DE < DE25,electricity < electricity_central,expExc,1.6115863935379422
2050,DE < DE24,DE < DE25,electricity < electricity_central,expExc,1.3145764242285087
2050,DE < DE24,DE < DE26,electricity < electricity_central,expExc,1.1750442682645518e-9
2050,DE < DE24,DE < DED4,electricity < electricity_central,expExc,4.339642137725164
2050,DE < DE24,DE < DEG0,electricity < electricity_central,expExc,2.03697489499147
2050,DE < DE25,DE < DE26,electricity < electricity_central,expExc,1.0339313700505017
2050,DE < DE25,DE < DE27,electricity < electricity_central,expExc,0.91373145156253
2050,DE < DE26,DE < DE71,electricity < electricity_central,expExc,3.917575197894394
2050,DE < DE26,DE < DE73,electricity < electricity_central,expExc,6.988428411247555
2050,DE < DE26,DE < DEG0,electricity < electricity_central,expExc,10.449557819407222
2050,DE < DE30,DE < DE40,electricity < electricity_central,expExc,2.1788502960017847e-10
2050,DE < DE40,DE < DE80,electricity < electricity_central,expExc,13.539328627961977
2050,DE < DE40,DE < DE93,electricity < electricity_central,expExc,6.585950735898358
2050,DE < DE40,DE < DED2,electricity < electricity_central,expExc,9.315133811209694e-9
2050,DE < DE40,DE < DED5,electricity < electricity_central,expExc,4.812680053602411e-6
2050,DE < DE40,DE < DEE0,electricity < electricity_central,expExc,2.1466594484501822e-10
2050,DE < DE50,DE < DE92,electricity < electricity_central,expExc,5.618861002798637e-6
2050,DE < DE50,DE < DE93,electricity < electricity_central,expExc,1.5686669158374111
2050,DE < DE50,DE < DE94,electricity < electricity_central,expExc,1.6769373479863276e-9
2050,DE < DE60,DE < DE93,electricity < electricity_central,expExc,9.537272558109631
2050,DE < DE60,DE < DEF0,electricity < electricity_central,expExc,10.134456125728576
2050,DE < DE71,DE < DE72,electricity < electricity_central,expExc,1.0431633002907579e-9
2050,DE < DE71,DE < DE73,electricity < electricity_central,expExc,1.4450432314866597
2050,DE < DE71,DE < DEB1,electricity < electricity_central,expExc,2.1701400862565527e-9
2050,DE < DE71,DE < DEB3,electricity < electricity_central,expExc,5.011133796141402
2050,DE < DE72,DE < DE73,electricity < electricity_central,expExc,7.558529295131258
2050,DE < DE72,DE < DEA5,electricity < electricity_central,expExc,1.8367851575937244
2050,DE < DE72,DE < DEB1,electricity < electricity_central,expExc,7.573209672932135e-10
2050,DE < DE73,DE < DE91,electricity < electricity_central,expExc,6.392984615267629
2050,DE < DE73,DE < DEA4,electricity < electricity_central,expExc,3.5930942065628523e-10
2050,DE < DE73,DE < DEA5,electricity < electricity_central,expExc,0.6517162578790261
2050,DE < DE73,DE < DEG0,electricity < electricity_central,expExc,1.9344961157546399
2050,DE < DE80,DE < DE93,electricity < electricity_central,expExc,6.697883218088561
2050,DE < DE80,DE < DEF0,electricity < electricity_central,expExc,2.4099734809862943e-8
2050,DE < DE91,DE < DE92,electricity < electricity_central,expExc,3.786520374682442e-10
2050,DE < DE91,DE < DE93,electricity < electricity_central,expExc,0.46649854963274556
2050,DE < DE91,DE < DEA4,electricity < electricity_central,expExc,5.2950825750741695
2050,DE < DE91,DE < DEE0,electricity < electricity_central,expExc,15.710503882823346
2050,DE < DE91,DE < DEG0,electricity < electricity_central,expExc,1.9559530395263929
2050,DE < DE92,DE < DE93,electricity < electricity_central,expExc,25.381606701250554
2050,DE < DE92,DE < DE94,electricity < electricity_central,expExc,1.3446944811291483e-10
2050,DE < DE92,DE < DEA4,electricity < electricity_central,expExc,32.152067263515114
2050,DE < DE93,DE < DE94,electricity < electricity_central,expExc,3.515292440306178e-10
2050,DE < DE93,DE < DEE0,electricity < electricity_central,expExc,1.5524748689399492
2050,DE < DE93,DE < DEF0,electricity < electricity_central,expExc,3.5359206303333006e-8
2050,DE < DE94,DE < DEA3,electricity < electricity_central,expExc,9.45808749486645e-10
2050,DE < DE94,DE < DEA4,electricity < electricity_central,expExc,1.9836873129874223e-10
2050,DE < DEA1,DE < DEA2,electricity < electricity_central,expExc,3.494611804562379e-9
2050,DE < DEA1,DE < DEA3,electricity < electricity_central,expExc,4.203436710443523
2050,DE < DEA1,DE < DEA5,electricity < electricity_central,expExc,3.388612222970219e-10
2050,DE < DEA2,DE < DEA5,electricity < electricity_central,expExc,10.958974372294696
2050,DE < DEA2,DE < DEB1,electricity < electricity_central,expExc,4.0306695693122423e-10
2050,DE < DEA2,DE < DEB2,electricity < electricity_central,expExc,5.943501178441999e-10
2050,DE < DEA3,DE < DEA4,electricity < electricity_central,expExc,9.570748098446142
2050,DE < DEA3,DE < DEA5,electricity < electricity_central,expExc,2.099736071456108e-10
2050,DE < DEA4,DE < DEA5,electricity < electricity_central,expExc,28.024156549727905
2050,DE < DEA5,DE < DEB1,electricity < electricity_central,expExc,8.451107312006044
2050,DE < DEB1,DE < DEB2,electricity < electricity_central,expExc,6.4021146810824615e-9
2050,DE < DEB1,DE < DEB3,electricity < electricity_central,expExc,2.2077774835678494
2050,DE < DEB1,DE < DEC0_,electricity < electricity_central,expExc,22.00108701868991
2050,DE < DEB2,DE < DEC0_,electricity < electricity_central,expExc,1.7400933985739169
2050,DE < DEB3,DE < DEC0_,electricity < electricity_central,expExc,24.249757241607167
2050,DE < DED2,DE < DED4,electricity < electricity_central,expExc,2.5779050283816954e-10
2050,DE < DED2,DE < DED5,electricity < electricity_central,expExc,3.74177701966478
2050,DE < DED4,DE < DED5,electricity < electricity_central,expExc,9.259415934348247
2050,DE < DED4,DE < DEG0,electricity < electricity_central,expExc,1.4892933332163505
2050,DE < DED5,DE < DEE0,electricity < electricity_central,expExc,12.866609651322037
2050,DE < DED5,DE < DEG0,electricity < electricity_central,expExc,1.3602732373153051e-9
2050,DE < DEE0,DE < DEG0,electricity < electricity_central,expExc,7.722561262115992
2050,DE < DE12,DE < DE11,electricity < electricity_central,expExc,9.113011935777187
2050,DE < DE14,DE < DE11,electricity < electricity_central,expExc,4.9437496499483e-9
2050,DE < DE25,DE < DE11,electricity < electricity_central,expExc,5.0730555544903675
2050,DE < DE26,DE < DE11,electricity < electricity_central,expExc,4.213978716457519
2050,DE < DE27,DE < DE11,electricity < electricity_central,expExc,4.696473196754026
2050,DE < DE13,DE < DE12,electricity < electricity_central,expExc,3.578177813739591
2050,DE < DE14,DE < DE12,electricity < electricity_central,expExc,1.3568372083996205
2050,DE < DE26,DE < DE12,electricity < electricity_central,expExc,2.546234546490613
2050,DE < DE71,DE < DE12,electricity < electricity_central,expExc,1.6947942943208574
2050,DE < DEB3,DE < DE12,electricity < electricity_central,expExc,20.892070556784375
2050,DE < DE14,DE < DE13,electricity < electricity_central,expExc,12.270116738738398
2050,DE < DE27,DE < DE14,electricity < electricity_central,expExc,7.536951968971982
2050,DE < DE22,DE < DE21,electricity < electricity_central,expExc,1.7387014870349982e-10
2050,DE < DE23,DE < DE21,electricity < electricity_central,expExc,0.4433303542002327
2050,DE < DE25,DE < DE21,electricity < electricity_central,expExc,5.943954894323895e-10
2050,DE < DE27,DE < DE21,electricity < electricity_central,expExc,3.206041559005567
2050,DE < DE23,DE < DE22,electricity < electricity_central,expExc,8.940696483964562
2050,DE < DE24,DE < DE23,electricity < electricity_central,expExc,6.841722571207496
2050,DE < DE25,DE < DE23,electricity < electricity_central,expExc,1.6115863935379422
2050,DE < DE25,DE < DE24,electricity < electricity_central,expExc,1.3145764242285087
2050,DE < DE26,DE < DE24,electricity < electricity_central,expExc,1.1750442682645518e-9
2050,DE < DED4,DE < DE24,electricity < electricity_central,expExc,4.339642137725164
2050,DE < DEG0,DE < DE24,electricity < electricity_central,expExc,2.03697489499147
2050,DE < DE26,DE < DE25,electricity < electricity_central,expExc,1.0339313700505017
2050,DE < DE27,DE < DE25,electricity < electricity_central,expExc,0.91373145156253
2050,DE < DE71,DE < DE26,electricity < electricity_central,expExc,3.917575197894394
2050,DE < DE73,DE < DE26,electricity < electricity_central,expExc,6.988428411247555
2050,DE < DEG0,DE < DE26,electricity < electricity_central,expExc,10.449557819407222
2050,DE < DE40,DE < DE30,electricity < electricity_central,expExc,2.1788502960017847e-10
2050,DE < DE80,DE < DE40,electricity < electricity_central,expExc,13.539328627961977
2050,DE < DE93,DE < DE40,electricity < electricity_central,expExc,6.585950735898358
2050,DE < DED2,DE < DE40,electricity < electricity_central,expExc,9.315133811209694e-9
2050,DE < DED5,DE < DE40,electricity < electricity_central,expExc,4.812680053602411e-6
2050,DE < DEE0,DE < DE40,electricity < electricity_central,expExc,2.1466594484501822e-10
2050,DE < DE92,DE < DE50,electricity < electricity_central,expExc,5.618861002798637e-6
2050,DE < DE93,DE < DE50,electricity < electricity_central,expExc,1.5686669158374111
2050,DE < DE94,DE < DE50,electricity < electricity_central,expExc,1.6769373479863276e-9
2050,DE < DE93,DE < DE60,electricity < electricity_central,expExc,9.537272558109631
2050,DE < DEF0,DE < DE60,electricity < electricity_central,expExc,10.134456125728576
2050,DE < DE72,DE < DE71,electricity < electricity_central,expExc,1.0431633002907579e-9
2050,DE < DE73,DE < DE71,electricity < electricity_central,expExc,1.4450432314866597
2050,DE < DEB1,DE < DE71,electricity < electricity_central,expExc,2.1701400862565527e-9
2050,DE < DEB3,DE < DE71,electricity < electricity_central,expExc,5.011133796141402
2050,DE < DE73,DE < DE72,electricity < electricity_central,expExc,7.558529295131258
2050,DE < DEA5,DE < DE72,electricity < electricity_central,expExc,1.8367851575937244
2050,DE < DEB1,DE < DE72,electricity < electricity_central,expExc,7.573209672932135e-10
2050,DE < DE91,DE < DE73,electricity < electricity_central,expExc,6.392984615267629
2050,DE < DEA4,DE < DE73,electricity < electricity_central,expExc,3.5930942065628523e-10
2050,DE < DEA5,DE < DE73,electricity < electricity_central,expExc,0.6517162578790261
2050,DE < DEG0,DE < DE73,electricity < electricity_central,expExc,1.9344961157546399
2050,DE < DE93,DE < DE80,electricity < electricity_central,expExc,6.697883218088561
2050,DE < DEF0,DE < DE80,electricity < electricity_central,expExc,2.4099734809862943e-8
2050,DE < DE92,DE < DE91,electricity < electricity_central,expExc,3.786520374682442e-10
2050,DE < DE93,DE < DE91,electricity < electricity_central,expExc,0.46649854963274556
2050,DE < DEA4,DE < DE91,electricity < electricity_central,expExc,5.2950825750741695
2050,DE < DEE0,DE < DE91,electricity < electricity_central,expExc,15.710503882823346
2050,DE < DEG0,DE < DE91,electricity < electricity_central,expExc,1.9559530395263929
2050,DE < DE93,DE < DE92,electricity < electricity_central,expExc,25.381606701250554
2050,DE < DE94,DE < DE92,electricity < electricity_central,expExc,1.3446944811291483e-10
2050,DE < DEA4,DE < DE92,electricity < electricity_central,expExc,32.152067263515114
2050,DE < DE94,DE < DE93,electricity < electricity_central,expExc,3.515292440306178e-10
2050,DE < DEE0,DE < DE93,electricity < electricity_central,expExc,1.5524748689399492
2050,DE < DEF0,DE < DE93,electricity < electricity_central,expExc,3.5359206303333006e-8
2050,DE < DEA3,DE < DE94,electricity < electricity_central,expExc,9.45808749486645e-10
2050,DE < DEA4,DE < DE94,electricity < electricity_central,expExc,1.9836873129874223e-10
2050,DE < DEA2,DE < DEA1,electricity < electricity_central,expExc,3.494611804562379e-9
2050,DE < DEA3,DE < DEA1,electricity < electricity_central,expExc,4.203436710443523
2050,DE < DEA5,DE < DEA1,electricity < electricity_central,expExc,3.388612222970219e-10
2050,DE < DEA5,DE < DEA2,electricity < electricity_central,expExc,10.958974372294696
2050,DE < DEB1,DE < DEA2,electricity < electricity_central,expExc,4.0306695693122423e-10
2050,DE < DEB2,DE < DEA2,electricity < electricity_central,expExc,5.943501178441999e-10
2050,DE < DEA4,DE < DEA3,electricity < electricity_central,expExc,9.570748098446142
2050,DE < DEA5,DE < DEA3,electricity < electricity_central,expExc,2.099736071456108e-10
2050,DE < DEA5,DE < DEA4,electricity < electricity_central,expExc,28.024156549727905
2050,DE < DEB1,DE < DEA5,electricity < electricity_central,expExc,8.451107312006044
2050,DE < DEB2,DE < DEB1,electricity < electricity_central,expExc,6.4021146810824615e-9
2050,DE < DEB3,DE < DEB1,electricity < electricity_central,expExc,2.2077774835678494
2050,DE < DEC0_,DE < DEB1,electricity < electricity_central,expExc,22.00108701868991
2050,DE < DEC0_,DE < DEB2,electricity < electricity_central,expExc,1.7400933985739169
2050,DE < DEC0_,DE < DEB3,electricity < electricity_central,expExc,24.249757241607167
2050,DE < DED4,DE < DED2,electricity < electricity_central,expExc,2.5779050283816954e-10
2050,DE < DED5,DE < DED2,electricity < electricity_central,expExc,3.74177701966478
2050,DE < DED5,DE < DED4,electricity < electricity_central,expExc,9.259415934348247
2050,DE < DEG0,DE < DED4,electricity < electricity_central,expExc,1.4892933332163505
2050,DE < DEE0,DE < DED5,electricity < electricity_central,expExc,12.866609651322037
2050,DE < DEG0,DE < DED5,electricity < electricity_central,expExc,1.3602732373153051e-9
2050,DE < DEG0,DE < DEE0,electricity < electricity_central,expExc,7.722561262115992
2050,DE < DE11,DE < DE12,electricity < electricity_central,capaExc,15.193011935777188
2050,DE < DE11,DE < DE14,electricity < electricity_central,capaExc,17.98000000494375
2050,DE < DE11,DE < DE25,electricity < electricity_central,capaExc,5.073055554490368
2050,DE < DE11,DE < DE26,electricity < electricity_central,capaExc,9.31397871645752
2050,DE < DE11,DE < DE27,electricity < electricity_central,capaExc,4.696473196754026
2050,DE < DE12,DE < DE13,electricity < electricity_central,capaExc,9.658177813739591
2050,DE < DE12,DE < DE14,electricity < electricity_central,capaExc,1.3568372083996205
2050,DE < DE12,DE < DE26,electricity < electricity_central,capaExc,4.246234546490613
2050,DE < DE12,DE < DE71,electricity < electricity_central,capaExc,3.6547942943208573
2050,DE < DE12,DE < DEB3,electricity < electricity_central,capaExc,24.552070556784376
2050,DE < DE13,DE < DE14,electricity < electricity_central,capaExc,17.860116738738398
2050,DE < DE14,DE < DE27,electricity < electricity_central,capaExc,14.826951968971983
2050,DE < DE21,DE < DE22,electricity < electricity_central,capaExc,11.67000000017387
2050,DE < DE21,DE < DE23,electricity < electricity_central,capaExc,0.4433303542002327
2050,DE < DE21,DE < DE25,electricity < electricity_central,capaExc,4.3800000005943955
2050,DE < DE21,DE < DE27,electricity < electricity_central,capaExc,6.6060415590055666
2050,DE < DE22,DE < DE23,electricity < electricity_central,capaExc,11.130696483964561
2050,DE < DE23,DE < DE24,electricity < electricity_central,capaExc,9.031722571207496
2050,DE < DE23,DE < DE25,electricity < electricity_central,capaExc,2.101586393537942
2050,DE < DE24,DE < DE25,electricity < electricity_central,capaExc,4.714576424228509
2050,DE < DE24,DE < DE26,electricity < electricity_central,capaExc,3.400000001175044
2050,DE < DE24,DE < DED4,electricity < electricity_central,capaExc,4.339642137725164
2050,DE < DE24,DE < DEG0,electricity < electricity_central,capaExc,8.83697489499147
2050,DE < DE25,DE < DE26,electricity < electricity_central,capaExc,5.903931370050502
2050,DE < DE25,DE < DE27,electricity < electricity_central,capaExc,0.91373145156253
2050,DE < DE26,DE < DE71,electricity < electricity_central,capaExc,11.697575197894395
2050,DE < DE26,DE < DE73,electricity < electricity_central,capaExc,6.988428411247555
2050,DE < DE26,DE < DEG0,electricity < electricity_central,capaExc,10.449557819407223
2050,DE < DE30,DE < DE40,electricity < electricity_central,capaExc,14.580000000217884
2050,DE < DE40,DE < DE80,electricity < electricity_central,capaExc,21.319328627961976
2050,DE < DE40,DE < DE93,electricity < electricity_central,capaExc,6.585950735898358
2050,DE < DE40,DE < DED2,electricity < electricity_central,capaExc,10.200000009315133
2050,DE < DE40,DE < DED5,electricity < electricity_central,capaExc,4.81268005360241e-6
2050,DE < DE40,DE < DEE0,electricity < electricity_central,capaExc,13.600000000214665
2050,DE < DE50,DE < DE92,electricity < electricity_central,capaExc,5.618861002798637e-6
2050,DE < DE50,DE < DE93,electricity < electricity_central,capaExc,2.0586669158374113
2050,DE < DE50,DE < DE94,electricity < electricity_central,capaExc,3.8900000016769374
2050,DE < DE60,DE < DE93,electricity < electricity_central,capaExc,12.93727255810963
2050,DE < DE60,DE < DEF0,electricity < electricity_central,capaExc,16.934456125728577
2050,DE < DE71,DE < DE72,electricity < electricity_central,capaExc,5.1000000010431625
