timestep_superordinate_dispatch,region_from,region_to,carrier,variable,value
2050,DE < DE11,DE < DE12,electricity < electricity_central,expExc,3.10495313888025e-10
2050,DE < DE11,DE < DE14,electricity < electricity_central,expExc,2.699315212013265e-8
2050,DE < DE11,DE < DE25,electricity < electricity_central,expExc,1.201123763065638
2050,DE < DE11,DE < DE26,electricity < electricity_central,expExc,1.1039335802659764e-8
2050,DE < DE11,DE < DE27,electricity < electricity_central,expExc,1.6618808303941367e-5
2050,DE < DE12,DE < DE13,electricity < electricity_central,expExc,1.2055678222734048e-7
2050,DE < DE12,DE < DE14,electricity < electricity_central,expExc,1.568048661059026e-5
2050,DE < DE12,DE < DE26,electricity < electricity_central,expExc,1.632989908788117e-9
2050,DE < DE12,DE < DE71,electricity < electricity_central,expExc,1.1168572020731735e-7
2050,DE < DE12,DE < DEB3,electricity < electricity_central,expExc,3.626585008716219e-8
2050,DE < DE13,DE < DE14,electricity < electricity_central,expExc,8.526303384191492e-10
2050,DE < DE14,DE < DE27,electricity < electricity_central,expExc,4.768778329195469e-9
2050,DE < DE21,DE < DE22,electricity < electricity_central,expExc,7.926383863056657e-10
2050,DE < DE21,DE < DE23,electricity < electricity_central,expExc,2.123969085494251e-5
2050,DE < DE21,DE < DE25,electricity < electricity_central,expExc,8.94088948287968e-10
2050,DE < DE21,DE < DE27,electricity < electricity_central,expExc,1.288146179509661e-7
2050,DE < DE22,DE < DE23,electricity < electricity_central,expExc,3.870204184008913e-8
2050,DE < DE23,DE < DE24,electricity < electricity_central,expExc,0.3365031022096865
2050,DE < DE23,DE < DE25,electricity < electricity_central,expExc,1.5170386952745273e-8
2050,DE < DE24,DE < DE25,electricity < electricity_central,expExc,0.908617984177324
2050,DE < DE24,DE < DE26,electricity < electricity_central,expExc,6.967036286802629e-8
2050,DE < DE24,DE < DED4,electricity < electricity_central,expExc,3.713854432505565
2050,DE < DE24,DE < DEG0,electricity < electricity_central,expExc,2.0807848524693796e-9
2050,DE < DE25,DE < DE26,electricity < electricity_central,expExc,2.1903989712493392e-8
2050,DE < DE25,DE < DE27,electricity < electricity_central,expExc,3.6987568943572806e-5
2050,DE < DE26,DE < DE71,electricity < electricity_central,expExc,8.818619927158653e-8
2050,DE < DE26,DE < DE73,electricity < electricity_central,expExc,3.5585803304967174e-5
2050,DE < DE26,DE < DEG0,electricity < electricity_central,expExc,7.066992231227331
2050,DE < DE30,DE < DE40,electricity < electricity_central,expExc,1.6664345381780766e-7
2050,DE < DE40,DE < DE80,electricity < electricity_central,expExc,13.107636858309093
2050,DE < DE40,DE < DE93,electricity < electricity_central,expExc,4.5942823134867154e-5
2050,DE < DE40,DE < DED2,electricity < electricity_central,expExc,3.693958693481171e-8
2050,DE < DE40,DE < DED5,electricity < electricity_central,expExc,1.1029011185088704e-5
2050,DE < DE40,DE < DEE0,electricity < electricity_central,expExc,4.027542570746616e-9
2050,DE < DE50,DE < DE92,electricity < electricity_central,expExc,2.0589121759928233e-5
2050,DE < DE50,DE < DE93,electricity < electricity_central,expExc,2.371426313626322
2050,DE < DE50,DE < DE94,electricity < electricity_central,expExc,3.442820595266027e-8
2050,DE < DE60,DE < DE93,electricity < electricity_central,expExc,2.7522243836718285e-5
2050,DE < DE60,DE < DEF0,electricity < electricity_central,expExc,0.515849783436336
2050,DE < DE71,DE < DE72,electricity < electricity_central,expExc,1.79922652684304e-8
2050,DE < DE71,DE < DE73,electricity < electricity_central,expExc,2.3553785915654525e-9
2050,DE < DE71,DE < DEB1,electricity < electricity_central,expExc,2.577853157445307e-8
2050,DE < DE71,DE < DEB3,electricity < electricity_central,expExc,4.148846976902928e-8
2050,DE < DE72,DE < DE73,electricity < electricity_central,expExc,7.9825856164880875
2050,DE < DE72,DE < DEA5,electricity < electricity_central,expExc,5.269117965150568e-5
2050,DE < DE72,DE < DEB1,electricity < electricity_central,expExc,1.0668904022377932e-8
2050,DE < DE73,DE < DE91,electricity < electricity_central,expExc,8.997794554081485e-9
2050,DE < DE73,DE < DEA4,electricity < electricity_central,expExc,2.3321166943491704e-8
2050,DE < DE73,DE < DEA5,electricity < electricity_central,expExc,7.833220710901338e-10
2050,DE < DE73,DE < DEG0,electricity < electricity_central,expExc,2.4573365061372124e-7
2050,DE < DE80,DE < DE93,electricity < electricity_central,expExc,2.0800306163642264e-5
2050,DE < DE80,DE < DEF0,electricity < electricity_central,expExc,8.455387442036334e-9
2050,DE < DE91,DE < DE92,electricity < electricity_central,expExc,9.851496768233782e-7
2050,DE < DE91,DE < DE93,electricity < electricity_central,expExc,3.1893651322172064e-8
2050,DE < DE91,DE < DEA4,electricity < electricity_central,expExc,3.2335502573269894e-5
2050,DE < DE91,DE < DEE0,electricity < electricity_central,expExc,6.1552802701940616e-9
2050,DE < DE91,DE < DEG0,electricity < electricity_central,expExc,4.1132614283841864e-5
2050,DE < DE92,DE < DE93,electricity < electricity_central,expExc,11.960598925593544
2050,DE < DE92,DE < DE94,electricity < electricity_central,expExc,4.071887579590016e-8
2050,DE < DE92,DE < DEA4,electricity < electricity_central,expExc,2.7738120084001627
2050,DE < DE93,DE < DE94,electricity < electricity_central,expExc,1.1865494709661324e-8
2050,DE < DE93,DE < DEE0,electricity < electricity_central,expExc,2.8327368211111248e-5
2050,DE < DE93,DE < DEF0,electricity < electricity_central,expExc,7.3256917178662695
2050,DE < DE94,DE < DEA3,electricity < electricity_central,expExc,12.116352291328898
2050,DE < DE94,DE < DEA4,electricity < electricity_central,expExc,1.326274252185093e-8
2050,DE < DEA1,DE < DEA2,electricity < electricity_central,expExc,5.657551392312687e-10
