technology_1,technology_2,carrier_conversion_in,carrier_conversion_out,carrier_stored_in,carrier_stored_out,technology_type,region_expansion
battery,grid,,,electricity_central,electricity_central,mature,2
battery,home,,,electricity,electricity,mature,2
pumpedHydro,,,,electricity_central,electricity_central,stock,2
caes,,,,electricity_central,electricity_central,mature,2
biomassPlant,,biomass,electricity_central,,,mature,2
ror,,,electricity_central,,,stock,2
rooftop,rooftop_a,,electricity_central; electricity_decentral,,,mature,2
rooftop,rooftop_b,,electricity_central; electricity_decentral,,,mature,2
rooftop,rooftop_c,,electricity_central; electricity_decentral,,,mature,2
openspace,openspace_a,,electricity_central,,,mature,2
openspace,openspace_b,,electricity_central,,,mature,2
wind_offshore,offshore_a,,electricity_central,,,mature,2
wind_offshore,offshore_b,,electricity_central,,,mature,2
wind_offshore,offshore_c,,electricity_central,,,mature,2
wind_onshore,onshore_a,,electricity_central,,,mature,2
wind_onshore,onshore_b,,electricity_central,,,mature,2
electrolysis,,electricity_central,hydrogen,,,mature,2
ocgtHydrogen,,hydrogen,electricity_central,,,mature,2
electricMobility,,electricity_central; electricity_decentral,mobility,,,stock,2
electricResidentalHeating,,electricity_central; electricity_decentral,heatResidental,,,stock,2
electricIndustryHeating,,electricity_central,heatIndustry,,,stock,2
methanation,,hydrogen,synthGas,,,mature,2
fermenter,,biomass,synthGas,,,mature,2
gasPlant,,synthGas,electricity_central,,,mature,2
