timestep_4,technology_2,technology_3,parameter,value
h0001,offshore,offshore_a,avaConv,0.753657694
h0002,offshore,offshore_a,avaConv,0.740816192
h0003,offshore,offshore_a,avaConv,0.690900018
h0004,offshore,offshore_a,avaConv,0.674869711
h0005,offshore,offshore_a,avaConv,0.586915881
h0006,offshore,offshore_a,avaConv,0.521287179
h0007,offshore,offshore_a,avaConv,0.415245218
h0008,offshore,offshore_a,avaConv,0.320928368
h0009,offshore,offshore_a,avaConv,0.24691118
h0010,offshore,offshore_a,avaConv,0.192895032
h0011,offshore,offshore_a,avaConv,0.130738269
h0012,offshore,offshore_a,avaConv,0.108768354
h0013,offshore,offshore_a,avaConv,0.079411201
h0014,offshore,offshore_a,avaConv,0.054669826
h0015,offshore,offshore_a,avaConv,0.0137355
h0016,offshore,offshore_a,avaConv,0.00560009
h0017,offshore,offshore_a,avaConv,0.011178338
h0018,offshore,offshore_a,avaConv,0.086102564
h0019,offshore,offshore_a,avaConv,0.174653541
h0020,offshore,offshore_a,avaConv,0.307087821
h0021,offshore,offshore_a,avaConv,0.401932794
h0022,offshore,offshore_a,avaConv,0.483710499
h0023,offshore,offshore_a,avaConv,0.553447868
h0024,offshore,offshore_a,avaConv,0.605407374
h0025,offshore,offshore_a,avaConv,0.725161289
h0026,offshore,offshore_a,avaConv,0.80317343
h0027,offshore,offshore_a,avaConv,0.850034903
h0028,offshore,offshore_a,avaConv,0.861386607
h0029,offshore,offshore_a,avaConv,0.867278346
h0030,offshore,offshore_a,avaConv,0.867693521
h0031,offshore,offshore_a,avaConv,0.865131782
h0032,offshore,offshore_a,avaConv,0.866239998
h0033,offshore,offshore_a,avaConv,0.863329504
h0034,offshore,offshore_a,avaConv,0.859094115
h0035,offshore,offshore_a,avaConv,0.858190221
h0036,offshore,offshore_a,avaConv,0.85784245
h0037,offshore,offshore_a,avaConv,0.855963341
h0038,offshore,offshore_a,avaConv,0.85679874
h0039,offshore,offshore_a,avaConv,0.858816041
h0040,offshore,offshore_a,avaConv,0.854151993
h0041,offshore,offshore_a,avaConv,0.850454018
h0042,offshore,offshore_a,avaConv,0.849545812
h0043,offshore,offshore_a,avaConv,0.849336162
h0044,offshore,offshore_a,avaConv,0.850523861
h0045,offshore,offshore_a,avaConv,0.849266273
h0046,offshore,offshore_a,avaConv,0.848077745
h0047,offshore,offshore_a,avaConv,0.848567234
h0048,offshore,offshore_a,avaConv,0.846468489
h0049,offshore,offshore_a,avaConv,0.843105395
h0050,offshore,offshore_a,avaConv,0.840087254
h0051,offshore,offshore_a,avaConv,0.840789602
h0052,offshore,offshore_a,avaConv,0.840297988
h0053,offshore,offshore_a,avaConv,0.838048881
h0054,offshore,offshore_a,avaConv,0.837064004
h0055,offshore,offshore_a,avaConv,0.837345453
h0056,offshore,offshore_a,avaConv,0.838681729
h0057,offshore,offshore_a,avaConv,0.836500972
h0058,offshore,offshore_a,avaConv,0.835092612
h0059,offshore,offshore_a,avaConv,0.832907442
h0060,offshore,offshore_a,avaConv,0.834951715
h0061,offshore,offshore_a,avaConv,0.836993635
h0062,offshore,offshore_a,avaConv,0.819739225
h0063,offshore,offshore_a,avaConv,0.80697193
h0064,offshore,offshore_a,avaConv,0.814543826
h0065,offshore,offshore_a,avaConv,0.821230923
h0066,offshore,offshore_a,avaConv,0.808617719
h0067,offshore,offshore_a,avaConv,0.805109568
h0068,offshore,offshore_a,avaConv,0.807902352
h0069,offshore,offshore_a,avaConv,0.809976097
h0070,offshore,offshore_a,avaConv,0.814258696
h0071,offshore,offshore_a,avaConv,0.81845961
h0072,offshore,offshore_a,avaConv,0.821372923
h0073,offshore,offshore_a,avaConv,0.821301925
h0074,offshore,offshore_a,avaConv,0.821940808
h0075,offshore,offshore_a,avaConv,0.82208275
h0076,offshore,offshore_a,avaConv,0.823572449
h0077,offshore,offshore_a,avaConv,0.825060881
h0078,offshore,offshore_a,avaConv,0.828741098
h0079,offshore,offshore_a,avaConv,0.834106095
h0080,offshore,offshore_a,avaConv,0.836571361
h0081,offshore,offshore_a,avaConv,0.834951715
h0082,offshore,offshore_a,avaConv,0.835726512
h0083,offshore,offshore_a,avaConv,0.836641747
h0084,offshore,offshore_a,avaConv,0.835796932
h0085,offshore,offshore_a,avaConv,0.836500972
h0086,offshore,offshore_a,avaConv,0.838470805
h0087,offshore,offshore_a,avaConv,0.839946752
h0088,offshore,offshore_a,avaConv,0.837556511
h0089,offshore,offshore_a,avaConv,0.839876496
h0090,offshore,offshore_a,avaConv,0.838470805
h0091,offshore,offshore_a,avaConv,0.840297988
h0092,offshore,offshore_a,avaConv,0.841210878
h0093,offshore,offshore_a,avaConv,0.841351282
h0094,offshore,offshore_a,avaConv,0.840930039
h0095,offshore,offshore_a,avaConv,0.841210878
h0096,offshore,offshore_a,avaConv,0.841421479
h0097,offshore,offshore_a,avaConv,0.839525177
h0098,offshore,offshore_a,avaConv,0.841070464
h0099,offshore,offshore_a,avaConv,0.841561866
h0100,offshore,offshore_a,avaConv,0.842053133
h0101,offshore,offshore_a,avaConv,0.843456011
h0102,offshore,offshore_a,avaConv,0.842263635
