region_1,region_2,carrier_1,parameter,timestep_2,value
AT,AT,heatIndustry,dem,d001,7.983736832458334
BE,BE,heatIndustry,dem,d001,10.417117487416666
BG,BG,heatIndustry,dem,d001,3.374587855916667
CH,CH,heatIndustry,dem,d001,1.4122877949583332
CZ,CZ,heatIndustry,dem,d001,6.446675660124999
DK,DK,heatIndustry,dem,d001,1.8244850452083332
ES,ES,heatIndustry,dem,d001,21.361215562500004
FI,FI,heatIndustry,dem,d001,6.026530753916667
FR,FR,heatIndustry,dem,d001,26.308702718375
GR,GR,heatIndustry,dem,d001,3.803177277
HR,HR,heatIndustry,dem,d001,1.1233577542916666
HU,HU,heatIndustry,dem,d001,4.6191555775
IE,IE,heatIndustry,dem,d001,2.091089418833333
IT,IT,heatIndustry,dem,d001,22.191955114291662
LU,LU,heatIndustry,dem,d001,0.7526574930416667
NL,NL,heatIndustry,dem,d001,17.460811506666662
NO,NO,heatIndustry,dem,d001,5.8703974752083345
PL,PL,heatIndustry,dem,d001,12.911028763500001
PT,PT,heatIndustry,dem,d001,3.869443054208333
RO,RO,heatIndustry,dem,d001,8.116939384708333
SE,SE,heatIndustry,dem,d001,7.980401250875
SI,SI,heatIndustry,dem,d001,1.1821623780833335
SK,SK,heatIndustry,dem,d001,4.613880838541667
UK,UK,heatIndustry,dem,d001,22.59323789
EE,EE,heatIndustry,dem,d001,0.4352217616666667
LT,LT,heatIndustry,dem,d001,1.3391228244166664
LV,LV,heatIndustry,dem,d001,0.7632279091249999
NONEU_Balkan,NONEU_Balkan,heatIndustry,dem,d001,3.359699857958333
TR,TR,heatIndustry,dem,d001,28.303827182625003
AT,AT,heatIndustry,dem,d002,7.983736832458334
BE,BE,heatIndustry,dem,d002,10.417117487416666
BG,BG,heatIndustry,dem,d002,3.374587855916667
CH,CH,heatIndustry,dem,d002,1.4122877949583332
CZ,CZ,heatIndustry,dem,d002,6.446675660124999
DK,DK,heatIndustry,dem,d002,1.8244850452083332
ES,ES,heatIndustry,dem,d002,21.361215562500004
FI,FI,heatIndustry,dem,d002,6.026530753916667
FR,FR,heatIndustry,dem,d002,26.308702718375
GR,GR,heatIndustry,dem,d002,3.803177277
HR,HR,heatIndustry,dem,d002,1.1233577542916666
HU,HU,heatIndustry,dem,d002,4.6191555775
IE,IE,heatIndustry,dem,d002,2.091089418833333
IT,IT,heatIndustry,dem,d002,22.191955114291662
LU,LU,heatIndustry,dem,d002,0.7526574930416667
NL,NL,heatIndustry,dem,d002,17.460811506666662
NO,NO,heatIndustry,dem,d002,5.8703974752083345
PL,PL,heatIndustry,dem,d002,12.911028763500001
PT,PT,heatIndustry,dem,d002,3.869443054208333
RO,RO,heatIndustry,dem,d002,8.116939384708333
SE,SE,heatIndustry,dem,d002,7.980401250875
SI,SI,heatIndustry,dem,d002,1.1821623780833335
SK,SK,heatIndustry,dem,d002,4.613880838541667
UK,UK,heatIndustry,dem,d002,22.59323789
EE,EE,heatIndustry,dem,d002,0.4352217616666667
LT,LT,heatIndustry,dem,d002,1.3391228244166664
LV,LV,heatIndustry,dem,d002,0.7632279091249999
NONEU_Balkan,NONEU_Balkan,heatIndustry,dem,d002,3.359699857958333
TR,TR,heatIndustry,dem,d002,28.303827182625003
