region_2,technology_1,technology_2,parameter,timestep_2,value
DE11,openspace,openspace_a,avaConv,d001,0.035577345697158806
DE11,openspace,openspace_a,avaConv,d002,0.006646773914636098
DE11,openspace,openspace_a,avaConv,d003,0.03043793380360163
DE11,openspace,openspace_a,avaConv,d004,0.02077481740617927
DE11,openspace,openspace_a,avaConv,d005,0.023419987734322235
DE11,openspace,openspace_a,avaConv,d006,0.029376846727316722
DE11,openspace,openspace_a,avaConv,d007,0.013557571728776597
DE11,openspace,openspace_a,avaConv,d008,0.06619852299994901
DE11,openspace,openspace_a,avaConv,d009,0.015372381008941822
DE11,openspace,openspace_a,avaConv,d010,0.03542215487854356
DE11,openspace,openspace_a,avaConv,d011,0.0159599852981414
DE11,openspace,openspace_a,avaConv,d012,0.017785362984576985
DE11,openspace,openspace_a,avaConv,d013,0.022161846573509628
DE11,openspace,openspace_a,avaConv,d014,0.1039685633217136
DE11,openspace,openspace_a,avaConv,d015,0.016220622755143656
DE11,openspace,openspace_a,avaConv,d016,0.033112050452498196
DE11,openspace,openspace_a,avaConv,d017,0.031228463343207568
DE11,openspace,openspace_a,avaConv,d018,0.11087900364782177
DE11,openspace,openspace_a,avaConv,d019,0.08424484247163783
DE11,openspace,openspace_a,avaConv,d020,0.09127172320574449
DE11,openspace,openspace_a,avaConv,d021,0.08241780036451403
DE11,openspace,openspace_a,avaConv,d022,0.11164848944403372
DE11,openspace,openspace_a,avaConv,d023,0.02165357797868134
DE11,openspace,openspace_a,avaConv,d024,0.046614752152100834
DE11,openspace,openspace_a,avaConv,d025,0.09191980591931108
DE11,openspace,openspace_a,avaConv,d026,0.09471967431379193
DE11,openspace,openspace_a,avaConv,d027,0.06575144571802391
DE11,openspace,openspace_a,avaConv,d028,0.03085909112724256
DE11,openspace,openspace_a,avaConv,d029,0.11026332266975886
DE11,openspace,openspace_a,avaConv,d030,0.052435887254183015
DE11,openspace,openspace_a,avaConv,d031,0.01294425137905329
DE11,openspace,openspace_a,avaConv,d032,0.02626373896214952
DE11,openspace,openspace_a,avaConv,d033,0.0600748844513213
DE11,openspace,openspace_a,avaConv,d034,0.016195018626421316
DE11,openspace,openspace_a,avaConv,d035,0.017452744903588214
DE11,openspace,openspace_a,avaConv,d036,0.044098592650033075
DE11,openspace,openspace_a,avaConv,d037,0.1125804465513573
DE11,openspace,openspace_a,avaConv,d038,0.02491288820349535
DE11,openspace,openspace_a,avaConv,d039,0.0474627848787677
DE11,openspace,openspace_a,avaConv,d040,0.031509368693215974
DE11,openspace,openspace_a,avaConv,d041,0.05748668785301784
DE11,openspace,openspace_a,avaConv,d042,0.0695109302593282
DE11,openspace,openspace_a,avaConv,d043,0.12329460324380087
DE11,openspace,openspace_a,avaConv,d044,0.06012702714782795
DE11,openspace,openspace_a,avaConv,d045,0.03136569305364821
DE11,openspace,openspace_a,avaConv,d046,0.07099652613600034
DE11,openspace,openspace_a,avaConv,d047,0.10974692285898663
DE11,openspace,openspace_a,avaConv,d048,0.054316112581389374
DE11,openspace,openspace_a,avaConv,d049,0.11549517378960707
DE11,openspace,openspace_a,avaConv,d050,0.04789424455759526
DE11,openspace,openspace_a,avaConv,d051,0.015361297649433557
DE11,openspace,openspace_a,avaConv,d052,0.032277210724455475
DE11,openspace,openspace_a,avaConv,d053,0.0925467681496887
DE11,openspace,openspace_a,avaConv,d054,0.029500216566596158
DE11,openspace,openspace_a,avaConv,d055,0.12268806634276258
DE11,openspace,openspace_a,avaConv,d056,0.09966787708001296
DE11,openspace,openspace_a,avaConv,d057,0.1525894516917126
DE11,openspace,openspace_a,avaConv,d058,0.1698720225449872
DE11,openspace,openspace_a,avaConv,d059,0.053461414785210666
DE11,openspace,openspace_a,avaConv,d060,0.15011910269892828
DE11,openspace,openspace_a,avaConv,d061,0.027515010494983994
DE11,openspace,openspace_a,avaConv,d062,0.08695743403862848
DE11,openspace,openspace_a,avaConv,d063,0.07577408597275123
DE11,openspace,openspace_a,avaConv,d064,0.028808440804794538
DE11,openspace,openspace_a,avaConv,d065,0.100488670142867
DE11,openspace,openspace_a,avaConv,d066,0.09094499504870267
DE11,openspace,openspace_a,avaConv,d067,0.13003639633732414
DE11,openspace,openspace_a,avaConv,d068,0.1936151919589756
DE11,openspace,openspace_a,avaConv,d069,0.19247166989192632
DE11,openspace,openspace_a,avaConv,d070,0.1304062527046703
DE11,openspace,openspace_a,avaConv,d071,0.1593316906703971
DE11,openspace,openspace_a,avaConv,d072,0.15658740630084553
DE11,openspace,openspace_a,avaConv,d073,0.20165610470518136
DE11,openspace,openspace_a,avaConv,d074,0.04247168155079947
DE11,openspace,openspace_a,avaConv,d075,0.18623313535658279
DE11,openspace,openspace_a,avaConv,d076,0.19987766691495154
DE11,openspace,openspace_a,avaConv,d077,0.201967660104162
DE11,openspace,openspace_a,avaConv,d078,0.1302690527676612
DE11,openspace,openspace_a,avaConv,d079,0.18088620368524522
