technology_1,technology_2,region_1,parameter,timestep_2,value
openspace,openspace_a,AT,avaConv,d001,0.09456041666666669
openspace,openspace_a,BE,avaConv,d001,0.034387125
openspace,openspace_a,BG,avaConv,d001,0.12518554166666668
openspace,openspace_a,CH,avaConv,d001,0.050908249999999995
openspace,openspace_a,CZ,avaConv,d001,0.04032054166666667
openspace,openspace_a,DK,avaConv,d001,0.019018999999999998
openspace,openspace_a,ES,avaConv,d001,0.07983312499999999
openspace,openspace_a,FI,avaConv,d001,8.762500000000002e-5
openspace,openspace_a,FR,avaConv,d001,0.028942625
openspace,openspace_a,GR,avaConv,d001,0.08166570833333332
openspace,openspace_a,HR,avaConv,d001,0.0958970625
openspace,openspace_a,HU,avaConv,d001,0.07733066666666667
openspace,openspace_a,IE,avaConv,d001,0.029216375
openspace,openspace_a,IT,avaConv,d001,0.09185379166666667
openspace,openspace_a,LU,avaConv,d001,0.004686333333333333
openspace,openspace_a,NL,avaConv,d001,0.033417833333333334
openspace,openspace_a,NO,avaConv,d001,0.005902875000000001
openspace,openspace_a,PL,avaConv,d001,0.048585666666666666
openspace,openspace_a,PT,avaConv,d001,0.10318725000000001
openspace,openspace_a,RO,avaConv,d001,0.114354
openspace,openspace_a,SE,avaConv,d001,0.003042625
openspace,openspace_a,SI,avaConv,d001,0.09338754166666667
openspace,openspace_a,SK,avaConv,d001,0.073779625
openspace,openspace_a,UK,avaConv,d001,0.031430958333333335
openspace,openspace_a,EE,avaConv,d001,0.0008492499999999999
openspace,openspace_a,LT,avaConv,d001,0.016475875
openspace,openspace_a,LV,avaConv,d001,0.0029389166666666665
openspace,openspace_a,NONEU_Balkan,avaConv,d001,0.10068538066666667
openspace,openspace_a,TR,avaConv,d001,0.08166570833333332
openspace,openspace_a,AT,avaConv,d002,0.039803958333333334
openspace,openspace_a,BE,avaConv,d002,0.012875208333333334
openspace,openspace_a,BG,avaConv,d002,0.08877866666666667
openspace,openspace_a,CH,avaConv,d002,0.080124625
openspace,openspace_a,CZ,avaConv,d002,0.050430499999999996
openspace,openspace_a,DK,avaConv,d002,0.034133333333333335
openspace,openspace_a,ES,avaConv,d002,0.10848245833333332
openspace,openspace_a,FI,avaConv,d002,0.0008767083333333334
openspace,openspace_a,FR,avaConv,d002,0.05342387499999999
openspace,openspace_a,GR,avaConv,d002,0.097674375
openspace,openspace_a,HR,avaConv,d002,0.03854234895833334
openspace,openspace_a,HU,avaConv,d002,0.038163375
openspace,openspace_a,IE,avaConv,d002,0.016912291666666666
openspace,openspace_a,IT,avaConv,d002,0.052914624999999986
openspace,openspace_a,LU,avaConv,d002,0.014506625
openspace,openspace_a,NL,avaConv,d002,0.03862762499999999
openspace,openspace_a,NO,avaConv,d002,0.0052945833333333326
openspace,openspace_a,PL,avaConv,d002,0.015491875
openspace,openspace_a,PT,avaConv,d002,0.122641875
openspace,openspace_a,RO,avaConv,d002,0.09265120833333335
openspace,openspace_a,SE,avaConv,d002,0.006316875
openspace,openspace_a,SI,avaConv,d002,0.020314291666666665
openspace,openspace_a,SK,avaConv,d002,0.026935624999999994
openspace,openspace_a,UK,avaConv,d002,0.005944083333333333
openspace,openspace_a,EE,avaConv,d002,0.0034142916666666666
openspace,openspace_a,LT,avaConv,d002,0.006200083333333333
openspace,openspace_a,LV,avaConv,d002,0.00568275
openspace,openspace_a,NONEU_Balkan,avaConv,d002,0.08237432912499999
openspace,openspace_a,TR,avaConv,d002,0.097674375
openspace,openspace_a,AT,avaConv,d003,0.07120379166666667
openspace,openspace_a,BE,avaConv,d003,0.020430625
openspace,openspace_a,BG,avaConv,d003,0.10012258333333333
openspace,openspace_a,CH,avaConv,d003,0.07497383333333334
openspace,openspace_a,CZ,avaConv,d003,0.01883804166666667
openspace,openspace_a,DK,avaConv,d003,0.010901291666666667
openspace,openspace_a,ES,avaConv,d003,0.13551679166666666
openspace,openspace_a,FI,avaConv,d003,0.003469583333333333
openspace,openspace_a,FR,avaConv,d003,0.04640012499999999
openspace,openspace_a,GR,avaConv,d003,0.09022116666666667
openspace,openspace_a,HR,avaConv,d003,0.092971125
openspace,openspace_a,HU,avaConv,d003,0.06636979166666666
openspace,openspace_a,IE,avaConv,d003,0.02317033333333333
openspace,openspace_a,IT,avaConv,d003,0.092405
openspace,openspace_a,LU,avaConv,d003,0.004562291666666667
openspace,openspace_a,NL,avaConv,d003,0.024053249999999998
openspace,openspace_a,NO,avaConv,d003,0.004906708333333333
openspace,openspace_a,PL,avaConv,d003,0.010065583333333333
openspace,openspace_a,PT,avaConv,d003,0.13660620833333334
openspace,openspace_a,RO,avaConv,d003,0.083188625
openspace,openspace_a,SE,avaConv,d003,0.002043375
openspace,openspace_a,SI,avaConv,d003,0.09223754166666666
openspace,openspace_a,SK,avaConv,d003,0.05486829166666667
openspace,openspace_a,UK,avaConv,d003,0.007629541666666666
openspace,openspace_a,EE,avaConv,d003,0.005310041666666667
openspace,openspace_a,LT,avaConv,d003,0.007809041666666666
openspace,openspace_a,LV,avaConv,d003,0.006944416666666667
openspace,openspace_a,NONEU_Balkan,avaConv,d003,0.09199439583333334
openspace,openspace_a,TR,avaConv,d003,0.09022116666666667
openspace,openspace_a,AT,avaConv,d004,0.030380124999999997
openspace,openspace_a,BE,avaConv,d004,0.006916875
openspace,openspace_a,BG,avaConv,d004,0.07715862500000001
openspace,openspace_a,CH,avaConv,d004,0.044319375
openspace,openspace_a,CZ,avaConv,d004,0.02155433333333333
openspace,openspace_a,DK,avaConv,d004,0.003605208333333334
openspace,openspace_a,ES,avaConv,d004,0.13965945833333335
openspace,openspace_a,FI,avaConv,d004,0.0012938333333333335
openspace,openspace_a,FR,avaConv,d004,0.03880116666666667
openspace,openspace_a,GR,avaConv,d004,0.11660150000000001
openspace,openspace_a,HR,avaConv,d004,0.054977640625
openspace,openspace_a,HU,avaConv,d004,0.06162704166666666
openspace,openspace_a,IE,avaConv,d004,0.032295875
openspace,openspace_a,IT,avaConv,d004,0.10072691666666668
openspace,openspace_a,LU,avaConv,d004,0.008027416666666667
openspace,openspace_a,NL,avaConv,d004,0.011635000000000001
openspace,openspace_a,NO,avaConv,d004,0.0029800833333333333
openspace,openspace_a,PL,avaConv,d004,0.009228541666666668
openspace,openspace_a,PT,avaConv,d004,0.14263545833333333
openspace,openspace_a,RO,avaConv,d004,0.054315916666666665
openspace,openspace_a,SE,avaConv,d004,0.007096166666666667
openspace,openspace_a,SI,avaConv,d004,0.041010166666666674
openspace,openspace_a,SK,avaConv,d004,0.05545541666666667
openspace,openspace_a,UK,avaConv,d004,0.012770375
openspace,openspace_a,EE,avaConv,d004,0.004139708333333334
openspace,openspace_a,LT,avaConv,d004,0.00952125
openspace,openspace_a,LV,avaConv,d004,0.008265791666666666
openspace,openspace_a,NONEU_Balkan,avaConv,d004,0.08676264445833333
openspace,openspace_a,TR,avaConv,d004,0.11660150000000001
openspace,openspace_a,AT,avaConv,d005,0.04259933333333333
openspace,openspace_a,BE,avaConv,d005,0.008251791666666666
openspace,openspace_a,BG,avaConv,d005,0.07140529166666666
openspace,openspace_a,CH,avaConv,d005,0.053562250000000006
openspace,openspace_a,CZ,avaConv,d005,0.015078791666666666
openspace,openspace_a,DK,avaConv,d005,0.008887666666666667
openspace,openspace_a,ES,avaConv,d005,0.140573625
openspace,openspace_a,FI,avaConv,d005,0.007504833333333335
openspace,openspace_a,FR,avaConv,d005,0.05539233333333332
openspace,openspace_a,GR,avaConv,d005,0.08641741666666668
openspace,openspace_a,HR,avaConv,d005,0.08222743229166667
openspace,openspace_a,HU,avaConv,d005,0.08090204166666666
openspace,openspace_a,IE,avaConv,d005,0.009330333333333333
openspace,openspace_a,IT,avaConv,d005,0.09259979166666665
openspace,openspace_a,LU,avaConv,d005,0.009021958333333335
openspace,openspace_a,NL,avaConv,d005,0.010364249999999998
openspace,openspace_a,NO,avaConv,d005,0.005662916666666667
openspace,openspace_a,PL,avaConv,d005,0.024377833333333335
openspace,openspace_a,PT,avaConv,d005,0.12283145833333332
openspace,openspace_a,RO,avaConv,d005,0.055542625000000005
openspace,openspace_a,SE,avaConv,d005,0.0074550833333333335
openspace,openspace_a,SI,avaConv,d005,0.08333279166666666
openspace,openspace_a,SK,avaConv,d005,0.06597120833333334
openspace,openspace_a,UK,avaConv,d005,0.012572916666666668
openspace,openspace_a,EE,avaConv,d005,0.03473170833333333
openspace,openspace_a,LT,avaConv,d005,0.019151541666666667
openspace,openspace_a,LV,avaConv,d005,0.021363958333333332
openspace,openspace_a,NONEU_Balkan,avaConv,d005,0.07817849720833334
openspace,openspace_a,TR,avaConv,d005,0.08641741666666668
openspace,openspace_a,AT,avaConv,d006,0.03911683333333334
openspace,openspace_a,BE,avaConv,d006,0.015862833333333333
openspace,openspace_a,BG,avaConv,d006,0.08943041666666667
openspace,openspace_a,CH,avaConv,d006,0.08331912500000001
openspace,openspace_a,CZ,avaConv,d006,0.011556833333333334
openspace,openspace_a,DK,avaConv,d006,0.0041849999999999995
openspace,openspace_a,ES,avaConv,d006,0.14301595833333333
openspace,openspace_a,FI,avaConv,d006,0.005364666666666667
openspace,openspace_a,FR,avaConv,d006,0.04916354166666667
openspace,openspace_a,GR,avaConv,d006,0.10621716666666665
openspace,openspace_a,HR,avaConv,d006,0.07995432291666667
openspace,openspace_a,HU,avaConv,d006,0.03053370833333333
openspace,openspace_a,IE,avaConv,d006,0.007493625
openspace,openspace_a,IT,avaConv,d006,0.1144795
openspace,openspace_a,LU,avaConv,d006,0.019171083333333335
openspace,openspace_a,NL,avaConv,d006,0.021862583333333335
openspace,openspace_a,NO,avaConv,d006,0.0065634583333333335
openspace,openspace_a,PL,avaConv,d006,0.013872583333333336
openspace,openspace_a,PT,avaConv,d006,0.12411445833333333
openspace,openspace_a,RO,avaConv,d006,0.07190675
openspace,openspace_a,SE,avaConv,d006,0.002607458333333333
openspace,openspace_a,SI,avaConv,d006,0.07399783333333333
openspace,openspace_a,SK,avaConv,d006,0.017989291666666667
openspace,openspace_a,UK,avaConv,d006,0.007509624999999999
openspace,openspace_a,EE,avaConv,d006,0.0169335
openspace,openspace_a,LT,avaConv,d006,0.025977499999999997
openspace,openspace_a,LV,avaConv,d006,0.022504
openspace,openspace_a,NONEU_Balkan,avaConv,d006,0.08950716650000001
openspace,openspace_a,TR,avaConv,d006,0.10621716666666665
openspace,openspace_a,AT,avaConv,d007,0.05444279166666668
openspace,openspace_a,BE,avaConv,d007,0.030543791666666667
openspace,openspace_a,BG,avaConv,d007,0.044538875
openspace,openspace_a,CH,avaConv,d007,0.11520412499999999
openspace,openspace_a,CZ,avaConv,d007,0.046765749999999995
openspace,openspace_a,DK,avaConv,d007,0.005680624999999999
openspace,openspace_a,ES,avaConv,d007,0.13503679166666666
openspace,openspace_a,FI,avaConv,d007,0.0032977916666666663
openspace,openspace_a,FR,avaConv,d007,0.07224933333333333
openspace,openspace_a,GR,avaConv,d007,0.09899275000000002
