technology_1,region_1,parameter,timestep_2,value
ror,AT,avaConv,d001,0.43298654
ror,BE,avaConv,d001,0.3356251400000001
ror,BG,avaConv,d001,0.2387741099999999
ror,CH,avaConv,d001,0.27958333333333335
ror,CZ,avaConv,d001,0.37443734
ror,DK,avaConv,d001,0.4652395299999999
ror,ES,avaConv,d001,0.30982808999999994
ror,FI,avaConv,d001,0.6724409300000004
ror,FR,avaConv,d001,0.4658809500000001
ror,GR,avaConv,d001,0.34131890000000004
ror,HR,avaConv,d001,0.5652549600000002
ror,HU,avaConv,d001,0.7125275299999996
ror,IE,avaConv,d001,0.5629476400000003
ror,IT,avaConv,d001,0.2775180600000002
ror,LU,avaConv,d001,0.23216031
ror,NL,avaConv,d001,0.3356251400000001
ror,NO,avaConv,d001,0.5933333333333334
ror,PL,avaConv,d001,0.2301171499999999
ror,PT,avaConv,d001,0.50313386
ror,RO,avaConv,d001,0.22581298999999996
ror,SE,avaConv,d001,0.49
ror,SI,avaConv,d001,0.36218609999999996
ror,SK,avaConv,d001,0.2937945600000001
ror,UK,avaConv,d001,0.2726844499999999
ror,EE,avaConv,d001,0.27643942
ror,LT,avaConv,d001,0.27643942
ror,LV,avaConv,d001,0.26846163
ror,NONEU_Balkan,avaConv,d001,0.4084456239999999
ror,TR,avaConv,d001,0.34131890000000004
ror,AT,avaConv,d002,0.43298654
ror,BE,avaConv,d002,0.3356251400000001
ror,BG,avaConv,d002,0.2387741099999999
ror,CH,avaConv,d002,0.29250000000000004
ror,CZ,avaConv,d002,0.37443734
ror,DK,avaConv,d002,0.4652395299999999
ror,ES,avaConv,d002,0.30982808999999994
ror,FI,avaConv,d002,0.6724409300000004
ror,FR,avaConv,d002,0.4658809500000001
ror,GR,avaConv,d002,0.34131890000000004
ror,HR,avaConv,d002,0.5652549600000002
ror,HU,avaConv,d002,0.7125275299999996
ror,IE,avaConv,d002,0.5629476400000003
ror,IT,avaConv,d002,0.2775180600000002
ror,LU,avaConv,d002,0.23216031
ror,NL,avaConv,d002,0.3356251400000001
ror,NO,avaConv,d002,0.6608333333333333
ror,PL,avaConv,d002,0.2301171499999999
ror,PT,avaConv,d002,0.50313386
ror,RO,avaConv,d002,0.22581298999999996
ror,SE,avaConv,d002,0.5533333333333333
ror,SI,avaConv,d002,0.36218609999999996
ror,SK,avaConv,d002,0.2937945600000001
ror,UK,avaConv,d002,0.2726844499999999
ror,EE,avaConv,d002,0.27643942
ror,LT,avaConv,d002,0.27643942
ror,LV,avaConv,d002,0.26846163
ror,NONEU_Balkan,avaConv,d002,0.4084456239999999
ror,TR,avaConv,d002,0.34131890000000004
ror,AT,avaConv,d003,0.43298654
ror,BE,avaConv,d003,0.3356251400000001
ror,BG,avaConv,d003,0.2387741099999999
ror,CH,avaConv,d003,0.3295833333333333
ror,CZ,avaConv,d003,0.37443734
ror,DK,avaConv,d003,0.4652395299999999
ror,ES,avaConv,d003,0.30982808999999994
ror,FI,avaConv,d003,0.6724409300000004
ror,FR,avaConv,d003,0.4658809500000001
ror,GR,avaConv,d003,0.34131890000000004
ror,HR,avaConv,d003,0.5652549600000002
ror,HU,avaConv,d003,0.7125275299999996
ror,IE,avaConv,d003,0.5629476400000003
ror,IT,avaConv,d003,0.2775180600000002
ror,LU,avaConv,d003,0.23216031
ror,NL,avaConv,d003,0.3356251400000001
ror,NO,avaConv,d003,0.6583333333333333
ror,PL,avaConv,d003,0.2301171499999999
ror,PT,avaConv,d003,0.50313386
ror,RO,avaConv,d003,0.22581298999999996
ror,SE,avaConv,d003,0.57125
ror,SI,avaConv,d003,0.36218609999999996
ror,SK,avaConv,d003,0.2937945600000001
ror,UK,avaConv,d003,0.2726844499999999
ror,EE,avaConv,d003,0.27643942
ror,LT,avaConv,d003,0.27643942
ror,LV,avaConv,d003,0.26846163
ror,NONEU_Balkan,avaConv,d003,0.4084456239999999
ror,TR,avaConv,d003,0.34131890000000004
ror,AT,avaConv,d004,0.43298654
ror,BE,avaConv,d004,0.3356251400000001
ror,BG,avaConv,d004,0.2387741099999999
ror,CH,avaConv,d004,0.3254166666666667
ror,CZ,avaConv,d004,0.37443734
ror,DK,avaConv,d004,0.4652395299999999
ror,ES,avaConv,d004,0.30982808999999994
ror,FI,avaConv,d004,0.6724409300000004
ror,FR,avaConv,d004,0.4658809500000001
ror,GR,avaConv,d004,0.34131890000000004
ror,HR,avaConv,d004,0.5652549600000002
ror,HU,avaConv,d004,0.7125275299999996
ror,IE,avaConv,d004,0.5629476400000003
ror,IT,avaConv,d004,0.2775180600000002
ror,LU,avaConv,d004,0.23216031
ror,NL,avaConv,d004,0.3356251400000001
ror,NO,avaConv,d004,0.6383333333333333
ror,PL,avaConv,d004,0.2301171499999999
ror,PT,avaConv,d004,0.50313386
ror,RO,avaConv,d004,0.22581298999999996
ror,SE,avaConv,d004,0.5591666666666666
ror,SI,avaConv,d004,0.36218609999999996
ror,SK,avaConv,d004,0.2937945600000001
ror,UK,avaConv,d004,0.2726844499999999
ror,EE,avaConv,d004,0.27643942
ror,LT,avaConv,d004,0.27643942
ror,LV,avaConv,d004,0.26846163
ror,NONEU_Balkan,avaConv,d004,0.4084456239999999
ror,TR,avaConv,d004,0.34131890000000004
ror,AT,avaConv,d005,0.43298654
ror,BE,avaConv,d005,0.3356251400000001
ror,BG,avaConv,d005,0.2387741099999999
ror,CH,avaConv,d005,0.30124999999999996
ror,CZ,avaConv,d005,0.37443734
ror,DK,avaConv,d005,0.4652395299999999
ror,ES,avaConv,d005,0.30982808999999994
ror,FI,avaConv,d005,0.6724409300000004
ror,FR,avaConv,d005,0.4658809500000001
ror,GR,avaConv,d005,0.34131890000000004
ror,HR,avaConv,d005,0.5652549600000002
ror,HU,avaConv,d005,0.7125275299999996
ror,IE,avaConv,d005,0.5629476400000003
ror,IT,avaConv,d005,0.2775180600000002
ror,LU,avaConv,d005,0.23216031
ror,NL,avaConv,d005,0.3356251400000001
ror,NO,avaConv,d005,0.6108333333333335
ror,PL,avaConv,d005,0.2301171499999999
ror,PT,avaConv,d005,0.50313386
ror,RO,avaConv,d005,0.22581298999999996
ror,SE,avaConv,d005,0.5474999999999999
ror,SI,avaConv,d005,0.36218609999999996
ror,SK,avaConv,d005,0.2937945600000001
ror,UK,avaConv,d005,0.2726844499999999
ror,EE,avaConv,d005,0.27643942
ror,LT,avaConv,d005,0.27643942
ror,LV,avaConv,d005,0.26846163
ror,NONEU_Balkan,avaConv,d005,0.4084456239999999
ror,TR,avaConv,d005,0.34131890000000004
ror,AT,avaConv,d006,0.43298654
ror,BE,avaConv,d006,0.3356251400000001
ror,BG,avaConv,d006,0.2387741099999999
ror,CH,avaConv,d006,0.2854166666666667
ror,CZ,avaConv,d006,0.37443734
ror,DK,avaConv,d006,0.4652395299999999
ror,ES,avaConv,d006,0.30982808999999994
ror,FI,avaConv,d006,0.6724409300000004
ror,FR,avaConv,d006,0.4658809500000001
ror,GR,avaConv,d006,0.34131890000000004
ror,HR,avaConv,d006,0.5652549600000002
ror,HU,avaConv,d006,0.7125275299999996
ror,IE,avaConv,d006,0.5629476400000003
ror,IT,avaConv,d006,0.2775180600000002
ror,LU,avaConv,d006,0.23216031
ror,NL,avaConv,d006,0.3356251400000001
ror,NO,avaConv,d006,0.6016666666666669
ror,PL,avaConv,d006,0.2301171499999999
ror,PT,avaConv,d006,0.50313386
ror,RO,avaConv,d006,0.22581298999999996
ror,SE,avaConv,d006,0.5433333333333333
ror,SI,avaConv,d006,0.36218609999999996
ror,SK,avaConv,d006,0.2937945600000001
ror,UK,avaConv,d006,0.2726844499999999
ror,EE,avaConv,d006,0.27643942
ror,LT,avaConv,d006,0.27643942
ror,LV,avaConv,d006,0.26846163
ror,NONEU_Balkan,avaConv,d006,0.4084456239999999
ror,TR,avaConv,d006,0.34131890000000004
ror,AT,avaConv,d007,0.43298654
ror,BE,avaConv,d007,0.3356251400000001
ror,BG,avaConv,d007,0.2387741099999999
ror,CH,avaConv,d007,0.3316666666666667
ror,CZ,avaConv,d007,0.37443734
ror,DK,avaConv,d007,0.4652395299999999
ror,ES,avaConv,d007,0.30982808999999994
ror,FI,avaConv,d007,0.6724409300000004
ror,FR,avaConv,d007,0.4658809500000001
ror,GR,avaConv,d007,0.34131890000000004
ror,HR,avaConv,d007,0.5652549600000002
ror,HU,avaConv,d007,0.7125275299999996
ror,IE,avaConv,d007,0.5629476400000003
ror,IT,avaConv,d007,0.2775180600000002
ror,LU,avaConv,d007,0.23216031
ror,NL,avaConv,d007,0.3356251400000001
ror,NO,avaConv,d007,0.6550000000000001
ror,PL,avaConv,d007,0.2301171499999999
ror,PT,avaConv,d007,0.50313386
ror,RO,avaConv,d007,0.22581298999999996
ror,SE,avaConv,d007,0.6075
ror,SI,avaConv,d007,0.36218609999999996
ror,SK,avaConv,d007,0.2937945600000001
ror,UK,avaConv,d007,0.2726844499999999
ror,EE,avaConv,d007,0.27643942
ror,LT,avaConv,d007,0.27643942
ror,LV,avaConv,d007,0.26846163
ror,NONEU_Balkan,avaConv,d007,0.4084456239999999
ror,TR,avaConv,d007,0.34131890000000004
ror,AT,avaConv,d008,0.43298654
ror,BE,avaConv,d008,0.3356251400000001
ror,BG,avaConv,d008,0.2387741099999999
ror,CH,avaConv,d008,0.33041666666666664
ror,CZ,avaConv,d008,0.37443734
ror,DK,avaConv,d008,0.4652395299999999
ror,ES,avaConv,d008,0.30982808999999994
