technology_1,technology_2,parameter,timestep_2,value
wind_offshore,offshore_a,avaConv,d001,0.3400362713333333
wind_offshore,offshore_a,avaConv,d002,0.8484385781250001
wind_offshore,offshore_a,avaConv,d003,0.8266687312916666
wind_offshore,offshore_a,avaConv,d004,0.8347391315833336
wind_offshore,offshore_a,avaConv,d005,0.8199948331250001
wind_offshore,offshore_a,avaConv,d006,0.8218921720833334
wind_offshore,offshore_a,avaConv,d007,0.8388454785833335
wind_offshore,offshore_a,avaConv,d008,0.5997815902083334
wind_offshore,offshore_a,avaConv,d009,0.5907358480416667
wind_offshore,offshore_a,avaConv,d010,0.7816996215416666
wind_offshore,offshore_a,avaConv,d011,0.49399421250000003
wind_offshore,offshore_a,avaConv,d012,0.442667196375
wind_offshore,offshore_a,avaConv,d013,0.43283985170833333
wind_offshore,offshore_a,avaConv,d014,0.44810551575
wind_offshore,offshore_a,avaConv,d015,0.33169682725
wind_offshore,offshore_a,avaConv,d016,0.45322104341666664
wind_offshore,offshore_a,avaConv,d017,0.350570753375
wind_offshore,offshore_a,avaConv,d018,0.47907725912500004
wind_offshore,offshore_a,avaConv,d019,0.5797331799583333
wind_offshore,offshore_a,avaConv,d020,0.2736347961250001
wind_offshore,offshore_a,avaConv,d021,0.318159299875
wind_offshore,offshore_a,avaConv,d022,0.6860370204583334
wind_offshore,offshore_a,avaConv,d023,0.5746681609583332
wind_offshore,offshore_a,avaConv,d024,0.7733161333333335
wind_offshore,offshore_a,avaConv,d025,0.7676150310416666
wind_offshore,offshore_a,avaConv,d026,0.8215665438333333
wind_offshore,offshore_a,avaConv,d027,0.7708937314583335
wind_offshore,offshore_a,avaConv,d028,0.8427758069583332
wind_offshore,offshore_a,avaConv,d029,0.8337774503750001
wind_offshore,offshore_a,avaConv,d030,0.8471206432499999
wind_offshore,offshore_a,avaConv,d031,0.7677398808750001
wind_offshore,offshore_a,avaConv,d032,0.6834477767499999
wind_offshore,offshore_a,avaConv,d033,0.6886584265833333
wind_offshore,offshore_a,avaConv,d034,0.8203553935000002
wind_offshore,offshore_a,avaConv,d035,0.5541896145416666
wind_offshore,offshore_a,avaConv,d036,0.6801232744166664
wind_offshore,offshore_a,avaConv,d037,0.8393448233333333
wind_offshore,offshore_a,avaConv,d038,0.8553856805416666
wind_offshore,offshore_a,avaConv,d039,0.8486210356666666
wind_offshore,offshore_a,avaConv,d040,0.6415513022916666
wind_offshore,offshore_a,avaConv,d041,0.5434834584166667
wind_offshore,offshore_a,avaConv,d042,0.4558093462083334
wind_offshore,offshore_a,avaConv,d043,0.10839079508333337
wind_offshore,offshore_a,avaConv,d044,0.45041109645833344
wind_offshore,offshore_a,avaConv,d045,0.8546272547916668
wind_offshore,offshore_a,avaConv,d046,0.6065230971250001
wind_offshore,offshore_a,avaConv,d047,0.2606726054583333
wind_offshore,offshore_a,avaConv,d048,0.6368555985000001
wind_offshore,offshore_a,avaConv,d049,0.4263711251249998
wind_offshore,offshore_a,avaConv,d050,0.4455239550416666
wind_offshore,offshore_a,avaConv,d051,0.8755895788333333
wind_offshore,offshore_a,avaConv,d052,0.7548873122499998
wind_offshore,offshore_a,avaConv,d053,0.8461387001666667
wind_offshore,offshore_a,avaConv,d054,0.7953668570833332
wind_offshore,offshore_a,avaConv,d055,0.653996628625
wind_offshore,offshore_a,avaConv,d056,0.5317988268333331
wind_offshore,offshore_a,avaConv,d057,0.21598880445833338
wind_offshore,offshore_a,avaConv,d058,0.03847967466666667
wind_offshore,offshore_a,avaConv,d059,0.17799642345833336
wind_offshore,offshore_a,avaConv,d060,0.1568119182916667
wind_offshore,offshore_a,avaConv,d061,0.7095780980833334
wind_offshore,offshore_a,avaConv,d062,0.46514108520833347
wind_offshore,offshore_a,avaConv,d063,0.20415974454166672
wind_offshore,offshore_a,avaConv,d064,0.5674060676666667
wind_offshore,offshore_a,avaConv,d065,0.27247236329166674
wind_offshore,offshore_a,avaConv,d066,0.24423439079166667
wind_offshore,offshore_a,avaConv,d067,0.2107788966666667
wind_offshore,offshore_a,avaConv,d068,0.25232271183333327
wind_offshore,offshore_a,avaConv,d069,0.6007079073333333
wind_offshore,offshore_a,avaConv,d070,0.37126112770833336
wind_offshore,offshore_a,avaConv,d071,0.19910673370833334
wind_offshore,offshore_a,avaConv,d072,0.1494892876666667
wind_offshore,offshore_a,avaConv,d073,0.10079343691666666
wind_offshore,offshore_a,avaConv,d074,0.10539731725000002
wind_offshore,offshore_a,avaConv,d075,0.328433178375
wind_offshore,offshore_a,avaConv,d076,0.24020608999999996
wind_offshore,offshore_a,avaConv,d077,0.25620422533333337
wind_offshore,offshore_a,avaConv,d078,0.4975291333333333
wind_offshore,offshore_a,avaConv,d079,0.5766410331666667
wind_offshore,offshore_a,avaConv,d080,0.7248921004583334
wind_offshore,offshore_a,avaConv,d081,0.766611498375
wind_offshore,offshore_a,avaConv,d082,0.47503148095833314
wind_offshore,offshore_a,avaConv,d083,0.399907536125
wind_offshore,offshore_a,avaConv,d084,0.26246096808333336
wind_offshore,offshore_a,avaConv,d085,0.4011264130416667
wind_offshore,offshore_a,avaConv,d086,0.6461439635833334
wind_offshore,offshore_a,avaConv,d087,0.7730521454166666
wind_offshore,offshore_a,avaConv,d088,0.8204907557083332
wind_offshore,offshore_a,avaConv,d089,0.6382653891250001
wind_offshore,offshore_a,avaConv,d090,0.66126192675
wind_offshore,offshore_a,avaConv,d091,0.25587721370833333
wind_offshore,offshore_a,avaConv,d092,0.2149063781666667
wind_offshore,offshore_a,avaConv,d093,0.3598336819583334
wind_offshore,offshore_a,avaConv,d094,0.3569262830833333
wind_offshore,offshore_a,avaConv,d095,0.4897639609583333
wind_offshore,offshore_a,avaConv,d096,0.3742892785
wind_offshore,offshore_a,avaConv,d097,0.7401661279166666
wind_offshore,offshore_a,avaConv,d098,0.8018505690416666
wind_offshore,offshore_a,avaConv,d099,0.27252985674999997
wind_offshore,offshore_a,avaConv,d100,0.31236901545833334
wind_offshore,offshore_a,avaConv,d101,0.53990927325
wind_offshore,offshore_a,avaConv,d102,0.7633362486666665
wind_offshore,offshore_a,avaConv,d103,0.4736086799166666
wind_offshore,offshore_a,avaConv,d104,0.12746117366666668
wind_offshore,offshore_a,avaConv,d105,0.08273742016666667
wind_offshore,offshore_a,avaConv,d106,0.13094839620833335
wind_offshore,offshore_a,avaConv,d107,0.5568167612083332
wind_offshore,offshore_a,avaConv,d108,0.6626582649166667
wind_offshore,offshore_a,avaConv,d109,0.7459414623333336
wind_offshore,offshore_a,avaConv,d110,0.7455733674583332
wind_offshore,offshore_a,avaConv,d111,0.3785473930416667
wind_offshore,offshore_a,avaConv,d112,0.304759448875
wind_offshore,offshore_a,avaConv,d113,0.49794076258333336
wind_offshore,offshore_a,avaConv,d114,0.50765174025
wind_offshore,offshore_a,avaConv,d115,0.33450518525000006
wind_offshore,offshore_a,avaConv,d116,0.3517959310416667
wind_offshore,offshore_a,avaConv,d117,0.29222383291666665
wind_offshore,offshore_a,avaConv,d118,0.6182445359166666
wind_offshore,offshore_a,avaConv,d119,0.31485954591666665
wind_offshore,offshore_a,avaConv,d120,0.7609746308750002
wind_offshore,offshore_a,avaConv,d121,0.423934871125
wind_offshore,offshore_a,avaConv,d122,0.07177338875
wind_offshore,offshore_a,avaConv,d123,0.4320554700000001
wind_offshore,offshore_a,avaConv,d124,0.42209069075
wind_offshore,offshore_a,avaConv,d125,0.14175935966666667
wind_offshore,offshore_a,avaConv,d126,0.3856100923333334
wind_offshore,offshore_a,avaConv,d127,0.6418362883333334
wind_offshore,offshore_a,avaConv,d128,0.6847343629583335
wind_offshore,offshore_a,avaConv,d129,0.7168477190000001
wind_offshore,offshore_a,avaConv,d130,0.7032528133749999
wind_offshore,offshore_a,avaConv,d131,0.6431693575
wind_offshore,offshore_a,avaConv,d132,0.7236575006666666
wind_offshore,offshore_a,avaConv,d133,0.5997637297083334
wind_offshore,offshore_a,avaConv,d134,0.48361698466666664
wind_offshore,offshore_a,avaConv,d135,0.7248282541249997
wind_offshore,offshore_a,avaConv,d136,0.72452816975
wind_offshore,offshore_a,avaConv,d137,0.533925994375
wind_offshore,offshore_a,avaConv,d138,0.4034479683333334
wind_offshore,offshore_a,avaConv,d139,0.23888616649999994
wind_offshore,offshore_a,avaConv,d140,0.13676603391666667
wind_offshore,offshore_a,avaConv,d141,0.4640112299166667
wind_offshore,offshore_a,avaConv,d142,0.41578440325
wind_offshore,offshore_a,avaConv,d143,0.3142741534166667
wind_offshore,offshore_a,avaConv,d144,0.4601926090000001
wind_offshore,offshore_a,avaConv,d145,0.4569547639166667
wind_offshore,offshore_a,avaConv,d146,0.07829943233333332
wind_offshore,offshore_a,avaConv,d147,0.05877133504166666
wind_offshore,offshore_a,avaConv,d148,0.12042319350000001
wind_offshore,offshore_a,avaConv,d149,0.3034520775416667
wind_offshore,offshore_a,avaConv,d150,0.5279817863749999
wind_offshore,offshore_a,avaConv,d151,0.7290465989583335
wind_offshore,offshore_a,avaConv,d152,0.4899643355416667
wind_offshore,offshore_a,avaConv,d153,0.6654629991666668
wind_offshore,offshore_a,avaConv,d154,0.6266657633749999
wind_offshore,offshore_a,avaConv,d155,0.30498131558333336
wind_offshore,offshore_a,avaConv,d156,0.16658782966666666
wind_offshore,offshore_a,avaConv,d157,0.22633904329166674
wind_offshore,offshore_a,avaConv,d158,0.1119974637916667
wind_offshore,offshore_a,avaConv,d159,0.13111272183333333
wind_offshore,offshore_a,avaConv,d160,0.5613403462083334
wind_offshore,offshore_a,avaConv,d161,0.3555976614583333
