technology_1,region_1,parameter,timestep_2,value
wind_offshore,BE,avaConv,d001,0.43364590308333334
wind_offshore,BG,avaConv,d001,0.013095643083333336
wind_offshore,DK,avaConv,d001,0.6294035433333333
wind_offshore,ES,avaConv,d001,0.18886155779166666
wind_offshore,FI,avaConv,d001,0.19372089345833332
wind_offshore,FR,avaConv,d001,0.6364490105833334
wind_offshore,GR,avaConv,d001,0.08961841529166664
wind_offshore,HR,avaConv,d001,0.01733911183333333
wind_offshore,IE,avaConv,d001,0.9216360514166668
wind_offshore,IT,avaConv,d001,0.038925116125
wind_offshore,NL,avaConv,d001,0.6474326274166666
wind_offshore,NO,avaConv,d001,0.06309842445833332
wind_offshore,PL,avaConv,d001,0.480032105375
wind_offshore,PT,avaConv,d001,0.15011019804166667
wind_offshore,RO,avaConv,d001,0.038819413
wind_offshore,SE,avaConv,d001,0.677230754375
wind_offshore,SI,avaConv,d001,0.4694875816250001
wind_offshore,UK,avaConv,d001,0.85637198425
wind_offshore,EE,avaConv,d001,0.9287074007083335
wind_offshore,LT,avaConv,d001,0.9459630793750001
wind_offshore,LV,avaConv,d001,0.9459630793750001
wind_offshore,NONEU_Balkan,avaConv,d001,0.05347876383333334
wind_offshore,TR,avaConv,d001,0.08961841529166664
wind_offshore,BE,avaConv,d002,0.32625838779166666
wind_offshore,BG,avaConv,d002,0.036238423666666665
wind_offshore,DK,avaConv,d002,0.6380030080416667
wind_offshore,ES,avaConv,d002,0.12515701987500003
wind_offshore,FI,avaConv,d002,0.029975639958333338
wind_offshore,FR,avaConv,d002,0.6389870812083334
wind_offshore,GR,avaConv,d002,0.014311963916666668
wind_offshore,HR,avaConv,d002,0.006491254166666668
wind_offshore,IE,avaConv,d002,0.8352390049166668
wind_offshore,IT,avaConv,d002,0.09721245824999998
wind_offshore,NL,avaConv,d002,0.5642232485833334
wind_offshore,NO,avaConv,d002,0.03073792620833334
wind_offshore,PL,avaConv,d002,0.3486780582083333
wind_offshore,PT,avaConv,d002,0.2579820335
wind_offshore,RO,avaConv,d002,0.09398128708333332
wind_offshore,SE,avaConv,d002,0.6488196590416667
wind_offshore,SI,avaConv,d002,0.42086512950000005
wind_offshore,UK,avaConv,d002,0.6845749152500001
wind_offshore,EE,avaConv,d002,0.7475591892083333
wind_offshore,LT,avaConv,d002,0.75539042275
wind_offshore,LV,avaConv,d002,0.75539042275
wind_offshore,NONEU_Balkan,avaConv,d002,0.01040160895833333
wind_offshore,TR,avaConv,d002,0.014311963916666668
wind_offshore,BE,avaConv,d003,0.3300891310416666
wind_offshore,BG,avaConv,d003,0.08321550554166667
wind_offshore,DK,avaConv,d003,0.9705508115000002
wind_offshore,ES,avaConv,d003,0.292228449375
wind_offshore,FI,avaConv,d003,0.044784765166666664
wind_offshore,FR,avaConv,d003,0.5355470397083334
wind_offshore,GR,avaConv,d003,0.032881090375
wind_offshore,HR,avaConv,d003,0.004993615125
wind_offshore,IE,avaConv,d003,0.7309687425416667
wind_offshore,IT,avaConv,d003,0.01577645625
wind_offshore,NL,avaConv,d003,0.5858724432916668
wind_offshore,NO,avaConv,d003,0.06180232908333333
wind_offshore,PL,avaConv,d003,0.7132562350833335
wind_offshore,PT,avaConv,d003,0.4973333047083334
wind_offshore,RO,avaConv,d003,0.051658193333333324
wind_offshore,SE,avaConv,d003,0.8903533497083336
wind_offshore,SI,avaConv,d003,0.3679811787916667
wind_offshore,UK,avaConv,d003,0.7632194546249997
wind_offshore,EE,avaConv,d003,0.45286123270833345
wind_offshore,LT,avaConv,d003,0.8044262405416668
wind_offshore,LV,avaConv,d003,0.8044262405416668
wind_offshore,NONEU_Balkan,avaConv,d003,0.018937352625
wind_offshore,TR,avaConv,d003,0.032881090375
wind_offshore,BE,avaConv,d004,0.215111252125
wind_offshore,BG,avaConv,d004,0.31271357012500006
wind_offshore,DK,avaConv,d004,0.87259425325
wind_offshore,ES,avaConv,d004,0.16989735108333334
wind_offshore,FI,avaConv,d004,0.13995244579166669
wind_offshore,FR,avaConv,d004,0.34880353587500007
wind_offshore,GR,avaConv,d004,0.18328177833333337
wind_offshore,HR,avaConv,d004,0.005055551291666667
wind_offshore,IE,avaConv,d004,0.7482081567083333
wind_offshore,IT,avaConv,d004,0.18283817162500002
wind_offshore,NL,avaConv,d004,0.48365529741666663
wind_offshore,NO,avaConv,d004,0.14955032095833334
wind_offshore,PL,avaConv,d004,0.6080219792499998
wind_offshore,PT,avaConv,d004,0.59736152625
wind_offshore,RO,avaConv,d004,0.22474047912500003
wind_offshore,SE,avaConv,d004,0.8082212620416668
wind_offshore,SI,avaConv,d004,0.3766318539583333
wind_offshore,UK,avaConv,d004,0.6446088508333335
