timestep_2,region_1,region_2,carrier_2,value,parameter
all,DE,DE11,synthGas,0.921999072,dem
all,DE,DE12,synthGas,0.625954204,dem
all,DE,DE13,synthGas,0.504123818,dem
all,DE,DE14,synthGas,0.412999223,dem
all,DE,DE21,synthGas,1.039699852,dem
all,DE,DE22,synthGas,0.275466075,dem
all,DE,DE23,synthGas,0.249060107,dem
all,DE,DE24,synthGas,0.242894106,dem
all,DE,DE25,synthGas,0.394534574,dem
all,DE,DE26,synthGas,0.298765351,dem
all,DE,DE27,synthGas,0.418934511,dem
all,DE,DE30,synthGas,0.798145631,dem
all,DE,DE40,synthGas,0.565367484,dem
all,DE,DE50,synthGas,0.152249569,dem
all,DE,DE60,synthGas,0.405482756,dem
all,DE,DE71,synthGas,0.888767626,dem
all,DE,DE72,synthGas,0.236698432,dem
all,DE,DE73,synthGas,0.276269316,dem
all,DE,DE80,synthGas,0.367838776,dem
all,DE,DE91,synthGas,0.363380007,dem
all,DE,DE92,synthGas,0.484983821,dem
all,DE,DE93,synthGas,0.385913306,dem
all,DE,DE94,synthGas,0.566054103,dem
all,DE,DEA1,synthGas,1.175025008,dem
all,DE,DEA2,synthGas,1.003297537,dem
all,DE,DEA3,synthGas,0.593612488,dem
all,DE,DEA4,synthGas,0.466866047,dem
all,DE,DEA5,synthGas,0.818369958,dem
all,DE,DEB1,synthGas,0.339790672,dem
all,DE,DEB2,synthGas,0.120040576,dem
all,DE,DEB3,synthGas,0.46292552,dem
all,DE,DEC0_,synthGas,0.227500956,dem
all,DE,DED2,synthGas,0.366372838,dem
all,DE,DED4,synthGas,0.336602321,dem
all,DE,DED5,synthGas,0.229831781,dem
all,DE,DEE0,synthGas,0.514227815,dem
all,DE,DEF0,synthGas,0.651164283,dem
all,DE,DEG0,synthGas,0.49610452,dem
all,DE,DE11,hydrogen,2.405212407,dem
all,DE,DE12,hydrogen,1.632922271,dem
all,DE,DE13,hydrogen,1.31510421,dem
all,DE,DE14,hydrogen,1.077388129,dem
all,DE,DE21,hydrogen,2.712257594,dem
all,DE,DE22,hydrogen,0.718606387,dem
all,DE,DE23,hydrogen,0.649721325,dem
all,DE,DE24,hydrogen,0.633636123,dem
all,DE,DE25,hydrogen,1.029219531,dem
all,DE,DE26,hydrogen,0.779387042,dem
all,DE,DE27,hydrogen,1.092871472,dem
all,DE,DE30,hydrogen,2.08211682,dem
all,DE,DE40,hydrogen,1.474870126,dem
all,DE,DE50,hydrogen,0.397172366,dem
all,DE,DE60,hydrogen,1.057779976,dem
all,DE,DE71,hydrogen,2.318521771,dem
all,DE,DE72,hydrogen,0.617473513,dem
all,DE,DE73,hydrogen,0.720701796,dem
all,DE,DE80,hydrogen,0.959578393,dem
all,DE,DE91,hydrogen,0.947946834,dem
all,DE,DE92,hydrogen,1.265173836,dem
all,DE,DE93,hydrogen,1.00672929,dem
all,DE,DE94,hydrogen,1.476661305,dem
all,DE,DEA1,hydrogen,3.065279362,dem
all,DE,DEA2,hydrogen,2.617295134,dem
all,DE,DEA3,hydrogen,1.548552666,dem
all,DE,DEA4,hydrogen,1.217910128,dem
all,DE,DEA5,hydrogen,2.134875876,dem
all,DE,DEB1,hydrogen,0.886409504,dem
all,DE,DEB2,hydrogen,0.313148996,dem
all,DE,DEB3,hydrogen,1.207630504,dem
all,DE,DEC0_,hydrogen,0.593480122,dem
all,DE,DED2,hydrogen,0.955754212,dem
all,DE,DED4,hydrogen,0.878092075,dem
all,DE,DED5,hydrogen,0.599560528,dem
all,DE,DEE0,hydrogen,1.341462436,dem
all,DE,DEF0,hydrogen,1.698687623,dem
all,DE,DEG0,hydrogen,1.294184326,dem
