timestep_2,region_1,region_2,carrier_1,carrier_2,value,parameter,,
all,AT,AT,gas,synthGas,5.28E-02,dem,,
all,BE,BE,gas,synthGas,0.3956,dem,,
all,BG,BG,gas,synthGas,0.132734,dem,,
all,CH,CH,gas,synthGas,6.32E-02,dem,,
all,CZ,CZ,gas,synthGas,6.47E-02,dem,,
all,DK,DK,gas,synthGas,1.50E-02,dem,,
all,EE,EE,gas,synthGas,2.53E-03,dem,,
all,ES,ES,gas,synthGas,0.4684,dem,,
all,FI,FI,gas,synthGas,5.90E-02,dem,,
all,FR,FR,gas,synthGas,0.942028,dem,,
all,GR,GR,gas,synthGas,1.07E-02,dem,,
all,HR,HR,gas,synthGas,2.64E-02,dem,,
all,HU,HU,gas,synthGas,0.141927,dem,,
all,IE,IE,gas,synthGas,1.64E-02,dem,,
all,IT,IT,gas,synthGas,0.924513,dem,,
all,LT,LT,gas,synthGas,3.32E-03,dem,,
all,LU,LU,gas,synthGas,1.00E-02,dem,,
all,LV,LV,gas,synthGas,5.38E-03,dem,,
all,NL,NL,gas,synthGas,0.452518,dem,,
all,NO,NO,gas,synthGas,2.37E-02,dem,,
all,NONEU_Balkan,NONEU_Balkan,gas,synthGas,0.186593,dem,,
all,PL,PL,gas,synthGas,0.212854,dem,,
all,PT,PT,gas,synthGas,3.71E-02,dem,,
all,RO,RO,gas,synthGas,0.485368,dem,,
all,SE,SE,gas,synthGas,5.94E-02,dem,,
all,SI,SI,gas,synthGas,1.80E-02,dem,,
all,SK,SK,gas,synthGas,0.438775,dem,,
all,TR,TR,gas,synthGas,0.321418,dem,,
all,UK,UK,gas,synthGas,0.625797,dem,,
all,AT,AT,gas,hydrogen,3.24E-02,dem,,
all,BE,BE,gas,hydrogen,0.408203,dem,,
all,BG,BG,gas,hydrogen,1.75E-02,dem,,
all,CH,CH,gas,hydrogen,4.93E-02,dem,,
all,CZ,CZ,gas,hydrogen,0.147232,dem,,
all,DK,DK,gas,hydrogen,4.03E-02,dem,,
all,EE,EE,gas,hydrogen,5.68E-03,dem,,
all,ES,ES,gas,hydrogen,0.130915,dem,,
all,FI,FI,gas,hydrogen,2.72E-02,dem,,
all,FR,FR,gas,hydrogen,0.436461,dem,,
all,GR,GR,gas,hydrogen,5.90E-02,dem,,
all,HR,HR,gas,hydrogen,4.07E-02,dem,,
all,HU,HU,gas,hydrogen,4.17E-02,dem,,
all,IE,IE,gas,hydrogen,4.51E-02,dem,,
all,IT,IT,gas,hydrogen,0.474147,dem,,
all,LT,LT,gas,hydrogen,1.18E-02,dem,,
all,LU,LU,gas,hydrogen,5.73E-03,dem,,
all,LV,LV,gas,hydrogen,1.27E-02,dem,,
all,NL,NL,gas,hydrogen,0.117649,dem,,
all,NO,NO,gas,hydrogen,6.30E-02,dem,,
all,NONEU_Balkan,NONEU_Balkan,gas,hydrogen,4.58E-02,dem,,
all,PL,PL,gas,hydrogen,0.466853,dem,,
all,PT,PT,gas,hydrogen,2.59E-02,dem,,
all,RO,RO,gas,hydrogen,4.87E-02,dem,,
all,SE,SE,gas,hydrogen,7.24E-02,dem,,
all,SI,SI,gas,hydrogen,1.35E-02,dem,,
all,SK,SK,gas,hydrogen,6.38E-02,dem,,
all,TR,TR,gas,hydrogen,0.268308,dem,,
all,UK,UK,gas,hydrogen,0.245423,dem,,
