timestep_2,region_1,region_2,carrier_2,value,parameter
all,DE,DE11,synthGas,0.2254093610912768,dem
all,DE,DE12,synthGas,0.15303262387235758,dem
all,DE,DE13,synthGas,0.12324765954458042,dem
all,DE,DE14,synthGas,0.10096961462844482,dem
all,DE,DE21,synthGas,0.2541847236978727,dem
all,DE,DE22,synthGas,0.06734565560177888,dem
all,DE,DE23,synthGas,0.06088995238402478,dem
all,DE,DE24,synthGas,0.05938249496014337,dem
all,DE,DE25,synthGas,0.09645539670755664,dem
all,DE,DE26,synthGas,0.0730418380346494,dem
all,DE,DE27,synthGas,0.10242066758131886,dem
all,DE,DE30,synthGas,0.19512980240993558,dem
all,DE,DE40,synthGas,0.13822044644121145,dem
all,DE,DE50,synthGas,0.03722181411773944,dem
all,DE,DE60,synthGas,0.09913199670063234,dem
all,DE,DE71,synthGas,0.21728497220794477,dem
all,DE,DE72,synthGas,0.05786778311250516,dem
all,DE,DE73,synthGas,0.06754203111463007,dem
all,DE,DE80,synthGas,0.08992883615696012,dem
all,DE,DE91,synthGas,0.0888387610125639,dem
all,DE,DE92,synthGas,0.11856833325664795,dem
all,DE,DE93,synthGas,0.0943476781960171,dem
all,DE,DE94,synthGas,0.13838831033045312,dem
all,DE,DEA1,synthGas,0.28726887516818717,dem
all,DE,DEA2,synthGas,0.2452851241043566,dem
all,DE,DEA3,synthGas,0.1451257552414144,dem
all,DE,DEA4,synthGas,0.11413891897006162,dem
all,DE,DEA5,synthGas,0.20007422455309698,dem
all,DE,DEB1,synthGas,0.0830716652611724,dem
all,DE,DEB2,synthGas,0.029347393465911052,dem
all,DE,DEB3,synthGas,0.11317554308346102,dem
all,DE,DEC0_,synthGas,0.05561919387660151,dem
all,DE,DED2,synthGas,0.08957044518020714,dem
all,DE,DED4,synthGas,0.08229218057005903,dem
all,DE,DED5,synthGas,0.05618903151529447,dem
all,DE,DEE0,synthGas,0.1257178740788508,dem
all,DE,DEF0,synthGas,0.1591959574081755,dem
all,DE,DEG0,synthGas,0.12128711002400505,dem
