timestep_2,region_1,region_2,carrier_1,carrier_2,value,parameter
all,AT,AT,gas,synthGas,0.11304626286143526,dem
all,BE,BE,gas,synthGas,0.8472314193152058,dem
all,BG,BG,gas,synthGas,0.2842677063936272,dem
all,CH,CH,gas,synthGas,0.1353669258363493,dem
all,CZ,CZ,gas,synthGas,0.13846441858209202,dem
all,DK,DK,gas,synthGas,0.03203316117497289,dem
all,EE,EE,gas,synthGas,0.005423244182020315,dem
all,ES,ES,gas,synthGas,1.003141624676828,dem
all,FI,FI,gas,synthGas,0.12631268817559793,dem
all,FR,FR,gas,synthGas,2.0174802134441028,dem
all,GR,GR,gas,synthGas,0.022893126806442086,dem
all,HR,HR,gas,synthGas,0.05648709437843997,dem
all,HU,HU,gas,synthGas,0.30395694003891643,dem
all,IE,IE,gas,synthGas,0.03521042153321425,dem
all,IT,IT,gas,synthGas,1.9799708849962891,dem
all,LT,LT,gas,synthGas,0.00711475635780365,dem
all,LU,LU,gas,synthGas,0.02150384463743431,dem
all,LV,LV,gas,synthGas,0.011529360843294194,dem
all,NL,NL,gas,synthGas,0.9691284972189305,dem
all,NO,NO,gas,synthGas,0.05073933740061402,dem
all,NONEU_Balkan,NONEU_Balkan,gas,synthGas,0.39961316123211227,dem
all,PL,PL,gas,synthGas,0.4558560595269574,dem
all,PT,PT,gas,synthGas,0.07945412252507779,dem
all,RO,RO,gas,synthGas,1.0394818802319465,dem
all,SE,SE,gas,synthGas,0.12712256648924508,dem
all,SI,SI,gas,synthGas,0.038521394272288616,dem
all,SK,SK,gas,synthGas,0.9396957879353263,dem
all,TR,TR,gas,synthGas,0.6883602482747762,dem
all,UK,UK,gas,synthGas,1.3402298250785916,dem
