region_1,region_2,carrier_1,carrier_2,parameter,timestep_2,value
AT,AT,electricity,electricity_central,dem,d001,3.7457896046249997
BE,BE,electricity,electricity_central,dem,d001,4.163967060625
BG,BG,electricity,electricity_central,dem,d001,3.7268278474166667
CH,CH,electricity,electricity_central,dem,d001,8.591020440625
CZ,CZ,electricity,electricity_central,dem,d001,4.081977737583333
DK,DK,electricity,electricity_central,dem,d001,3.9541719221666667
ES,ES,electricity,electricity_central,dem,d001,21.208453743750002
FI,FI,electricity,electricity_central,dem,d001,2.254981197083333
FR,FR,electricity,electricity_central,dem,d001,52.54418659875
GR,GR,electricity,electricity_central,dem,d001,5.602774366833334
HR,HR,electricity,electricity_central,dem,d001,1.90839933875
HU,HU,electricity,electricity_central,dem,d001,2.774431435291666
IE,IE,electricity,electricity_central,dem,d001,2.39232700325
IT,IT,electricity,electricity_central,dem,d001,10.545544409666666
LU,LU,electricity,electricity_central,dem,d001,0.46455055599999984
NL,NL,electricity,electricity_central,dem,d001,6.563756127583333
NO,NO,electricity,electricity_central,dem,d001,11.996130437916669
PL,PL,electricity,electricity_central,dem,d001,12.727114873750004
PT,PT,electricity,electricity_central,dem,d001,3.999970272416667
RO,RO,electricity,electricity_central,dem,d001,5.105780646458334
SE,SE,electricity,electricity_central,dem,d001,12.160268534166663
SI,SI,electricity,electricity_central,dem,d001,0.6908606688333334
SK,SK,electricity,electricity_central,dem,d001,1.7318700097083328
UK,UK,electricity,electricity_central,dem,d001,28.983419541666667
EE,EE,electricity,electricity_central,dem,d001,0.6956470455416666
LT,LT,electricity,electricity_central,dem,d001,0.42831095262500013
LV,LV,electricity,electricity_central,dem,d001,0.5359377783333333
NONEU_Balkan,NONEU_Balkan,electricity,electricity_central,dem,d001,5.68167762725
TR,TR,electricity,electricity_central,dem,d001,22.928426491249997
AT,AT,electricity,electricity_central,dem,d002,4.486683335333335
BE,BE,electricity,electricity_central,dem,d002,4.9877509855833315
BG,BG,electricity,electricity_central,dem,d002,4.278648743000001
CH,CH,electricity,electricity_central,dem,d002,9.072544634624998
CZ,CZ,electricity,electricity_central,dem,d002,5.099489480291666
DK,DK,electricity,electricity_central,dem,d002,4.759426538124999
ES,ES,electricity,electricity_central,dem,d002,26.91851950458333
FI,FI,electricity,electricity_central,dem,d002,2.4404046134166673
FR,FR,electricity,electricity_central,dem,d002,62.35334937041668
GR,GR,electricity,electricity_central,dem,d002,6.2674103138750015
