carrier_1,region_2,parameter,timestep_2,value
electricity,DE11,dem,d001,0.510980895625
electricity,DE11,dem,d002,0.4903215397083333
electricity,DE11,dem,d003,0.5536899842916666
electricity,DE11,dem,d004,0.5176676667083332
electricity,DE11,dem,d005,0.49224044729166666
electricity,DE11,dem,d006,0.49285688712500003
electricity,DE11,dem,d007,0.49334138670833333
electricity,DE11,dem,d008,0.49377569645833336
electricity,DE11,dem,d009,0.4941599706666668
electricity,DE11,dem,d010,0.5575248743333333
electricity,DE11,dem,d011,0.5208794967500001
electricity,DE11,dem,d012,0.4949428370833333
electricity,DE11,dem,d013,0.4952191881250001
electricity,DE11,dem,d014,0.49536775562499996
electricity,DE11,dem,d015,0.49547121395833327
electricity,DE11,dem,d016,0.49553002524999995
electricity,DE11,dem,d017,0.5587071022916666
electricity,DE11,dem,d018,0.5216515861666666
electricity,DE11,dem,d019,0.4953645224583334
electricity,DE11,dem,d020,0.49533542483333326
electricity,DE11,dem,d021,0.49518300833333334
electricity,DE11,dem,d022,0.49499010145833333
electricity,DE11,dem,d023,0.4947574740833334
electricity,DE11,dem,d024,0.5575120959166667
electricity,DE11,dem,d025,0.5202391937916667
electricity,DE11,dem,d026,0.49374706083333325
electricity,DE11,dem,d027,0.4934439214583333
electricity,DE11,dem,d028,0.49302300562500007
electricity,DE11,dem,d029,0.49256837362499994
electricity,DE11,dem,d030,0.4920758684166667
electricity,DE11,dem,d031,0.554201887875
electricity,DE11,dem,d032,0.5168878796249999
electricity,DE11,dem,d033,0.4903178447916668
electricity,DE11,dem,d034,0.4897756117083332
electricity,DE11,dem,d035,0.48911852754166657
electricity,DE11,dem,d036,0.48843111383333326
electricity,DE11,dem,d037,0.48771260133333344
electricity,DE11,dem,d038,0.5490328151249999
electricity,DE11,dem,d039,0.5118307327916667
electricity,DE11,dem,d040,0.48530088054166676
electricity,DE11,dem,d041,0.4845480356250001
electricity,DE11,dem,d042,0.48368680575000006
electricity,DE11,dem,d043,0.48279770987500004
electricity,DE11,dem,d044,0.48188459679166673
electricity,DE11,dem,d045,0.5422438172916667
electricity,DE11,dem,d046,0.5052939149166666
electricity,DE11,dem,d047,0.47890939695833334
electricity,DE11,dem,d048,0.47797611583333316
electricity,DE11,dem,d049,0.47693968400000003
electricity,DE11,dem,d050,0.4758796969166667
electricity,DE11,dem,d051,0.4747981560000001
electricity,DE11,dem,d052,0.5340695233333334
electricity,DE11,dem,d053,0.4974963512500001
electricity,DE11,dem,d054,0.4713480019166667
electricity,DE11,dem,d055,0.4702621502916666
electricity,DE11,dem,d056,0.469077920625
electricity,DE11,dem,d057,0.46787583225000007
electricity,DE11,dem,d058,0.466654191375
electricity,DE11,dem,d059,0.5247362485833333
electricity,DE11,dem,d060,0.48864187966666667
electricity,DE11,dem,d061,0.4628103717083334
electricity,DE11,dem,d062,0.4615987380416666
electricity,DE11,dem,d063,0.46029442299999995
electricity,DE11,dem,d064,0.4589768673750001
electricity,DE11,dem,d065,0.45764299258333324
electricity,DE11,dem,d066,0.5144527575000001
electricity,DE11,dem,d067,0.4789300270833334
electricity,DE11,dem,d068,0.45348525679166657
electricity,DE11,dem,d069,0.45217462929166646
electricity,DE11,dem,d070,0.4507754771666666
electricity,DE11,dem,d071,0.4493670877916667
electricity,DE11,dem,d072,0.44794561191666665
electricity,DE11,dem,d073,0.5034251969166667
electricity,DE11,dem,d074,0.46854877379166665
electricity,DE11,dem,d075,0.4435487824166667
electricity,DE11,dem,d076,0.44216271637499993
electricity,DE11,dem,d077,0.4406941303333334
electricity,DE11,dem,d078,0.43921769224999996
electricity,DE11,dem,d079,0.4377343261666666
electricity,DE11,dem,d080,0.5132434329999999
electricity,DE11,dem,d081,0.47202001991666664
electricity,DE11,dem,d082,0.4567058624166666
electricity,DE11,dem,d083,0.4553641357916667
electricity,DE11,dem,d084,0.45376668833333333
electricity,DE11,dem,d085,0.45216369845833343
electricity,DE11,dem,d086,0.4505556280833332
electricity,DE11,dem,d087,0.5012622690416667
electricity,DE11,dem,d088,0.4523664585000002
electricity,DE11,dem,d089,0.4454644570000001
electricity,DE11,dem,d090,0.44408685862499997
electricity,DE11,dem,d091,0.44246370058333323
electricity,DE11,dem,d092,0.44083746333333335
electricity,DE11,dem,d093,0.45151061720833335
electricity,DE11,dem,d094,0.4883353533333333
electricity,DE11,dem,d095,0.44876619737500006
electricity,DE11,dem,d096,0.4462480930833334
electricity,DE11,dem,d097,0.4324553286666666
electricity,DE11,dem,d098,0.43106464416666657
electricity,DE11,dem,d099,0.4294377909583334
electricity,DE11,dem,d100,0.4278121696250001
electricity,DE11,dem,d101,0.4758547559166666
electricity,DE11,dem,d102,0.4370447570833332
electricity,DE11,dem,d103,0.4227153022499999
electricity,DE11,dem,d104,0.42133139174999995
electricity,DE11,dem,d105,0.4197191645416665
electricity,DE11,dem,d106,0.41811001637499995
electricity,DE11,dem,d107,0.41650579466666665
electricity,DE11,dem,d108,0.46325807587499995
electricity,DE11,dem,d109,0.425460799625
electricity,DE11,dem,d110,0.41149652833333333
electricity,DE11,dem,d111,0.4101386363333333
electricity,DE11,dem,d112,0.4085618189583333
electricity,DE11,dem,d113,0.40699023625
electricity,DE11,dem,d114,0.40542712075
electricity,DE11,dem,d115,0.4509358992916667
electricity,DE11,dem,d116,0.41414518733333333
electricity,DE11,dem,d117,0.4005585700833334
electricity,DE11,dem,d118,0.3992465571249999
electricity,DE11,dem,d119,0.3977220847916667
electricity,DE11,dem,d120,0.3962065418333333
electricity,DE11,dem,d121,0.40575366149999986
electricity,DE11,dem,d122,0.4388107864166666
electricity,DE11,dem,d123,0.4032292450833334
electricity,DE11,dem,d124,0.39002474649999996
electricity,DE11,dem,d125,0.38877308429166674
electricity,DE11,dem,d126,0.38731789216666673
electricity,DE11,dem,d127,0.38587409275
electricity,DE11,dem,d128,0.3844419939166667
electricity,DE11,dem,d129,0.4276577517499999
electricity,DE11,dem,d130,0.39282936308333327
electricity,DE11,dem,d131,0.3800074453333333
electricity,DE11,dem,d132,0.37883245308333335
electricity,DE11,dem,d133,0.3774610130416666
electricity,DE11,dem,d134,0.38663679075000007
electricity,DE11,dem,d135,0.39063456629166665
electricity,DE11,dem,d136,0.41970176749999993
electricity,DE11,dem,d137,0.3945487437083333
electricity,DE11,dem,d138,0.3868932815000001
electricity,DE11,dem,d139,0.3857181352916666
electricity,DE11,dem,d140,0.3843913425
electricity,DE11,dem,d141,0.38307794370833337
electricity,DE11,dem,d142,0.38177978679166663
electricity,DE11,dem,d143,0.4096921640833333
electricity,DE11,dem,d144,0.38521747041666665
electricity,DE11,dem,d145,0.3833636860833333
electricity,DE11,dem,d146,0.37659408679166667
electricity,DE11,dem,d147,0.37554503049999993
electricity,DE11,dem,d148,0.37434894641666666
electricity,DE11,dem,d149,0.37317010529166655
electricity,DE11,dem,d150,0.40055241187499996
electricity,DE11,dem,d151,0.37671678979166656
electricity,DE11,dem,d152,0.36958293045833335
electricity,DE11,dem,d153,0.36863856433333336
electricity,DE11,dem,d154,0.3675519427916667
electricity,DE11,dem,d155,0.36648471983333325
electricity,DE11,dem,d156,0.36543674133333326
electricity,DE11,dem,d157,0.3923656474583334
electricity,DE11,dem,d158,0.369129684125
electricity,DE11,dem,d159,0.3622501599583334
electricity,DE11,dem,d160,0.36143927375
electricity,DE11,dem,d161,0.36048936508333335
electricity,DE11,dem,d162,0.3595607025416667
electricity,DE11,dem,d163,0.35865066866666667
electricity,DE11,dem,d164,0.38521192795833326
electricity,DE11,dem,d165,0.3625251253750001
electricity,DE11,dem,d166,0.35589470220833325
electricity,DE11,dem,d167,0.3552260713750001
electricity,DE11,dem,d168,0.35442103541666664
electricity,DE11,dem,d169,0.35363801516666665
electricity,DE11,dem,d170,0.35287762641666665
electricity,DE11,dem,d171,0.37915452908333336
electricity,DE11,dem,d172,0.3569633108333334
electricity,DE11,dem,d173,0.35057290508333333
electricity,DE11,dem,d174,0.35005191804166663
electricity,DE11,dem,d175,0.3494009920416667
electricity,DE11,dem,d176,0.348773313375
electricity,DE11,dem,d177,0.3481665729166667
electricity,DE11,dem,d178,0.3742508764583334
electricity,DE11,dem,d179,0.35249550766666654
electricity,DE11,dem,d180,0.3463335726666667
electricity,DE11,dem,d181,0.3459690049166666
electricity,DE11,dem,d182,0.34547788525
electricity,DE11,dem,d183,0.345008781375
electricity,DE11,dem,d184,0.3445630785416667
electricity,DE11,dem,d185,0.37054376987500004
electricity,DE11,dem,d186,0.3491622062916668
electricity,DE11,dem,d187,0.34321657933333327
electricity,DE11,dem,d188,0.3430132035416667
electricity,DE11,dem,d189,0.3426849693333333
electricity,DE11,dem,d190,0.34238029049999996
electricity,DE11,dem,d191,0.34209824299999997
electricity,DE11,dem,d192,0.3680676955416667
electricity,DE11,dem,d193,0.34699419783333335
electricity,DE11,dem,d194,0.34124886783333325
