carrier_1,region_2,parameter,timestep_2,value
heatResidental,DE11,dem,d001,1.5259434209166665
heatResidental,DE11,dem,d002,1.293617797
heatResidental,DE11,dem,d003,1.1404829090416666
heatResidental,DE11,dem,d004,1.0123491796250002
heatResidental,DE11,dem,d005,1.4488817164999999
heatResidental,DE11,dem,d006,2.3657996117916666
heatResidental,DE11,dem,d007,2.3922594101666665
heatResidental,DE11,dem,d008,1.5647007804166668
heatResidental,DE11,dem,d009,1.1973527196249998
heatResidental,DE11,dem,d010,1.4565729716249998
heatResidental,DE11,dem,d011,1.6645540790000004
heatResidental,DE11,dem,d012,0.8665894545833331
heatResidental,DE11,dem,d013,0.9239165211666666
heatResidental,DE11,dem,d014,1.0785948791666669
heatResidental,DE11,dem,d015,1.218999919625
heatResidental,DE11,dem,d016,1.3181700230416664
heatResidental,DE11,dem,d017,1.494963925541667
heatResidental,DE11,dem,d018,1.461724812708333
heatResidental,DE11,dem,d019,2.1794919754583337
heatResidental,DE11,dem,d020,2.2114446578750004
heatResidental,DE11,dem,d021,2.0892304217500004
heatResidental,DE11,dem,d022,2.0900695231250004
heatResidental,DE11,dem,d023,2.231740037666666
heatResidental,DE11,dem,d024,1.960013432
heatResidental,DE11,dem,d025,1.4888639779166668
heatResidental,DE11,dem,d026,1.413533141125
heatResidental,DE11,dem,d027,1.6310329240416672
heatResidental,DE11,dem,d028,1.566292973416667
heatResidental,DE11,dem,d029,1.6917845525000006
heatResidental,DE11,dem,d030,1.5683550639583332
heatResidental,DE11,dem,d031,0.7318977161249998
heatResidental,DE11,dem,d032,0.3910630250416666
heatResidental,DE11,dem,d033,0.4501103777916666
heatResidental,DE11,dem,d034,0.68697826475
heatResidental,DE11,dem,d035,0.8480324448333333
heatResidental,DE11,dem,d036,0.8070383007083333
heatResidental,DE11,dem,d037,0.7506779807083334
heatResidental,DE11,dem,d038,0.6554104373749999
heatResidental,DE11,dem,d039,0.5048705994166666
heatResidental,DE11,dem,d040,0.47392748525000017
heatResidental,DE11,dem,d041,0.7881415751249999
heatResidental,DE11,dem,d042,0.8555120124166665
heatResidental,DE11,dem,d043,0.9903734987083332
heatResidental,DE11,dem,d044,0.8834162543333335
heatResidental,DE11,dem,d045,0.5639018326666667
heatResidental,DE11,dem,d046,0.6355428409583334
heatResidental,DE11,dem,d047,0.7363376491666669
heatResidental,DE11,dem,d048,0.8271619083333336
heatResidental,DE11,dem,d049,0.8850703795
heatResidental,DE11,dem,d050,0.7857663621666666
heatResidental,DE11,dem,d051,0.8533322691249999
heatResidental,DE11,dem,d052,0.32747745779166665
heatResidental,DE11,dem,d053,0.4287824993333334
heatResidental,DE11,dem,d054,0.5721107017500001
heatResidental,DE11,dem,d055,0.9112795889583332
heatResidental,DE11,dem,d056,0.9143157172083333
heatResidental,DE11,dem,d057,0.9417488741249999
heatResidental,DE11,dem,d058,0.9002163905000001
heatResidental,DE11,dem,d059,0.777876750875
heatResidental,DE11,dem,d060,0.6648953415416666
heatResidental,DE11,dem,d061,1.0066127208333333
heatResidental,DE11,dem,d062,0.8012492663333334
heatResidental,DE11,dem,d063,0.8751101649166667
heatResidental,DE11,dem,d064,0.8007993889583335
heatResidental,DE11,dem,d065,0.7118985097916667
heatResidental,DE11,dem,d066,0.7968072412916666
heatResidental,DE11,dem,d067,0.8302735807916667
heatResidental,DE11,dem,d068,0.8440777592083332
heatResidental,DE11,dem,d069,0.7595010136249999
heatResidental,DE11,dem,d070,0.7920438470416667
heatResidental,DE11,dem,d071,0.5943746642499999
heatResidental,DE11,dem,d072,0.6468132249583333
heatResidental,DE11,dem,d073,0.6346679135833334
heatResidental,DE11,dem,d074,0.7475269043333334
heatResidental,DE11,dem,d075,0.9842036090000003
heatResidental,DE11,dem,d076,0.7674891470416666
heatResidental,DE11,dem,d077,0.6918060946666665
heatResidental,DE11,dem,d078,0.7015690123750001
heatResidental,DE11,dem,d079,0.670354477625
heatResidental,DE11,dem,d080,0.6630679425833333
heatResidental,DE11,dem,d081,0.6275241492916668
heatResidental,DE11,dem,d082,0.6151317898333334
heatResidental,DE11,dem,d083,0.6098661955833332
heatResidental,DE11,dem,d084,0.5832754489166668
heatResidental,DE11,dem,d085,0.6263870420000001
heatResidental,DE11,dem,d086,0.5889433726250001
heatResidental,DE11,dem,d087,0.5240527696249999
heatResidental,DE11,dem,d088,0.3617978475833334
heatResidental,DE11,dem,d089,0.37221322108333327
heatResidental,DE11,dem,d090,0.33247300625000004
heatResidental,DE11,dem,d091,0.16478854008333335
heatResidental,DE11,dem,d092,0.3986700546666668
heatResidental,DE11,dem,d093,0.3672299928750001
heatResidental,DE11,dem,d094,0.225477201
heatResidental,DE11,dem,d095,0.19969026462500003
heatResidental,DE11,dem,d096,0.180374789625
heatResidental,DE11,dem,d097,0.31794554566666666
heatResidental,DE11,dem,d098,0.41151117825
heatResidental,DE11,dem,d099,0.5459233449583334
heatResidental,DE11,dem,d100,0.5299367496666666
heatResidental,DE11,dem,d101,0.3826176795833333
heatResidental,DE11,dem,d102,0.42757229708333333
heatResidental,DE11,dem,d103,0.4241262330416668
heatResidental,DE11,dem,d104,0.35688378437500007
heatResidental,DE11,dem,d105,0.42254350741666663
heatResidental,DE11,dem,d106,0.5137030227916666
heatResidental,DE11,dem,d107,0.2714884930833334
heatResidental,DE11,dem,d108,0.4098102554583334
heatResidental,DE11,dem,d109,0.45096727491666666
heatResidental,DE11,dem,d110,0.45890296354166676
heatResidental,DE11,dem,d111,0.455964465875
heatResidental,DE11,dem,d112,0.47350901645833327
heatResidental,DE11,dem,d113,0.39336746699999997
heatResidental,DE11,dem,d114,0.39083058920833347
heatResidental,DE11,dem,d115,0.8242972410416667
heatResidental,DE11,dem,d116,0.8908203475416666
heatResidental,DE11,dem,d117,0.7551971980833333
heatResidental,DE11,dem,d118,0.9020372574583336
heatResidental,DE11,dem,d119,0.87835394625
heatResidental,DE11,dem,d120,0.6505697781666665
heatResidental,DE11,dem,d121,0.3582868590833334
heatResidental,DE11,dem,d122,0.29581554625
heatResidental,DE11,dem,d123,0.2999956549166667
heatResidental,DE11,dem,d124,0.3347395162083333
heatResidental,DE11,dem,d125,0.48580620337499997
heatResidental,DE11,dem,d126,0.35180708987500003
heatResidental,DE11,dem,d127,0.1911686954583333
heatResidental,DE11,dem,d128,0.11160743808333336
heatResidental,DE11,dem,d129,0.09665933466666667
heatResidental,DE11,dem,d130,0.09187965191666665
heatResidental,DE11,dem,d131,0.08692091283333335
heatResidental,DE11,dem,d132,0.07317638166666666
heatResidental,DE11,dem,d133,0.13087242587499998
heatResidental,DE11,dem,d134,0.23242631700000005
heatResidental,DE11,dem,d135,0.20950012879166666
heatResidental,DE11,dem,d136,0.5841576110416666
heatResidental,DE11,dem,d137,0.66713815625
heatResidental,DE11,dem,d138,0.5021454773333333
heatResidental,DE11,dem,d139,0.34378421012499993
heatResidental,DE11,dem,d140,0.3179956090416666
heatResidental,DE11,dem,d141,0.21518754575000001
heatResidental,DE11,dem,d142,0.20648595025000002
heatResidental,DE11,dem,d143,0.09668591037500002
heatResidental,DE11,dem,d144,0.20466126383333336
heatResidental,DE11,dem,d145,0.3938576672500001
heatResidental,DE11,dem,d146,0.21784389245833333
heatResidental,DE11,dem,d147,0.1944743767083333
heatResidental,DE11,dem,d148,0.08952230104166665
heatResidental,DE11,dem,d149,0.0007136730000000001
heatResidental,DE11,dem,d150,0.029055616041666666
heatResidental,DE11,dem,d151,0.021024982583333334
heatResidental,DE11,dem,d152,0.14043251791666667
heatResidental,DE11,dem,d153,0.10699465662499998
heatResidental,DE11,dem,d154,0.07741360691666667
heatResidental,DE11,dem,d155,0.099839707
heatResidental,DE11,dem,d156,0.055391923875
heatResidental,DE11,dem,d157,0.07488846575000002
heatResidental,DE11,dem,d158,0.060895980125
heatResidental,DE11,dem,d159,0.05025279916666666
heatResidental,DE11,dem,d160,0.03179587466666667
heatResidental,DE11,dem,d161,0.05555055675
heatResidental,DE11,dem,d162,0.09818838845833333
heatResidental,DE11,dem,d163,0.10767780754166668
heatResidental,DE11,dem,d164,0.0485414855
heatResidental,DE11,dem,d165,0.049468649875
heatResidental,DE11,dem,d166,0.05364768220833332
heatResidental,DE11,dem,d167,0.06431228504166665
