region_1,region_2,carrier_1,parameter,timestep_2,value
AT,AT,heatResidental,dem,d001,6.156775632624999
BE,BE,heatResidental,dem,d001,2.781380330958333
BG,BG,heatResidental,dem,d001,1.5027229775416666
CH,CH,heatResidental,dem,d001,2.4727695532083334
CZ,CZ,heatResidental,dem,d001,3.9861591092083333
DK,DK,heatResidental,dem,d001,3.6860823914583327
ES,ES,heatResidental,dem,d001,14.832409420000003
FI,FI,heatResidental,dem,d001,11.369884516583335
FR,FR,heatResidental,dem,d001,37.64086073125
GR,GR,heatResidental,dem,d001,4.578774041458334
HR,HR,heatResidental,dem,d001,0.8829694422083332
HU,HU,heatResidental,dem,d001,3.1379588204583335
IE,IE,heatResidental,dem,d001,2.308800158
IT,IT,heatResidental,dem,d001,28.888507753416672
LU,LU,heatResidental,dem,d001,0.30419750758333325
NL,NL,heatResidental,dem,d001,9.602991439166667
NO,NO,heatResidental,dem,d001,1.771202277583333
PL,PL,heatResidental,dem,d001,10.345551567666666
PT,PT,heatResidental,dem,d001,4.421264742625
RO,RO,heatResidental,dem,d001,1.9694313113333326
SE,SE,heatResidental,dem,d001,9.789731864333332
SI,SI,heatResidental,dem,d001,0.8922120127916667
SK,SK,heatResidental,dem,d001,0.7252058357500001
UK,UK,heatResidental,dem,d001,24.917082378750006
EE,EE,heatResidental,dem,d001,0.7978548245833332
LT,LT,heatResidental,dem,d001,1.1159937764166665
LV,LV,heatResidental,dem,d001,0.8041741339166668
NONEU_Balkan,NONEU_Balkan,heatResidental,dem,d001,1.6317660292916667
TR,TR,heatResidental,dem,d001,22.8040005875
AT,AT,heatResidental,dem,d002,6.187071756416667
BE,BE,heatResidental,dem,d002,2.7822763217500004
BG,BG,heatResidental,dem,d002,1.50231066275
CH,CH,heatResidental,dem,d002,2.467763689125
CZ,CZ,heatResidental,dem,d002,3.9860355667499996
DK,DK,heatResidental,dem,d002,3.6846664616666662
ES,ES,heatResidental,dem,d002,14.815376829166668
FI,FI,heatResidental,dem,d002,11.374194789041667
FR,FR,heatResidental,dem,d002,37.64825848666666
GR,GR,heatResidental,dem,d002,4.5130433565
HR,HR,heatResidental,dem,d002,0.8825999133333333
HU,HU,heatResidental,dem,d002,3.136065500499999
IE,IE,heatResidental,dem,d002,2.318356615958334
IT,IT,heatResidental,dem,d002,30.435096825041672
LU,LU,heatResidental,dem,d002,0.30429490183333335
NL,NL,heatResidental,dem,d002,9.598042995041666
NO,NO,heatResidental,dem,d002,1.7727928161666666
PL,PL,heatResidental,dem,d002,10.349970390708332
PT,PT,heatResidental,dem,d002,4.456568503708334
RO,RO,heatResidental,dem,d002,1.9685744735416666
SE,SE,heatResidental,dem,d002,9.795851577791668
SI,SI,heatResidental,dem,d002,0.8915083775416665
SK,SK,heatResidental,dem,d002,0.7251531659166667
UK,UK,heatResidental,dem,d002,25.007589807499997
EE,EE,heatResidental,dem,d002,0.7968287890833334
LT,LT,heatResidental,dem,d002,1.1146167400416667
LV,LV,heatResidental,dem,d002,0.802797103625
NONEU_Balkan,NONEU_Balkan,heatResidental,dem,d002,1.630928660666667
TR,TR,heatResidental,dem,d002,22.486634748749996
AT,AT,heatResidental,dem,d003,6.401940329583333
BE,BE,heatResidental,dem,d003,2.787141083125
BG,BG,heatResidental,dem,d003,1.5023749634166668
CH,CH,heatResidental,dem,d003,2.4703968259999995
CZ,CZ,heatResidental,dem,d003,3.9881686304166664
DK,DK,heatResidental,dem,d003,3.682953778791667
ES,ES,heatResidental,dem,d003,14.792467304999997
FI,FI,heatResidental,dem,d003,11.3775473425
FR,FR,heatResidental,dem,d003,37.91917084583333
GR,GR,heatResidental,dem,d003,4.574690693749999
HR,HR,heatResidental,dem,d003,0.8826575415000001
HU,HU,heatResidental,dem,d003,3.1359750367499992
IE,IE,heatResidental,dem,d003,2.362592783
IT,IT,heatResidental,dem,d003,31.715022537
LU,LU,heatResidental,dem,d003,0.3048237010416666
NL,NL,heatResidental,dem,d003,9.654645132249998
NO,NO,heatResidental,dem,d003,1.7740299447916668
PL,PL,heatResidental,dem,d003,10.366373376124999
PT,PT,heatResidental,dem,d003,4.6555396098749995
RO,RO,heatResidental,dem,d003,1.9685335333333338
