region_1,region_2,carrier_1,parameter,timestep_2,value
AT,AT,mobility,dem,d001,0.8235767114166669
BE,BE,mobility,dem,d001,1.0625628819166666
BG,BG,mobility,dem,d001,0.4744860179166667
CH,CH,mobility,dem,d001,0.8472793105000003
CZ,CZ,mobility,dem,d001,0.7563424269166666
DK,DK,mobility,dem,d001,0.5614258184166666
ES,ES,mobility,dem,d001,3.9751670647916666
FI,FI,mobility,dem,d001,0.6304386613333332
FR,FR,mobility,dem,d001,7.321887614375
GR,GR,mobility,dem,d001,1.08282148125
HR,HR,mobility,dem,d001,0.24267948129166672
HU,HU,mobility,dem,d001,0.5775767646666666
IE,IE,mobility,dem,d001,0.45472994820833335
IT,IT,mobility,dem,d001,6.422410750541668
LU,LU,mobility,dem,d001,0.06316885816666667
NL,NL,mobility,dem,d001,1.3232033191666666
NO,NO,mobility,dem,d001,0.5163507119583333
PL,PL,mobility,dem,d001,2.1208690279583333
PT,PT,mobility,dem,d001,0.7952624156666666
RO,RO,mobility,dem,d001,0.7927018207916667
SE,SE,mobility,dem,d001,1.0734669021249998
SI,SI,mobility,dem,d001,0.20814214849999993
SK,SK,mobility,dem,d001,0.2607508731666666
UK,UK,mobility,dem,d001,5.797132649125001
EE,EE,mobility,dem,d001,0.11146476720833333
LT,LT,mobility,dem,d001,0.28013518116666664
LV,LV,mobility,dem,d001,0.15100025383333332
NONEU_Balkan,NONEU_Balkan,mobility,dem,d001,0.39978318375000005
TR,TR,mobility,dem,d001,2.1104897047083333
AT,AT,mobility,dem,d002,0.8235767114166669
BE,BE,mobility,dem,d002,1.0625628819166666
BG,BG,mobility,dem,d002,0.4744860179166667
CH,CH,mobility,dem,d002,0.8472793105000003
CZ,CZ,mobility,dem,d002,0.7563424269166666
DK,DK,mobility,dem,d002,0.5614258184166666
ES,ES,mobility,dem,d002,3.9751670647916666
FI,FI,mobility,dem,d002,0.6304386613333332
FR,FR,mobility,dem,d002,7.321887614375
GR,GR,mobility,dem,d002,1.08282148125
HR,HR,mobility,dem,d002,0.24267948129166672
HU,HU,mobility,dem,d002,0.5775767646666666
IE,IE,mobility,dem,d002,0.45472994820833335
IT,IT,mobility,dem,d002,6.422410750541668
LU,LU,mobility,dem,d002,0.06316885816666667
NL,NL,mobility,dem,d002,1.3232033191666666
NO,NO,mobility,dem,d002,0.5163507119583333
PL,PL,mobility,dem,d002,2.1208690279583333
PT,PT,mobility,dem,d002,0.7952624156666666
RO,RO,mobility,dem,d002,0.7927018207916667
SE,SE,mobility,dem,d002,1.0734669021249998
SI,SI,mobility,dem,d002,0.20814214849999993
SK,SK,mobility,dem,d002,0.2607508731666666
UK,UK,mobility,dem,d002,5.797132649125001
EE,EE,mobility,dem,d002,0.11146476720833333
LT,LT,mobility,dem,d002,0.28013518116666664
LV,LV,mobility,dem,d002,0.15100025383333332
NONEU_Balkan,NONEU_Balkan,mobility,dem,d002,0.39978318375000005
TR,TR,mobility,dem,d002,2.1104897047083333
AT,AT,mobility,dem,d003,0.8235767114166669
BE,BE,mobility,dem,d003,1.0625628819166666
BG,BG,mobility,dem,d003,0.4744860179166667
CH,CH,mobility,dem,d003,0.8472793105000003
CZ,CZ,mobility,dem,d003,0.7563424269166666
DK,DK,mobility,dem,d003,0.5614258184166666
ES,ES,mobility,dem,d003,3.9751670647916666
FI,FI,mobility,dem,d003,0.6304386613333332
FR,FR,mobility,dem,d003,7.321887614375
GR,GR,mobility,dem,d003,1.08282148125
HR,HR,mobility,dem,d003,0.24267948129166672
HU,HU,mobility,dem,d003,0.5775767646666666
IE,IE,mobility,dem,d003,0.45472994820833335
IT,IT,mobility,dem,d003,6.422410750541668
LU,LU,mobility,dem,d003,0.06316885816666667
NL,NL,mobility,dem,d003,1.3232033191666666
NO,NO,mobility,dem,d003,0.5163507119583333
PL,PL,mobility,dem,d003,2.1208690279583333
PT,PT,mobility,dem,d003,0.7952624156666666
RO,RO,mobility,dem,d003,0.7927018207916667
SE,SE,mobility,dem,d003,1.0734669021249998
SI,SI,mobility,dem,d003,0.20814214849999993
SK,SK,mobility,dem,d003,0.2607508731666666
UK,UK,mobility,dem,d003,5.797132649125001
EE,EE,mobility,dem,d003,0.11146476720833333
LT,LT,mobility,dem,d003,0.28013518116666664
LV,LV,mobility,dem,d003,0.15100025383333332
NONEU_Balkan,NONEU_Balkan,mobility,dem,d003,0.39978318375000005
TR,TR,mobility,dem,d003,2.1104897047083333
AT,AT,mobility,dem,d004,0.8235767114166669
BE,BE,mobility,dem,d004,1.0625628819166666
BG,BG,mobility,dem,d004,0.4744860179166667
CH,CH,mobility,dem,d004,0.8472793105000003
CZ,CZ,mobility,dem,d004,0.7563424269166666
DK,DK,mobility,dem,d004,0.5614258184166666
ES,ES,mobility,dem,d004,3.9751670647916666
FI,FI,mobility,dem,d004,0.6304386613333332
FR,FR,mobility,dem,d004,7.321887614375
GR,GR,mobility,dem,d004,1.08282148125
HR,HR,mobility,dem,d004,0.24267948129166672
HU,HU,mobility,dem,d004,0.5775767646666666
IE,IE,mobility,dem,d004,0.45472994820833335
IT,IT,mobility,dem,d004,6.422410750541668
LU,LU,mobility,dem,d004,0.06316885816666667
NL,NL,mobility,dem,d004,1.3232033191666666
NO,NO,mobility,dem,d004,0.5163507119583333
PL,PL,mobility,dem,d004,2.1208690279583333
PT,PT,mobility,dem,d004,0.7952624156666666
RO,RO,mobility,dem,d004,0.7927018207916667
SE,SE,mobility,dem,d004,1.0734669021249998
SI,SI,mobility,dem,d004,0.20814214849999993
SK,SK,mobility,dem,d004,0.2607508731666666
UK,UK,mobility,dem,d004,5.797132649125001
EE,EE,mobility,dem,d004,0.11146476720833333
LT,LT,mobility,dem,d004,0.28013518116666664
LV,LV,mobility,dem,d004,0.15100025383333332
NONEU_Balkan,NONEU_Balkan,mobility,dem,d004,0.39978318375000005
TR,TR,mobility,dem,d004,2.1104897047083333
AT,AT,mobility,dem,d005,0.8235767114166669
BE,BE,mobility,dem,d005,1.0625628819166666
BG,BG,mobility,dem,d005,0.4744860179166667
CH,CH,mobility,dem,d005,0.8472793105000003
CZ,CZ,mobility,dem,d005,0.7563424269166666
DK,DK,mobility,dem,d005,0.5614258184166666
ES,ES,mobility,dem,d005,3.9751670647916666
FI,FI,mobility,dem,d005,0.6304386613333332
FR,FR,mobility,dem,d005,7.321887614375
GR,GR,mobility,dem,d005,1.08282148125
HR,HR,mobility,dem,d005,0.24267948129166672
HU,HU,mobility,dem,d005,0.5775767646666666
IE,IE,mobility,dem,d005,0.45472994820833335
IT,IT,mobility,dem,d005,6.422410750541668
LU,LU,mobility,dem,d005,0.06316885816666667
NL,NL,mobility,dem,d005,1.3232033191666666
NO,NO,mobility,dem,d005,0.5163507119583333
PL,PL,mobility,dem,d005,2.1208690279583333
PT,PT,mobility,dem,d005,0.7952624156666666
RO,RO,mobility,dem,d005,0.7927018207916667
SE,SE,mobility,dem,d005,1.0734669021249998
SI,SI,mobility,dem,d005,0.20814214849999993
SK,SK,mobility,dem,d005,0.2607508731666666
UK,UK,mobility,dem,d005,5.797132649125001
EE,EE,mobility,dem,d005,0.11146476720833333
LT,LT,mobility,dem,d005,0.28013518116666664
LV,LV,mobility,dem,d005,0.15100025383333332
NONEU_Balkan,NONEU_Balkan,mobility,dem,d005,0.39978318375000005
TR,TR,mobility,dem,d005,2.1104897047083333
AT,AT,mobility,dem,d006,0.8235767114166669
BE,BE,mobility,dem,d006,1.0625628819166666
BG,BG,mobility,dem,d006,0.4744860179166667
CH,CH,mobility,dem,d006,0.8472793105000003
CZ,CZ,mobility,dem,d006,0.7563424269166666
DK,DK,mobility,dem,d006,0.5614258184166666
ES,ES,mobility,dem,d006,3.9751670647916666
FI,FI,mobility,dem,d006,0.6304386613333332
FR,FR,mobility,dem,d006,7.321887614375
GR,GR,mobility,dem,d006,1.08282148125
HR,HR,mobility,dem,d006,0.24267948129166672
HU,HU,mobility,dem,d006,0.5775767646666666
IE,IE,mobility,dem,d006,0.45472994820833335
IT,IT,mobility,dem,d006,6.422410750541668
LU,LU,mobility,dem,d006,0.06316885816666667
NL,NL,mobility,dem,d006,1.3232033191666666
NO,NO,mobility,dem,d006,0.5163507119583333
PL,PL,mobility,dem,d006,2.1208690279583333
PT,PT,mobility,dem,d006,0.7952624156666666
RO,RO,mobility,dem,d006,0.7927018207916667
SE,SE,mobility,dem,d006,1.0734669021249998
SI,SI,mobility,dem,d006,0.20814214849999993
SK,SK,mobility,dem,d006,0.2607508731666666
UK,UK,mobility,dem,d006,5.797132649125001
EE,EE,mobility,dem,d006,0.11146476720833333
LT,LT,mobility,dem,d006,0.28013518116666664
LV,LV,mobility,dem,d006,0.15100025383333332
NONEU_Balkan,NONEU_Balkan,mobility,dem,d006,0.39978318375000005
TR,TR,mobility,dem,d006,2.1104897047083333
AT,AT,mobility,dem,d007,0.8235767114166669
BE,BE,mobility,dem,d007,1.0625628819166666
BG,BG,mobility,dem,d007,0.4744860179166667
CH,CH,mobility,dem,d007,0.8472793105000003
CZ,CZ,mobility,dem,d007,0.7563424269166666
DK,DK,mobility,dem,d007,0.5614258184166666
ES,ES,mobility,dem,d007,3.9751670647916666
FI,FI,mobility,dem,d007,0.6304386613333332
FR,FR,mobility,dem,d007,7.321887614375
GR,GR,mobility,dem,d007,1.08282148125
HR,HR,mobility,dem,d007,0.24267948129166672
HU,HU,mobility,dem,d007,0.5775767646666666
IE,IE,mobility,dem,d007,0.45472994820833335
IT,IT,mobility,dem,d007,6.422410750541668
LU,LU,mobility,dem,d007,0.06316885816666667
NL,NL,mobility,dem,d007,1.3232033191666666
NO,NO,mobility,dem,d007,0.5163507119583333
PL,PL,mobility,dem,d007,2.1208690279583333
PT,PT,mobility,dem,d007,0.7952624156666666
RO,RO,mobility,dem,d007,0.7927018207916667
SE,SE,mobility,dem,d007,1.0734669021249998
SI,SI,mobility,dem,d007,0.20814214849999993
SK,SK,mobility,dem,d007,0.2607508731666666
UK,UK,mobility,dem,d007,5.797132649125001
EE,EE,mobility,dem,d007,0.11146476720833333
LT,LT,mobility,dem,d007,0.28013518116666664
LV,LV,mobility,dem,d007,0.15100025383333332
