technology_1,region_1,parameter,timestep_2,value
rooftop,AT,avaConv,d001,0.06619229166666667
rooftop,BE,avaConv,d001,0.024070987500000002
rooftop,BG,avaConv,d001,0.08762987916666669
rooftop,CH,avaConv,d001,0.035635774999999995
rooftop,CZ,avaConv,d001,0.02822437916666667
rooftop,DK,avaConv,d001,0.013313300000000002
rooftop,ES,avaConv,d001,0.05588318750000001
rooftop,FI,avaConv,d001,6.133750000000001e-5
rooftop,FR,avaConv,d001,0.0202598375
rooftop,GR,avaConv,d001,0.05716599583333334
rooftop,HR,avaConv,d001,0.067127944
rooftop,HU,avaConv,d001,0.054131466666666656
rooftop,IE,avaConv,d001,0.0204514625
rooftop,IT,avaConv,d001,0.06429765416666668
rooftop,LU,avaConv,d001,0.003280433333333333
rooftop,NL,avaConv,d001,0.023392483333333335
rooftop,NO,avaConv,d001,0.0041320125
rooftop,PL,avaConv,d001,0.03400996666666667
rooftop,PT,avaConv,d001,0.072231075
rooftop,RO,avaConv,d001,0.0800478
rooftop,SE,avaConv,d001,0.0021298375
rooftop,SI,avaConv,d001,0.06537127916666667
rooftop,SK,avaConv,d001,0.051645737500000004
rooftop,UK,avaConv,d001,0.022001670833333334
rooftop,EE,avaConv,d001,0.000594475
rooftop,LT,avaConv,d001,0.0115331125
rooftop,LV,avaConv,d001,0.002057241666666667
rooftop,NONEU_Balkan,avaConv,d001,0.0704797665
rooftop,TR,avaConv,d001,0.05716599583333334
rooftop,AT,avaConv,d002,0.027862770833333328
rooftop,BE,avaConv,d002,0.009012645833333334
rooftop,BG,avaConv,d002,0.06214506666666666
rooftop,CH,avaConv,d002,0.0560872375
rooftop,CZ,avaConv,d002,0.03530135
rooftop,DK,avaConv,d002,0.023893333333333336
rooftop,ES,avaConv,d002,0.07593772083333335
rooftop,FI,avaConv,d002,0.0006136958333333334
rooftop,FR,avaConv,d002,0.037396712500000005
rooftop,GR,avaConv,d002,0.06837206250000001
rooftop,HR,avaConv,d002,0.026979644333333334
rooftop,HU,avaConv,d002,0.0267143625
rooftop,IE,avaConv,d002,0.011838604166666667
rooftop,IT,avaConv,d002,0.037040237499999996
rooftop,LU,avaConv,d002,0.010154637499999999
rooftop,NL,avaConv,d002,0.027039337499999996
rooftop,NO,avaConv,d002,0.0037062083333333335
rooftop,PL,avaConv,d002,0.010844312500000002
rooftop,PT,avaConv,d002,0.08584931250000001
rooftop,RO,avaConv,d002,0.06485584583333333
rooftop,SE,avaConv,d002,0.0044218124999999995
rooftop,SI,avaConv,d002,0.014220004166666668
rooftop,SK,avaConv,d002,0.018854937500000002
rooftop,UK,avaConv,d002,0.004160858333333334
rooftop,EE,avaConv,d002,0.0023900041666666664
rooftop,LT,avaConv,d002,0.004340058333333333
rooftop,LV,avaConv,d002,0.003977925
rooftop,NONEU_Balkan,avaConv,d002,0.057662030375
rooftop,TR,avaConv,d002,0.06837206250000001
rooftop,AT,avaConv,d003,0.04984265416666667
rooftop,BE,avaConv,d003,0.014301437499999998
rooftop,BG,avaConv,d003,0.07008580833333333
rooftop,CH,avaConv,d003,0.05248168333333334
rooftop,CZ,avaConv,d003,0.013186629166666665
rooftop,DK,avaConv,d003,0.0076309041666666666
rooftop,ES,avaConv,d003,0.09486175416666665
rooftop,FI,avaConv,d003,0.0024287083333333335
rooftop,FR,avaConv,d003,0.0324800875
rooftop,GR,avaConv,d003,0.06315481666666665
rooftop,HR,avaConv,d003,0.06507978758333334
rooftop,HU,avaConv,d003,0.04645885416666667
rooftop,IE,avaConv,d003,0.016219233333333333
rooftop,IT,avaConv,d003,0.0646835
rooftop,LU,avaConv,d003,0.003193604166666666
rooftop,NL,avaConv,d003,0.016837275
rooftop,NO,avaConv,d003,0.003434695833333334
rooftop,PL,avaConv,d003,0.007045908333333334
rooftop,PT,avaConv,d003,0.09562434583333335
rooftop,RO,avaConv,d003,0.05823203749999999
rooftop,SE,avaConv,d003,0.0014303624999999999
rooftop,SI,avaConv,d003,0.06456627916666667
rooftop,SK,avaConv,d003,0.03840780416666666
rooftop,UK,avaConv,d003,0.0053406791666666675
rooftop,EE,avaConv,d003,0.0037170291666666663
rooftop,LT,avaConv,d003,0.005466329166666668
rooftop,LV,avaConv,d003,0.004861091666666667
rooftop,NONEU_Balkan,avaConv,d003,0.06439607708333334
rooftop,TR,avaConv,d003,0.06315481666666665
rooftop,AT,avaConv,d004,0.0212660875
rooftop,BE,avaConv,d004,0.0048418125
rooftop,BG,avaConv,d004,0.05401103749999999
rooftop,CH,avaConv,d004,0.0310235625
rooftop,CZ,avaConv,d004,0.015088033333333336
rooftop,DK,avaConv,d004,0.0025236458333333335
rooftop,ES,avaConv,d004,0.09776162083333334
rooftop,FI,avaConv,d004,0.0009056833333333332
rooftop,FR,avaConv,d004,0.02716081666666666
rooftop,GR,avaConv,d004,0.08162105
rooftop,HR,avaConv,d004,0.03848434845833334
rooftop,HU,avaConv,d004,0.04313892916666667
rooftop,IE,avaConv,d004,0.0226071125
rooftop,IT,avaConv,d004,0.07050884166666668
rooftop,LU,avaConv,d004,0.005619191666666666
rooftop,NL,avaConv,d004,0.008144499999999999
rooftop,NO,avaConv,d004,0.002086058333333333
rooftop,PL,avaConv,d004,0.006459979166666668
rooftop,PT,avaConv,d004,0.09984482083333333
rooftop,RO,avaConv,d004,0.03802114166666667
rooftop,SE,avaConv,d004,0.004967316666666667
rooftop,SI,avaConv,d004,0.028707116666666668
rooftop,SK,avaConv,d004,0.038818791666666665
rooftop,UK,avaConv,d004,0.0089392625
rooftop,EE,avaConv,d004,0.0028977958333333328
rooftop,LT,avaConv,d004,0.006664875000000001
rooftop,LV,avaConv,d004,0.005786054166666666
rooftop,NONEU_Balkan,avaConv,d004,0.06073385195833334
rooftop,TR,avaConv,d004,0.08162105
rooftop,AT,avaConv,d005,0.029819533333333332
rooftop,BE,avaConv,d005,0.005776254166666668
rooftop,BG,avaConv,d005,0.04998370416666667
rooftop,CH,avaConv,d005,0.037493574999999994
rooftop,CZ,avaConv,d005,0.010555154166666669
rooftop,DK,avaConv,d005,0.006221366666666668
rooftop,ES,avaConv,d005,0.09840153749999998
rooftop,FI,avaConv,d005,0.0052533833333333335
rooftop,FR,avaConv,d005,0.038774633333333336
rooftop,GR,avaConv,d005,0.06049219166666666
rooftop,HR,avaConv,d005,0.05755920258333333
rooftop,HU,avaConv,d005,0.05663142916666667
rooftop,IE,avaConv,d005,0.006531233333333333
rooftop,IT,avaConv,d005,0.06481985416666666
rooftop,LU,avaConv,d005,0.006315370833333334
rooftop,NL,avaConv,d005,0.0072549749999999994
rooftop,NO,avaConv,d005,0.003964041666666667
rooftop,PL,avaConv,d005,0.017064483333333335
rooftop,PT,avaConv,d005,0.08598202083333334
rooftop,RO,avaConv,d005,0.0388798375
rooftop,SE,avaConv,d005,0.005218558333333334
rooftop,SI,avaConv,d005,0.05833295416666667
rooftop,SK,avaConv,d005,0.04617984583333334
rooftop,UK,avaConv,d005,0.008801041666666667
rooftop,EE,avaConv,d005,0.024312195833333338
rooftop,LT,avaConv,d005,0.013406079166666668
rooftop,LV,avaConv,d005,0.014954770833333334
rooftop,NONEU_Balkan,avaConv,d005,0.05472494804166666
rooftop,TR,avaConv,d005,0.06049219166666666
rooftop,AT,avaConv,d006,0.02738178333333333
rooftop,BE,avaConv,d006,0.011103983333333333
rooftop,BG,avaConv,d006,0.06260129166666666
rooftop,CH,avaConv,d006,0.0583233875
rooftop,CZ,avaConv,d006,0.008089783333333333
rooftop,DK,avaConv,d006,0.0029295000000000002
rooftop,ES,avaConv,d006,0.10011117083333333
rooftop,FI,avaConv,d006,0.003755266666666667
rooftop,FR,avaConv,d006,0.03441447916666667
rooftop,GR,avaConv,d006,0.07435201666666667
rooftop,HR,avaConv,d006,0.05596802608333334
rooftop,HU,avaConv,d006,0.02137359583333333
rooftop,IE,avaConv,d006,0.0052455375
rooftop,IT,avaConv,d006,0.08013565
rooftop,LU,avaConv,d006,0.013419758333333332
rooftop,NL,avaConv,d006,0.015303808333333335
rooftop,NO,avaConv,d006,0.004594420833333333
rooftop,PL,avaConv,d006,0.009710808333333334
rooftop,PT,avaConv,d006,0.08688012083333334
rooftop,RO,avaConv,d006,0.050334725
rooftop,SE,avaConv,d006,0.0018252208333333333
rooftop,SI,avaConv,d006,0.05179848333333333
rooftop,SK,avaConv,d006,0.012592504166666666
rooftop,UK,avaConv,d006,0.005256737500000001
rooftop,EE,avaConv,d006,0.01185345
rooftop,LT,avaConv,d006,0.01818425
rooftop,LV,avaConv,d006,0.0157528
rooftop,NONEU_Balkan,avaConv,d006,0.06265501650000001
rooftop,TR,avaConv,d006,0.07435201666666667
rooftop,AT,avaConv,d007,0.03810995416666667
rooftop,BE,avaConv,d007,0.021380654166666666
rooftop,BG,avaConv,d007,0.0311772125
rooftop,CH,avaConv,d007,0.0806428875
rooftop,CZ,avaConv,d007,0.032736025
rooftop,DK,avaConv,d007,0.0039764375
rooftop,ES,avaConv,d007,0.09452575416666666
rooftop,FI,avaConv,d007,0.0023084541666666663
rooftop,FR,avaConv,d007,0.05057453333333333
rooftop,GR,avaConv,d007,0.069294925
rooftop,HR,avaConv,d007,0.044073914208333335
rooftop,HU,avaConv,d007,0.0743705375
rooftop,IE,avaConv,d007,0.0037292791666666664
