technology_1,technology_2,region_1,parameter,timestep_2,value
wind_onshore,onshore_a,AT,avaConv,d001,0.39090795833333347
wind_onshore,onshore_a,BE,avaConv,d001,0.41982683333333326
wind_onshore,onshore_a,BG,avaConv,d001,0.04884179166666667
wind_onshore,onshore_a,CH,avaConv,d001,0.3940986666666666
wind_onshore,onshore_a,CZ,avaConv,d001,0.4358418333333334
wind_onshore,onshore_a,DK,avaConv,d001,0.33353174999999996
wind_onshore,onshore_a,ES,avaConv,d001,0.2967671666666667
wind_onshore,onshore_a,FI,avaConv,d001,0.3865235
wind_onshore,onshore_a,FR,avaConv,d001,0.3586943333333334
wind_onshore,onshore_a,GR,avaConv,d001,0.14672949999999998
wind_onshore,onshore_a,HR,avaConv,d001,0.06000341666666668
wind_onshore,onshore_a,HU,avaConv,d001,0.3500335416666666
wind_onshore,onshore_a,IE,avaConv,d001,0.38136308333333324
wind_onshore,onshore_a,IT,avaConv,d001,0.06316179166666668
wind_onshore,onshore_a,LU,avaConv,d001,0.52723025
wind_onshore,onshore_a,NL,avaConv,d001,0.3684587916666667
wind_onshore,onshore_a,NO,avaConv,d001,0.2808020833333333
wind_onshore,onshore_a,PL,avaConv,d001,0.49866695833333335
wind_onshore,onshore_a,PT,avaConv,d001,0.18642925000000002
wind_onshore,onshore_a,RO,avaConv,d001,0.09197908333333334
wind_onshore,onshore_a,SE,avaConv,d001,0.307148125
wind_onshore,onshore_a,SI,avaConv,d001,0.118075840375
wind_onshore,onshore_a,SK,avaConv,d001,0.18462188920833333
wind_onshore,onshore_a,UK,avaConv,d001,0.5428199166666667
wind_onshore,onshore_a,EE,avaConv,d001,0.6035262916666666
wind_onshore,onshore_a,LT,avaConv,d001,0.5722864583333334
wind_onshore,onshore_a,LV,avaConv,d001,0.5683427083333333
wind_onshore,onshore_a,NONEU_Balkan,avaConv,d001,0.16590091954166666
wind_onshore,onshore_a,TR,avaConv,d001,0.14672949999999998
wind_onshore,onshore_a,AT,avaConv,d002,0.17322249999999997
wind_onshore,onshore_a,BE,avaConv,d002,0.2698760416666667
wind_onshore,onshore_a,BG,avaConv,d002,0.07159725000000002
wind_onshore,onshore_a,CH,avaConv,d002,0.06783541666666669
wind_onshore,onshore_a,CZ,avaConv,d002,0.30756179166666664
wind_onshore,onshore_a,DK,avaConv,d002,0.3474654166666667
wind_onshore,onshore_a,ES,avaConv,d002,0.3770922083333333
wind_onshore,onshore_a,FI,avaConv,d002,0.16062541666666671
wind_onshore,onshore_a,FR,avaConv,d002,0.1811912916666667
wind_onshore,onshore_a,GR,avaConv,d002,0.041239541666666664
wind_onshore,onshore_a,HR,avaConv,d002,0.06975066666666667
wind_onshore,onshore_a,HU,avaConv,d002,0.12485229166666667
wind_onshore,onshore_a,IE,avaConv,d002,0.39972333333333326
wind_onshore,onshore_a,IT,avaConv,d002,0.14221241666666665
wind_onshore,onshore_a,LU,avaConv,d002,0.2040842083333333
wind_onshore,onshore_a,NL,avaConv,d002,0.2993366666666667
wind_onshore,onshore_a,NO,avaConv,d002,0.20412983333333337
wind_onshore,onshore_a,PL,avaConv,d002,0.3704602916666668
wind_onshore,onshore_a,PT,avaConv,d002,0.20372912500000004
wind_onshore,onshore_a,RO,avaConv,d002,0.15348804166666666
wind_onshore,onshore_a,SE,avaConv,d002,0.24261987500000004
wind_onshore,onshore_a,SI,avaConv,d002,0.22795531683333334
wind_onshore,onshore_a,SK,avaConv,d002,0.020273747374999998
wind_onshore,onshore_a,UK,avaConv,d002,0.4294361666666667
wind_onshore,onshore_a,EE,avaConv,d002,0.35819599999999996
wind_onshore,onshore_a,LT,avaConv,d002,0.3653983333333333
wind_onshore,onshore_a,LV,avaConv,d002,0.31657462500000005
wind_onshore,onshore_a,NONEU_Balkan,avaConv,d002,0.02523133712499999
wind_onshore,onshore_a,TR,avaConv,d002,0.041239541666666664
wind_onshore,onshore_a,AT,avaConv,d003,0.46044391666666673
wind_onshore,onshore_a,BE,avaConv,d003,0.3315088333333333
wind_onshore,onshore_a,BG,avaConv,d003,0.1601078333333333
wind_onshore,onshore_a,CH,avaConv,d003,0.09025204166666667
wind_onshore,onshore_a,CZ,avaConv,d003,0.6021729166666666
